"","date","STAA"
"1","2007-01-03",7.06
"2","2007-01-04",7.07
"3","2007-01-05",6.94
"4","2007-01-08",6.88
"5","2007-01-09",6.73
"6","2007-01-10",6.71
"7","2007-01-11",7.03
"8","2007-01-12",7.07
"9","2007-01-16",7.07
"10","2007-01-17",7.17
"11","2007-01-18",7.21
"12","2007-01-19",7.25
"13","2007-01-22",7.1
"14","2007-01-23",6.96
"15","2007-01-24",7.05
"16","2007-01-25",6.95
"17","2007-01-26",7
"18","2007-01-29",7
"19","2007-01-30",6.97
"20","2007-01-31",6.93
"21","2007-02-01",6.91
"22","2007-02-02",6.98
"23","2007-02-05",6.9
"24","2007-02-06",6.79
"25","2007-02-07",6.02
"26","2007-02-08",6.08
"27","2007-02-09",6.31
"28","2007-02-12",6.29
"29","2007-02-13",6.21
"30","2007-02-14",6.13
"31","2007-02-15",6.3
"32","2007-02-16",6.31
"33","2007-02-20",6.31
"34","2007-02-21",6.3
"35","2007-02-22",6.3
"36","2007-02-23",6.31
"37","2007-02-26",6.63
"38","2007-02-27",6.23
"39","2007-02-28",6.16
"40","2007-03-01",6.12
"41","2007-03-02",6.03
"42","2007-03-05",6.03
"43","2007-03-06",6.03
"44","2007-03-07",5.91
"45","2007-03-08",5.92
"46","2007-03-09",5.91
"47","2007-03-12",5.99
"48","2007-03-13",5.89
"49","2007-03-14",5.94
"50","2007-03-15",5.85
"51","2007-03-16",5.87
"52","2007-03-19",5.74
"53","2007-03-20",5.82
"54","2007-03-21",5.7
"55","2007-03-22",5.78
"56","2007-03-23",5.79
"57","2007-03-26",5.74
"58","2007-03-27",5.7
"59","2007-03-28",5.61
"60","2007-03-29",5.54
"61","2007-03-30",5.51
"62","2007-04-02",5.39
"63","2007-04-03",5.31
"64","2007-04-04",5.46
"65","2007-04-05",5.59
"66","2007-04-09",5.69
"67","2007-04-10",5.42
"68","2007-04-11",5.72
"69","2007-04-12",5.69
"70","2007-04-13",5.41
"71","2007-04-16",5.47
"72","2007-04-17",5.74
"73","2007-04-18",5.54
"74","2007-04-19",5.38
"75","2007-04-20",5.44
"76","2007-04-23",5.28
"77","2007-04-24",5.03
"78","2007-04-25",5.01
"79","2007-04-26",5.11
"80","2007-04-27",5.06
"81","2007-04-30",5.08
"82","2007-05-01",5
"83","2007-05-02",4.96
"84","2007-05-03",4.82
"85","2007-05-04",5
"86","2007-05-07",5.19
"87","2007-05-08",5.19
"88","2007-05-09",5.03
"89","2007-05-10",4.98
"90","2007-05-11",5.01
"91","2007-05-14",4.96
"92","2007-05-15",4.93
"93","2007-05-16",4.79
"94","2007-05-17",4.77
"95","2007-05-18",4.7
"96","2007-05-21",4.61
"97","2007-05-22",4.64
"98","2007-05-23",4.76
"99","2007-05-24",4.78
"100","2007-05-25",4.77
"101","2007-05-29",4.58
"102","2007-05-30",4.54
"103","2007-05-31",4.53
"104","2007-06-01",4.6
"105","2007-06-04",4.75
"106","2007-06-05",4.68
"107","2007-06-06",4.59
"108","2007-06-07",4.75
"109","2007-06-08",4.68
"110","2007-06-11",4.7
"111","2007-06-12",4.57
"112","2007-06-13",4.49
"113","2007-06-14",4.31
"114","2007-06-15",4.41
"115","2007-06-18",4.31
"116","2007-06-19",4.21
"117","2007-06-20",4.09
"118","2007-06-21",4.14
"119","2007-06-22",4.11
"120","2007-06-25",4.16
"121","2007-06-26",4.14
"122","2007-06-27",4.05
"123","2007-06-28",3.96
"124","2007-06-29",3.82
"125","2007-07-02",3.81
"126","2007-07-03",3.8
"127","2007-07-05",3.82
"128","2007-07-06",3.82
"129","2007-07-09",3.94
"130","2007-07-10",3.84
"131","2007-07-11",3.78
"132","2007-07-12",3.8
"133","2007-07-13",3.76
"134","2007-07-16",3.89
"135","2007-07-17",3.83
"136","2007-07-18",3.83
"137","2007-07-19",3.71
"138","2007-07-20",3.69
"139","2007-07-23",3.7
"140","2007-07-24",3.7
"141","2007-07-25",3.72
"142","2007-07-26",3.71
"143","2007-07-27",3.69
"144","2007-07-30",3.7
"145","2007-07-31",3.65
"146","2007-08-01",3.65
"147","2007-08-02",3.63
"148","2007-08-03",3.77
"149","2007-08-06",3.8
"150","2007-08-07",3.46
"151","2007-08-08",3.47
"152","2007-08-09",3.73
"153","2007-08-10",3.26
"154","2007-08-13",3.25
"155","2007-08-14",3.33
"156","2007-08-15",3.31
"157","2007-08-16",3.18
"158","2007-08-17",3.26
"159","2007-08-20",3.22
"160","2007-08-21",3.13
"161","2007-08-22",2.95
"162","2007-08-23",2.85
"163","2007-08-24",2.99
"164","2007-08-27",3.04
"165","2007-08-28",3.13
"166","2007-08-29",3.04
"167","2007-08-30",2.97
"168","2007-08-31",2.93
"169","2007-09-04",2.98
"170","2007-09-05",2.95
"171","2007-09-06",2.92
"172","2007-09-07",3
"173","2007-09-10",2.9
"174","2007-09-11",2.8
"175","2007-09-12",2.9
"176","2007-09-13",3.1
"177","2007-09-14",3.08
"178","2007-09-17",3.19
"179","2007-09-18",2.97
"180","2007-09-19",2.97
"181","2007-09-20",2.98
"182","2007-09-21",3.05
"183","2007-09-24",3.06
"184","2007-09-25",2.97
"185","2007-09-26",2.98
"186","2007-09-27",2.91
"187","2007-09-28",3
"188","2007-10-01",3.03
"189","2007-10-02",2.92
"190","2007-10-03",2.94
"191","2007-10-04",2.98
"192","2007-10-05",2.95
"193","2007-10-08",2.94
"194","2007-10-09",2.98
"195","2007-10-10",2.97
"196","2007-10-11",3.21
"197","2007-10-12",3.35
"198","2007-10-15",3.44
"199","2007-10-16",3.39
"200","2007-10-17",3.18
"201","2007-10-18",3.27
"202","2007-10-19",3.16
"203","2007-10-22",3.03
"204","2007-10-23",3.02
"205","2007-10-24",3.07
"206","2007-10-25",3.2
"207","2007-10-26",3.46
"208","2007-10-29",3.44
"209","2007-10-30",3.43
"210","2007-10-31",3.1
"211","2007-11-01",2.94
"212","2007-11-02",3.03
"213","2007-11-05",3.08
"214","2007-11-06",2.94
"215","2007-11-07",3.25
"216","2007-11-08",2.94
"217","2007-11-09",3.1
"218","2007-11-12",2.68
"219","2007-11-13",3.07
"220","2007-11-14",2.86
"221","2007-11-15",3
"222","2007-11-16",3.17
"223","2007-11-19",3.03
"224","2007-11-20",2.93
"225","2007-11-21",2.93
"226","2007-11-23",2.9
"227","2007-11-26",2.85
"228","2007-11-27",2.85
"229","2007-11-28",2.84
"230","2007-11-29",2.84
"231","2007-11-30",2.82
"232","2007-12-03",2.65
"233","2007-12-04",2.57
"234","2007-12-05",2.59
"235","2007-12-06",2.56
"236","2007-12-07",2.56
"237","2007-12-10",2.49
"238","2007-12-11",2.44
"239","2007-12-12",2.31
"240","2007-12-13",2.49
"241","2007-12-14",2.63
"242","2007-12-17",2.46
"243","2007-12-18",2.5
"244","2007-12-19",2.53
"245","2007-12-20",2.5
"246","2007-12-21",2.58
"247","2007-12-24",2.35
"248","2007-12-26",2.56
"249","2007-12-27",2.33
"250","2007-12-28",2.6
"251","2007-12-31",2.64
"252","2008-01-02",2.48
"253","2008-01-03",2.36
"254","2008-01-04",2.35
"255","2008-01-07",2.31
"256","2008-01-08",2.21
"257","2008-01-09",2.21
"258","2008-01-10",2.4
"259","2008-01-11",2.47
"260","2008-01-14",2.5
"261","2008-01-15",2.47
"262","2008-01-16",2.52
"263","2008-01-17",2.5
"264","2008-01-18",2.36
"265","2008-01-22",2.26
"266","2008-01-23",2.22
"267","2008-01-24",2.23
"268","2008-01-25",2.23
"269","2008-01-28",2.46
"270","2008-01-29",2.32
"271","2008-01-30",2.49
"272","2008-01-31",2.39
"273","2008-02-01",2.39
"274","2008-02-04",2.3
"275","2008-02-05",2.29
"276","2008-02-06",2.29
"277","2008-02-07",2.19
"278","2008-02-08",2.25
