"","date","PACB"
"1","2010-10-27",16.440001
"2","2010-10-28",16.969999
"3","2010-10-29",16.799999
"4","2010-11-01",16.59
"5","2010-11-02",16.379999
"6","2010-11-03",14.56
"7","2010-11-04",12.85
"8","2010-11-05",14.56
"9","2010-11-08",12.99
"10","2010-11-09",12.96
"11","2010-11-10",12.9
"12","2010-11-11",12.51
"13","2010-11-12",12.25
"14","2010-11-15",13.01
"15","2010-11-16",12.08
"16","2010-11-17",12.09
"17","2010-11-18",11.58
"18","2010-11-19",11.72
"19","2010-11-22",12.11
"20","2010-11-23",12.03
"21","2010-11-24",11.93
"22","2010-11-26",11.53
"23","2010-11-29",12
"24","2010-11-30",12.6
"25","2010-12-01",13.1
"26","2010-12-02",12.81
"27","2010-12-03",12.97
"28","2010-12-06",13.25
"29","2010-12-07",13.01
"30","2010-12-08",13
"31","2010-12-09",13
"32","2010-12-10",13.65
"33","2010-12-13",13.99
"34","2010-12-14",14.05
"35","2010-12-15",13.72
"36","2010-12-16",14.22
"37","2010-12-17",14.09
"38","2010-12-20",15.02
"39","2010-12-21",14.97
"40","2010-12-22",16.280001
"41","2010-12-23",15.61
"42","2010-12-27",16.1
"43","2010-12-28",15.88
"44","2010-12-29",16.5
"45","2010-12-30",16.440001
"46","2010-12-31",15.91
"47","2011-01-03",16.299999
"48","2011-01-04",15.94
"49","2011-01-05",15.74
"50","2011-01-06",15.06
"51","2011-01-07",15.19
"52","2011-01-10",15.05
"53","2011-01-11",16.07
"54","2011-01-12",16
"55","2011-01-13",15.61
"56","2011-01-14",15.76
"57","2011-01-18",15.77
"58","2011-01-19",15.34
"59","2011-01-20",14.88
"60","2011-01-21",14.34
"61","2011-01-24",14.81
"62","2011-01-25",14.99
"63","2011-01-26",15.36
"64","2011-01-27",15.43
"65","2011-01-28",15.08
"66","2011-01-31",15.8
"67","2011-02-01",16.129999
"68","2011-02-02",15.86
"69","2011-02-03",15.63
"70","2011-02-04",16.129999
"71","2011-02-07",15.95
"72","2011-02-08",15.81
"73","2011-02-09",15.54
"74","2011-02-10",15.66
"75","2011-02-11",16.07
"76","2011-02-14",15.94
"77","2011-02-15",15.98
"78","2011-02-16",15.11
"79","2011-02-17",15.02
"80","2011-02-18",14.81
"81","2011-02-22",14.99
"82","2011-02-23",15.59
"83","2011-02-24",15.68
"84","2011-02-25",15.75
"85","2011-02-28",15.74
"86","2011-03-01",15.02
"87","2011-03-02",14.92
"88","2011-03-03",15.07
"89","2011-03-04",14.69
"90","2011-03-07",13.76
"91","2011-03-08",14.16
"92","2011-03-09",14.25
"93","2011-03-10",13.98
"94","2011-03-11",14.09
"95","2011-03-14",14.26
"96","2011-03-15",14.24
"97","2011-03-16",13.48
"98","2011-03-17",12.94
"99","2011-03-18",13.5
"100","2011-03-21",13.89
"101","2011-03-22",14.2
"102","2011-03-23",14.34
"103","2011-03-24",14.59
"104","2011-03-25",13.88
"105","2011-03-28",13.16
"106","2011-03-29",13.61
"107","2011-03-30",13.74
"108","2011-03-31",14.05
"109","2011-04-01",13.38
"110","2011-04-04",13.49
"111","2011-04-05",13.53
"112","2011-04-06",13.48
"113","2011-04-07",13.5
"114","2011-04-08",13.5
"115","2011-04-11",13.04
"116","2011-04-12",12.89
"117","2011-04-13",12.76
