"","date","CEVA"
"1","2007-01-03",6.64
"2","2007-01-04",6.6
"3","2007-01-05",6.58
"4","2007-01-08",6.49
"5","2007-01-09",6.78
"6","2007-01-10",7.19
"7","2007-01-11",7.31
"8","2007-01-12",7.54
"9","2007-01-16",7.98
"10","2007-01-17",8.11
"11","2007-01-18",7.93
"12","2007-01-19",7.73
"13","2007-01-22",7.7
"14","2007-01-23",7.61
"15","2007-01-24",7.57
"16","2007-01-25",7.22
"17","2007-01-26",7.25
"18","2007-01-29",7.22
"19","2007-01-30",7.25
"20","2007-01-31",7.23
"21","2007-02-01",7.16
"22","2007-02-02",7.18
"23","2007-02-05",7.19
"24","2007-02-06",7.16
"25","2007-02-07",7.26
"26","2007-02-08",7.24
"27","2007-02-09",7.24
"28","2007-02-12",7.1
"29","2007-02-13",7.07
"30","2007-02-14",7.25
"31","2007-02-15",7.17
"32","2007-02-16",7.08
"33","2007-02-20",7.07
"34","2007-02-21",7.07
"35","2007-02-22",7.05
"36","2007-02-23",7.22
"37","2007-02-26",7.2
"38","2007-02-27",7.14
"39","2007-02-28",7.23
"40","2007-03-01",7.2
"41","2007-03-02",7.28
"42","2007-03-05",7.22
"43","2007-03-06",7.21
"44","2007-03-07",7.2
"45","2007-03-08",7.19
"46","2007-03-09",7.25
"47","2007-03-12",7.21
"48","2007-03-13",7.2
"49","2007-03-14",7.22
"50","2007-03-15",7.25
"51","2007-03-16",7.25
"52","2007-03-19",7.24
"53","2007-03-20",7.37
"54","2007-03-21",7.26
"55","2007-03-22",7.28
"56","2007-03-23",7.23
"57","2007-03-26",7.25
"58","2007-03-27",7.24
"59","2007-03-28",7.29
"60","2007-03-29",7.27
"61","2007-03-30",7.23
"62","2007-04-02",7.21
"63","2007-04-03",7.24
"64","2007-04-04",7.32
"65","2007-04-05",7.3
"66","2007-04-09",7.3
"67","2007-04-10",7.3
"68","2007-04-11",7.55
"69","2007-04-12",7.43
"70","2007-04-13",7.48
"71","2007-04-16",7.4
"72","2007-04-17",7.39
"73","2007-04-18",7.55
"74","2007-04-19",7.36
"75","2007-04-20",7.44
"76","2007-04-23",7.41
"77","2007-04-24",7.39
"78","2007-04-25",7.51
"79","2007-04-26",7.54
"80","2007-04-27",7.34
"81","2007-04-30",7.25
"82","2007-05-01",7.11
"83","2007-05-02",7.25
"84","2007-05-03",7.25
"85","2007-05-04",7.24
"86","2007-05-07",7.25
"87","2007-05-08",7.28
"88","2007-05-09",7.34
"89","2007-05-10",7.29
"90","2007-05-11",7.28
"91","2007-05-14",7.26
"92","2007-05-15",7.24
"93","2007-05-16",7.25
"94","2007-05-17",7.26
"95","2007-05-18",7.25
"96","2007-05-21",7.32
"97","2007-05-22",7.3
"98","2007-05-23",7.32
"99","2007-05-24",7.25
"100","2007-05-25",7.24
"101","2007-05-29",7.35
"102","2007-05-30",7.4
"103","2007-05-31",7.4
"104","2007-06-01",7.43
"105","2007-06-04",7.43
"106","2007-06-05",7.45
"107","2007-06-06",7.42
"108","2007-06-07",7.36
"109","2007-06-08",7.65
"110","2007-06-11",7.88
"111","2007-06-12",7.88
"112","2007-06-13",8.23
"113","2007-06-14",8.38
"114","2007-06-15",8.34
"115","2007-06-18",8.58
"116","2007-06-19",8.57
"117","2007-06-20",8.5
"118","2007-06-21",8.49
"119","2007-06-22",8.5
"120","2007-06-25",8.5
"121","2007-06-26",8.5
"122","2007-06-27",8.49
"123","2007-06-28",8.5
"124","2007-06-29",8.5
"125","2007-07-02",8.43
"126","2007-07-03",8.38
"127","2007-07-05",8.55
"128","2007-07-06",8.95
"129","2007-07-09",9.18
"130","2007-07-10",9.14
"131","2007-07-11",9.24
"132","2007-07-12",9.41
"133","2007-07-13",9.38
"134","2007-07-16",9.24
"135","2007-07-17",9.25
"136","2007-07-18",9.39
"137","2007-07-19",9.16
"138","2007-07-20",9.02
"139","2007-07-23",9.16
"140","2007-07-24",9.1
"141","2007-07-25",9.06
"142","2007-07-26",8.68
"143","2007-07-27",8.61
"144","2007-07-30",8.88
"145","2007-07-31",9.01
"146","2007-08-01",8.75
"147","2007-08-02",9
"148","2007-08-03",8.92
"149","2007-08-06",8.34
"150","2007-08-07",7.9
"151","2007-08-08",7.81
"152","2007-08-09",7.88
"153","2007-08-10",7.88
"154","2007-08-13",8.29
"155","2007-08-14",8.3
"156","2007-08-15",8.8
"157","2007-08-16",8.54
"158","2007-08-17",8.26
"159","2007-08-20",8.35
"160","2007-08-21",8.44
"161","2007-08-22",8.74
"162","2007-08-23",8.82
"163","2007-08-24",8.7
"164","2007-08-27",8.73
"165","2007-08-28",8.67
"166","2007-08-29",8.67
"167","2007-08-30",8.6
"168","2007-08-31",8.72
"169","2007-09-04",8.77
"170","2007-09-05",8.83
"171","2007-09-06",8.9
"172","2007-09-07",8.9
"173","2007-09-10",8.96
"174","2007-09-11",8.82
"175","2007-09-12",9.03
"176","2007-09-13",8.8
"177","2007-09-14",8.99
"178","2007-09-17",8.95
"179","2007-09-18",8.85
"180","2007-09-19",8.84
"181","2007-09-20",8.81
"182","2007-09-21",8.85
"183","2007-09-24",8.85
"184","2007-09-25",8.92
"185","2007-09-26",8.85
"186","2007-09-27",8.92
"187","2007-09-28",8.99
"188","2007-10-01",8.97
"189","2007-10-02",9.37
"190","2007-10-03",9.61
"191","2007-10-04",9.5
"192","2007-10-05",9.5
"193","2007-10-08",9.46
"194","2007-10-09",9.25
"195","2007-10-10",9.35
"196","2007-10-11",9.5
"197","2007-10-12",9.46
"198","2007-10-15",9.43
"199","2007-10-16",9.48
"200","2007-10-17",9.5
"201","2007-10-18",9.58
"202","2007-10-19",9.5
"203","2007-10-22",9.19
"204","2007-10-23",9.52
"205","2007-10-24",9.05
"206","2007-10-25",8.66
"207","2007-10-26",8.63
"208","2007-10-29",8.79
"209","2007-10-30",9
"210","2007-10-31",9.42
"211","2007-11-01",9.18
"212","2007-11-02",8.96
"213","2007-11-05",9.25
"214","2007-11-06",9.54
"215","2007-11-07",9.71
"216","2007-11-08",10.34
"217","2007-11-09",10.27
"218","2007-11-12",10.64
"219","2007-11-13",11
"220","2007-11-14",10.65
"221","2007-11-15",10.49
"222","2007-11-16",10.5
"223","2007-11-19",10.5
"224","2007-11-20",10.4
"225","2007-11-21",10.52
