"","date","REVG"
"1","2017-01-27",25
"2","2017-01-30",25.65
"3","2017-01-31",25.24
"4","2017-02-01",25.25
"5","2017-02-02",25
"6","2017-02-03",25.860001
"7","2017-02-06",25.780001
"8","2017-02-07",25.780001
"9","2017-02-08",26.809999
"10","2017-02-09",27.52
"11","2017-02-10",28
"12","2017-02-13",28.860001
"13","2017-02-14",28.51
"14","2017-02-15",28.690001
"15","2017-02-16",27.219999
"16","2017-02-17",27.59
"17","2017-02-21",26.65
"18","2017-02-22",27.49
"19","2017-02-23",27
"20","2017-02-24",27.74
"21","2017-02-27",28.610001
"22","2017-02-28",28.450001
"23","2017-03-01",28.4
"24","2017-03-02",27.9
"25","2017-03-03",28.040001
"26","2017-03-06",27.84
"27","2017-03-07",26.030001
"28","2017-03-08",26.49
"29","2017-03-09",26.690001
"30","2017-03-10",25.92
"31","2017-03-13",26.549999
"32","2017-03-14",26.209999
"33","2017-03-15",26.43
"34","2017-03-16",26.5
"35","2017-03-17",27.27
"36","2017-03-20",27.65
"37","2017-03-21",27.110001
"38","2017-03-22",27.6
"39","2017-03-23",27.780001
"40","2017-03-24",27.84
"41","2017-03-27",27.74
"42","2017-03-28",27.809999
"43","2017-03-29",27.799999
"44","2017-03-30",27.9
"45","2017-03-31",27.57
"46","2017-04-03",27.620001
"47","2017-04-04",27.540001
"48","2017-04-05",27.280001
"49","2017-04-06",27.690001
"50","2017-04-07",27.68
"51","2017-04-10",27.719999
"52","2017-04-11",27.57
"53","2017-04-12",27.120001
"54","2017-04-13",27.360001
"55","2017-04-17",27.52
"56","2017-04-18",27.860001
"57","2017-04-19",28.67
"58","2017-04-20",28.58
"59","2017-04-21",28.290001
"60","2017-04-24",28.9
"61","2017-04-25",28.52
"62","2017-04-26",28.379999
"63","2017-04-27",28.85
"64","2017-04-28",28.200001
"65","2017-05-01",28.16
"66","2017-05-02",28.34
"67","2017-05-03",28.1
"68","2017-05-04",28.26
"69","2017-05-05",28.27
"70","2017-05-08",28.68
"71","2017-05-09",27.99
"72","2017-05-10",26.969999
"73","2017-05-11",26.530001
"74","2017-05-12",25.84
"75","2017-05-15",25.83
"76","2017-05-16",26.02
"77","2017-05-17",26.190001
"78","2017-05-18",25.809999
"79","2017-05-19",26.049999
"80","2017-05-22",26.67
"81","2017-05-23",26.559999
"82","2017-05-24",26.67
"83","2017-05-25",27.540001
"84","2017-05-26",28.43
"85","2017-05-30",26.9
"86","2017-05-31",26.85
"87","2017-06-01",27.99
"88","2017-06-02",27.719999
"89","2017-06-05",26.91
"90","2017-06-06",27
"91","2017-06-07",27.219999
"92","2017-06-08",27.85
"93","2017-06-09",28.58
"94","2017-06-12",28.389999
"95","2017-06-13",28.969999
"96","2017-06-14",29.030001
"97","2017-06-15",29
"98","2017-06-16",30.1
"99","2017-06-19",30.84
"100","2017-06-20",30.389999
"101","2017-06-21",29.790001
"102","2017-06-22",29.4
"103","2017-06-23",29.18
"104","2017-06-26",28.6
"105","2017-06-27",27.709999
"106","2017-06-28",28.49
"107","2017-06-29",28
"108","2017-06-30",27.68
