"","date","BCYC"
"1","2019-05-23",12
"2","2019-05-24",13.05
"3","2019-05-28",12.28
"4","2019-05-29",12.34
"5","2019-05-30",11.93
"6","2019-05-31",11.69
"7","2019-06-03",11.2
"8","2019-06-04",11.7
"9","2019-06-05",11.32
"10","2019-06-06",11.6
"11","2019-06-07",11.75
"12","2019-06-10",11.9
"13","2019-06-11",11.9
"14","2019-06-12",11.93
"15","2019-06-13",12.4
"16","2019-06-14",13.1
"17","2019-06-17",13.24
"18","2019-06-18",14.57
"19","2019-06-19",14.63
"20","2019-06-20",14.19
"21","2019-06-21",11.64
"22","2019-06-24",11.37
"23","2019-06-25",10.65
"24","2019-06-26",10.48
"25","2019-06-27",10.31
"26","2019-06-28",10.06
"27","2019-07-01",9.9
"28","2019-07-02",9.75
"29","2019-07-03",9.11
"30","2019-07-05",9
"31","2019-07-08",8.91
"32","2019-07-09",9
"33","2019-07-10",9
"34","2019-07-11",8.64
"35","2019-07-12",7.79
"36","2019-07-15",8.26
"37","2019-07-16",8.77
"38","2019-07-17",8.98
"39","2019-07-18",9
"40","2019-07-19",9.15
"41","2019-07-22",8.94
"42","2019-07-23",8.52
"43","2019-07-24",8.41
"44","2019-07-25",9
"45","2019-07-26",8.45
"46","2019-07-29",8.79
"47","2019-07-30",8.1
"48","2019-07-31",8.261
"49","2019-08-01",8.38
"50","2019-08-02",8
"51","2019-08-05",8
"52","2019-08-06",7.364
"53","2019-08-07",7.26
"54","2019-08-08",7.49
"55","2019-08-09",7.69
"56","2019-08-12",7.5
"57","2019-08-13",7.65
"58","2019-08-14",6.9
"59","2019-08-15",7.53
"60","2019-08-16",7.669
"61","2019-08-19",7.8
"62","2019-08-20",7.631
"63","2019-08-21",7.2
"64","2019-08-22",7
"65","2019-08-23",7.03
"66","2019-08-26",7.688
"67","2019-08-27",6.953
"68","2019-08-28",6.736
"69","2019-08-29",7.29
"70","2019-08-30",7.34
"71","2019-09-03",7.12
"72","2019-09-04",7.02
"73","2019-09-05",7.1
"74","2019-09-06",6.78
"75","2019-09-09",7.15
"76","2019-09-10",7.03
"77","2019-09-11",8.97
"78","2019-09-12",9.13
"79","2019-09-13",9.75
"80","2019-09-16",10.16
"81","2019-09-17",11.8
"82","2019-09-18",12.01
"83","2019-09-19",10.1
"84","2019-09-20",9.5
"85","2019-09-23",11
"86","2019-09-24",11.12
"87","2019-09-25",11.5
"88","2019-09-26",11.66
"89","2019-09-27",11.505
"90","2019-09-30",11.39
"91","2019-10-01",11.08
"92","2019-10-02",10.5
"93","2019-10-03",11.03
"94","2019-10-04",10.5
"95","2019-10-07",10.6
"96","2019-10-08",9.995
"97","2019-10-09",10
"98","2019-10-10",9.988
"99","2019-10-11",9.68
"100","2019-10-14",9.7
"101","2019-10-15",9.57
"102","2019-10-16",9.66
"103","2019-10-17",9.59
"104","2019-10-18",9.71
"105","2019-10-21",9.62
"106","2019-10-22",9.4
"107","2019-10-23",9.51
"108","2019-10-24",9.25
"109","2019-10-25",9.48
"110","2019-10-28",9.2
"111","2019-10-29",9.4
"112","2019-10-30",9.66
"113","2019-10-31",9.66
"114","2019-11-01",9.24
"115","2019-11-04",9.395
"116","2019-11-05",8.21
"117","2019-11-06",8.82
"118","2019-11-07",8.49
"119","2019-11-08",8.45
"120","2019-11-11",8.11
"121","2019-11-12",8.14
"122","2019-11-13",8.615
"123","2019-11-14",9.36
"124","2019-11-15",9.394
"125","2019-11-18",9.482
"126","2019-11-19",9.68
"127","2019-11-20",9.1
"128","2019-11-21",8.62
"129","2019-11-22",8.42
"130","2019-11-25",8.35
"131","2019-11-26",8.6
"132","2019-11-27",8.33
"133","2019-11-29",8.76
"134","2019-12-02",8.41
"135","2019-12-03",8.61
"136","2019-12-04",7.71
"137","2019-12-05",9
"138","2019-12-06",8.4
"139","2019-12-09",7.68
"140","2019-12-10",7.87
"141","2019-12-11",7.75
"142","2019-12-12",7.85
"143","2019-12-13",7.8
"144","2019-12-16",8.02
"145","2019-12-17",8.3
"146","2019-12-18",8.6
"147","2019-12-19",8.161
"148","2019-12-20",8.06
"149","2019-12-23",8.02
"150","2019-12-24",9.69
"151","2019-12-26",9.325
"152","2019-12-27",9.07
"153","2019-12-30",9.75
"154","2019-12-31",9.43
"155","2020-01-02",9.82
"156","2020-01-03",9.93
"157","2020-01-06",10.365
"158","2020-01-07",11.45
"159","2020-01-08",12.21
"160","2020-01-09",11.68
"161","2020-01-10",11.18
"162","2020-01-13",11.131
"163","2020-01-14",10.99
"164","2020-01-15",11.03
"165","2020-01-16",11.2
"166","2020-01-17",11.2
"167","2020-01-21",11.48
"168","2020-01-22",11.3
"169","2020-01-23",10.8
"170","2020-01-24",10.75
"171","2020-01-27",11.1
"172","2020-01-28",11.2
"173","2020-01-29",11
"174","2020-01-30",10.98
"175","2020-01-31",10.88
"176","2020-02-03",10.54
"177","2020-02-04",10.75
"178","2020-02-05",10.85
"179","2020-02-06",11.67
"180","2020-02-07",11.76
"181","2020-02-10",12.98
"182","2020-02-11",12.45
"183","2020-02-12",13.32
"184","2020-02-13",13.71
"185","2020-02-14",14.927
"186","2020-02-18",15.86
"187","2020-02-19",15.8
"188","2020-02-20",15.6
"189","2020-02-21",15.365
"190","2020-02-24",14.62
"191","2020-02-25",14.8
"192","2020-02-26",15.93
"193","2020-02-27",13.98
"194","2020-02-28",12.93
"195","2020-03-02",13.2
"196","2020-03-03",13.85
"197","2020-03-04",16.5
"198","2020-03-05",15.98
"199","2020-03-06",13.91
"200","2020-03-09",14.84
"201","2020-03-10",18
"202","2020-03-11",17.700001
"203","2020-03-12",16.01
"204","2020-03-13",15.06
"205","2020-03-16",13.42
"206","2020-03-17",11.15
