"","date","BBD"
"1","2007-01-03",8.617164
"2","2007-01-04",8.708991
"3","2007-01-05",8.345856
"4","2007-01-08",8.621337
"5","2007-01-09",8.435596
"6","2007-01-10",8.324986
"7","2007-01-11",8.452291
"8","2007-01-12",8.650556
"9","2007-01-16",8.66099
"10","2007-01-17",8.63386
"11","2007-01-18",8.539945
"12","2007-01-19",8.734035
"13","2007-01-22",8.688121
"14","2007-01-23",8.721513
"15","2007-01-24",8.759078
"16","2007-01-25",8.506553
"17","2007-01-26",8.675599
"18","2007-01-29",8.429335
"19","2007-01-30",8.466901
"20","2007-01-31",8.481509
"21","2007-02-01",8.52951
"22","2007-02-02",8.496119
"23","2007-02-05",8.644294
"24","2007-02-06",8.68186
"25","2007-02-07",8.734035
"26","2007-02-08",8.658903
"27","2007-02-09",8.471074
"28","2007-02-12",8.276985
"29","2007-02-13",8.264462
"30","2007-02-14",8.590033
"31","2007-02-15",8.479423
"32","2007-02-16",8.393856
"33","2007-02-20",8.391768
"34","2007-02-21",8.32916
"35","2007-02-22",8.341681
"36","2007-02-23",8.276985
"37","2007-02-26",8.295768
"38","2007-02-27",7.611236
"39","2007-02-28",7.67802
"40","2007-03-01",7.688455
"41","2007-03-02",7.406712
"42","2007-03-05",7.206361
"43","2007-03-06",7.609149
"44","2007-03-07",7.565323
"45","2007-03-08",7.761499
"46","2007-03-09",7.892979
"47","2007-03-12",7.96185
"48","2007-03-13",7.650889
"49","2007-03-14",7.734368
"50","2007-03-15",7.761499
"51","2007-03-16",7.675933
"52","2007-03-19",7.947241
"53","2007-03-20",8.05159
"54","2007-03-21",8.400117
"55","2007-03-22",8.43977
"56","2007-03-23",8.454378
"57","2007-03-26",8.498205
"58","2007-03-27",8.443944
"59","2007-03-28",8.26655
"60","2007-03-29",8.544119
"61","2007-03-30",8.43977
"62","2007-04-02",8.350029
"63","2007-04-03",8.498205
"64","2007-04-04",8.514901
"65","2007-04-05",8.544119
"66","2007-04-09",8.644294
"67","2007-04-10",8.635946
"68","2007-04-11",8.427248
"69","2007-04-12",8.393856
"70","2007-04-13",8.494031
"71","2007-04-16",8.782035
"72","2007-04-17",8.832123
"73","2007-04-18",8.911428
"74","2007-04-19",8.957342
"75","2007-04-20",9.124301
"76","2007-04-23",8.978211
"77","2007-04-24",8.882211
"78","2007-04-25",9.103431
