"","date","CAE"
"1","2007-01-03",9.08
"2","2007-01-04",9.07
"3","2007-01-05",9.6
"4","2007-01-08",9.69
"5","2007-01-09",9.92
"6","2007-01-10",10.05
"7","2007-01-11",9.83
"8","2007-01-12",9.98
"9","2007-01-16",10.03
"10","2007-01-17",10.09
"11","2007-01-18",10
"12","2007-01-19",9.99
"13","2007-01-22",9.67
"14","2007-01-23",9.64
"15","2007-01-24",9.72
"16","2007-01-25",9.66
"17","2007-01-26",9.66
"18","2007-01-29",9.69
"19","2007-01-30",9.89
"20","2007-01-31",9.94
"21","2007-02-01",9.75
"22","2007-02-02",9.9
"23","2007-02-05",9.87
"24","2007-02-06",9.82
"25","2007-02-07",9.7
"26","2007-02-08",10.15
"27","2007-02-09",10.4
"28","2007-02-12",10.56
"29","2007-02-13",10.46
"30","2007-02-14",10.6
"31","2007-02-15",10.71
"32","2007-02-16",10.7
"33","2007-02-20",10.7
"34","2007-02-21",10.7
"35","2007-02-22",10.73
"36","2007-02-23",10.72
"37","2007-02-26",10.7
"38","2007-02-27",10.41
"39","2007-02-28",10.43
"40","2007-03-01",10.35
"41","2007-03-02",10.29
"42","2007-03-05",9.86
"43","2007-03-06",10.4
"44","2007-03-07",10.42
"45","2007-03-08",10.61
"46","2007-03-09",10.6
"47","2007-03-12",10.6
"48","2007-03-13",10.43
"49","2007-03-14",10.32
"50","2007-03-15",10.42
"51","2007-03-16",10.4
"52","2007-03-19",10.66
"53","2007-03-20",10.75
"54","2007-03-21",11
"55","2007-03-22",10.9
"56","2007-03-23",11.29
"57","2007-03-26",11.31
"58","2007-03-27",11.38
"59","2007-03-28",11.37
"60","2007-03-29",11.33
"61","2007-03-30",11.27
"62","2007-04-02",11.3
"63","2007-04-03",11.7
"64","2007-04-04",11.58
"65","2007-04-05",11.63
"66","2007-04-09",11.7
"67","2007-04-10",11.68
"68","2007-04-11",11.69
"69","2007-04-12",11.73
"70","2007-04-13",11.72
"71","2007-04-16",11.89
"72","2007-04-17",11.78
"73","2007-04-18",11.74
"74","2007-04-19",11.64
"75","2007-04-20",11.75
"76","2007-04-23",11.92
"77","2007-04-24",11.85
"78","2007-04-25",11.86
"79","2007-04-26",11.73
"80","2007-04-27",11.8
"81","2007-04-30",11.58
"82","2007-05-01",11.54
"83","2007-05-02",11.82
"84","2007-05-03",11.67
"85","2007-05-04",11.77
"86","2007-05-07",11.82
"87","2007-05-08",11.75
"88","2007-05-09",11.76
"89","2007-05-10",11.73
"90","2007-05-11",11.75
"91","2007-05-14",11.8
"92","2007-05-15",11.97
"93","2007-05-16",11.85
"94","2007-05-17",11.81
"95","2007-05-18",11.94
"96","2007-05-21",12.01
"97","2007-05-22",11.96
"98","2007-05-23",12.12
"99","2007-05-24",12.08
"100","2007-05-25",12.19
"101","2007-05-29",12.71
"102","2007-05-30",12.74
"103","2007-05-31",13.04
"104","2007-06-01",13.29
"105","2007-06-04",13.41
"106","2007-06-05",13.37
"107","2007-06-06",13.05
"108","2007-06-07",12.83
"109","2007-06-08",12.93
"110","2007-06-11",12.98
"111","2007-06-12",13.08
"112","2007-06-13",13.51
"113","2007-06-14",13.67
"114","2007-06-15",13.76
"115","2007-06-18",13.74
"116","2007-06-19",13.71
"117","2007-06-20",13.69
"118","2007-06-21",13.61
"119","2007-06-22",13.64
"120","2007-06-25",13.41
"121","2007-06-26",13.21
"122","2007-06-27",13.23
"123","2007-06-28",13.3
"124","2007-06-29",13.34
"125","2007-07-02",13.68
"126","2007-07-03",13.69
"127","2007-07-05",13.82
"128","2007-07-06",14.07
"129","2007-07-09",13.96
"130","2007-07-10",13.98
"131","2007-07-11",13.92
"132","2007-07-12",14.13
"133","2007-07-13",14.45
"134","2007-07-16",14.26
"135","2007-07-17",14.11
"136","2007-07-18",14
"137","2007-07-19",14.07
"138","2007-07-20",13.9
"139","2007-07-23",13.56
"140","2007-07-24",13.41
"141","2007-07-25",13.64
"142","2007-07-26",13.24
"143","2007-07-27",13.2
"144","2007-07-30",13.26
"145","2007-07-31",12.92
"146","2007-08-01",12.77
"147","2007-08-02",13.21
"148","2007-08-03",13.04
"149","2007-08-06",12.93
"150","2007-08-07",13.2
"151","2007-08-08",13.3
"152","2007-08-09",12.67
"153","2007-08-10",12.44
"154","2007-08-13",12.38
"155","2007-08-14",11.97
"156","2007-08-15",11.5
"157","2007-08-16",11.45
"158","2007-08-17",12.07
"159","2007-08-20",12.3
"160","2007-08-21",12.34
"161","2007-08-22",12.58
"162","2007-08-23",12.64
"163","2007-08-24",12.85
"164","2007-08-27",12.75
"165","2007-08-28",12.2
"166","2007-08-29",12.54
"167","2007-08-30",12.64
"168","2007-08-31",12.89
"169","2007-09-04",13.12
"170","2007-09-05",12.83
"171","2007-09-06",12.91
"172","2007-09-07",12.79
"173","2007-09-10",12.73
"174","2007-09-11",12.66
"175","2007-09-12",12.74
"176","2007-09-13",13
"177","2007-09-14",12.8
"178","2007-09-17",12.74
"179","2007-09-18",12.94
"180","2007-09-19",12.78
"181","2007-09-20",13.14
"182","2007-09-21",13.13
"183","2007-09-24",13.11
"184","2007-09-25",13.12
"185","2007-09-26",13.12
"186","2007-09-27",13.28
"187","2007-09-28",13.43
"188","2007-10-01",13.52
"189","2007-10-02",13.35
"190","2007-10-03",13.11
"191","2007-10-04",13.25
"192","2007-10-05",13.66
"193","2007-10-08",13.84
"194","2007-10-09",13.74
"195","2007-10-10",13.66
"196","2007-10-11",13.64
"197","2007-10-12",13.71
"198","2007-10-15",13.38
"199","2007-10-16",13.01
"200","2007-10-17",13.24
"201","2007-10-18",13.41
"202","2007-10-19",13.22
"203","2007-10-22",13.2
"204","2007-10-23",13.22
"205","2007-10-24",13.09
"206","2007-10-25",13.07
"207","2007-10-26",13.34
"208","2007-10-29",13.29
"209","2007-10-30",13.22
"210","2007-10-31",13.49
"211","2007-11-01",13.24
"212","2007-11-02",13.59
"213","2007-11-05",13.5
"214","2007-11-06",13.58
"215","2007-11-07",13.04
"216","2007-11-08",13.29
"217","2007-11-09",12.89
"218","2007-11-12",12.36
"219","2007-11-13",12.45
"220","2007-11-14",12.27
"221","2007-11-15",12.08
"222","2007-11-16",12.25
"223","2007-11-19",12.08
"224","2007-11-20",12.11
"225","2007-11-21",11.49
"226","2007-11-23",11.64
"227","2007-11-26",11.43
"228","2007-11-27",11.42
"229","2007-11-28",11.71
"230","2007-11-29",11.72
"231","2007-11-30",11.89
"232","2007-12-03",11.81
"233","2007-12-04",11.39
"234","2007-12-05",12.13
"235","2007-12-06",12.18
"236","2007-12-07",12.48
"237","2007-12-10",12.8
"238","2007-12-11",12.61
"239","2007-12-12",12.61
"240","2007-12-13",12.42
"241","2007-12-14",12.68
"242","2007-12-17",12.38
"243","2007-12-18",12.74
"244","2007-12-19",13.24
"245","2007-12-20",13.22
"246","2007-12-21",13.16
"247","2007-12-24",13.46
"248","2007-12-26",13.5
"249","2007-12-27",13.38
"250","2007-12-28",13.57
"251","2007-12-31",13.37
"252","2008-01-02",13.33
"253","2008-01-03",13.11
"254","2008-01-04",12.96
"255","2008-01-07",12.84
"256","2008-01-08",12.71
"257","2008-01-09",12.45
"258","2008-01-10",12.69
"259","2008-01-11",12.3
"260","2008-01-14",11.86
"261","2008-01-15",11.53
"262","2008-01-16",11.26
"263","2008-01-17",10.87
"264","2008-01-18",10.75
"265","2008-01-22",10.31
"266","2008-01-23",10.65
"267","2008-01-24",11.18
"268","2008-01-25",11.02
"269","2008-01-28",10.95
"270","2008-01-29",11.37
"271","2008-01-30",11.28
"272","2008-01-31",11.26
"273","2008-02-01",11.91
"274","2008-02-04",11.88
"275","2008-02-05",11.25
"276","2008-02-06",11.23
"277","2008-02-07",11.28
"278","2008-02-08",11.44
"279","2008-02-11",11.52
"280","2008-02-12",11.68
"281","2008-02-13",12.16
"282","2008-02-14",12.55
"283","2008-02-15",12.29
"284","2008-02-19",12.13
"285","2008-02-20",12.37
"286","2008-02-21",12.7
"287","2008-02-22",12.38
"288","2008-02-25",12.56
"289","2008-02-26",12.69
"290","2008-02-27",12.6
"291","2008-02-28",12.69
"292","2008-02-29",12.57
"293","2008-03-03",11.93
"294","2008-03-04",12.07
"295","2008-03-05",11.76
"296","2008-03-06",11.65
"297","2008-03-07",11.56
"298","2008-03-10",11.4
"299","2008-03-11",11.89
"300","2008-03-12",11.68
"301","2008-03-13",11.78
"302","2008-03-14",11.48
"303","2008-03-17",11.31
"304","2008-03-18",11.44
"305","2008-03-19",10.85
"306","2008-03-20",11
"307","2008-03-24",11.74
"308","2008-03-25",11.72
"309","2008-03-26",11.89
"310","2008-03-27",11.91
"311","2008-03-28",11.39
"312","2008-03-31",11.31
"313","2008-04-01",11.25
"314","2008-04-02",11.67
"315","2008-04-03",12.03
"316","2008-04-04",12
"317","2008-04-07",11.95
"318","2008-04-08",12.42
"319","2008-04-09",12.07
"320","2008-04-10",12.29
"321","2008-04-11",11.87
"322","2008-04-14",11.71
"323","2008-04-15",11.54
"324","2008-04-16",11.88
"325","2008-04-17",11.61
"326","2008-04-18",11.92
"327","2008-04-21",11.7
"328","2008-04-22",11.46
"329","2008-04-23",11.35
"330","2008-04-24",11.49
"331","2008-04-25",11.48
"332","2008-04-28",11.86
"333","2008-04-29",11.91
"334","2008-04-30",11.57
"335","2008-05-01",11.58
"336","2008-05-02",12.01
"337","2008-05-05",12
"338","2008-05-06",12.31
"339","2008-05-07",12.29
"340","2008-05-08",12.15
"341","2008-05-09",12.81
"342","2008-05-12",13.22
"343","2008-05-13",13.06
"344","2008-05-14",13.03
"345","2008-05-15",13.31
"346","2008-05-16",13.21
"347","2008-05-19",13.16
"348","2008-05-20",13.54
"349","2008-05-21",13.13
"350","2008-05-22",13.38
"351","2008-05-23",13.11
"352","2008-05-27",13.05
"353","2008-05-28",13.27
"354","2008-05-29",13.3
"355","2008-05-30",13.26
"356","2008-06-02",13.61
"357","2008-06-03",13.35
"358","2008-06-04",13.54
"359","2008-06-05",13.38
"360","2008-06-06",12.94
"361","2008-06-09",12.46
"362","2008-06-10",12.35
"363","2008-06-11",12.44
"364","2008-06-12",12.31
"365","2008-06-13",12.06
"366","2008-06-16",12.15
"367","2008-06-17",12.29
"368","2008-06-18",12.19
"369","2008-06-19",11.98
"370","2008-06-20",12.04
"371","2008-06-23",12.17
"372","2008-06-24",11.96
"373","2008-06-25",12.01
"374","2008-06-26",11.4
"375","2008-06-27",11.55
"376","2008-06-30",11.29
"377","2008-07-01",11.12
"378","2008-07-02",11.27
"379","2008-07-03",10.95
"380","2008-07-07",11
"381","2008-07-08",11.07
"382","2008-07-09",11.25
"383","2008-07-10",11.34
"384","2008-07-11",10.74
"385","2008-07-14",10.04
"386","2008-07-15",10.21
