"","date","OPRX"
"1","2007-11-28",12
"2","2007-11-29",9
"3","2007-11-30",33
"4","2007-12-03",30
"5","2007-12-04",30
"6","2007-12-05",36
"7","2007-12-06",30
"8","2007-12-07",30
"9","2007-12-10",30
"10","2007-12-11",36
"11","2007-12-12",36
"12","2007-12-13",45
"13","2007-12-14",39
"14","2007-12-17",39
"15","2007-12-18",30
"16","2007-12-19",42
"17","2007-12-20",25.5
"18","2007-12-21",25.5
"19","2007-12-24",25.5
"20","2007-12-26",22.5
"21","2007-12-27",21
"22","2007-12-28",15
"23","2007-12-31",15
"24","2008-01-02",15
"25","2008-01-03",21
"26","2008-01-04",21
"27","2008-01-07",21
"28","2008-01-08",18
"29","2008-01-09",18
"30","2008-01-10",18
"31","2008-01-11",18
"32","2008-01-14",18
"33","2008-01-15",18
"34","2008-01-16",15
"35","2008-01-17",21
"36","2008-01-18",18
"37","2008-01-22",15
"38","2008-01-23",15
"39","2008-01-24",15
"40","2008-01-25",15
"41","2008-01-28",15
"42","2008-01-29",21
"43","2008-01-30",21
"44","2008-01-31",21
"45","2008-02-01",21
"46","2008-02-04",21
"47","2008-02-05",21
"48","2008-02-06",21
"49","2008-02-07",21
"50","2008-02-08",18
"51","2008-02-11",18
"52","2008-02-12",18
"53","2008-02-13",12
"54","2008-02-14",12
"55","2008-02-15",21
"56","2008-02-19",21
"57","2008-02-20",21
"58","2008-02-21",21
"59","2008-02-22",21
"60","2008-02-25",18
"61","2008-02-26",12
"62","2008-02-27",12
"63","2008-02-28",12
"64","2008-02-29",12
"65","2008-03-03",21
"66","2008-03-04",18
"67","2008-03-05",18
"68","2008-03-06",21
"69","2008-03-07",21
"70","2008-03-10",18
"71","2008-03-11",18
"72","2008-03-12",18
"73","2008-03-13",18
"74","2008-03-14",18
"75","2008-03-17",13.5
"76","2008-03-18",12.3
"77","2008-03-19",15
"78","2008-03-20",15
"79","2008-03-24",15
"80","2008-03-25",18
"81","2008-03-26",18
"82","2008-03-27",18
"83","2008-03-28",12
"84","2008-03-31",12
"85","2008-04-01",12
"86","2008-04-02",12
"87","2008-04-03",12
"88","2008-04-04",12
"89","2008-04-07",12
"90","2008-04-08",12
"91","2008-04-09",12
"92","2008-04-10",12
"93","2008-04-11",12
"94","2008-04-14",12
"95","2008-04-15",12
"96","2008-04-16",12
"97","2008-04-17",45
"98","2008-04-18",45
"99","2008-04-21",45
