"","date","KEP"
"1","2007-01-03",22.950001
"2","2007-01-04",22.969999
"3","2007-01-05",22.35
"4","2007-01-08",22.309999
"5","2007-01-09",21.75
"6","2007-01-10",21.92
"7","2007-01-11",22.23
"8","2007-01-12",22.860001
"9","2007-01-16",22.67
"10","2007-01-17",22.610001
"11","2007-01-18",22.610001
"12","2007-01-19",23.209999
"13","2007-01-22",23.559999
"14","2007-01-23",23.639999
"15","2007-01-24",23.58
"16","2007-01-25",23.24
"17","2007-01-26",23.469999
"18","2007-01-29",23.25
"19","2007-01-30",23.110001
"20","2007-01-31",22.870001
"21","2007-02-01",23.09
"22","2007-02-02",23.120001
"23","2007-02-05",23.219999
"24","2007-02-06",23.27
"25","2007-02-07",22.98
"26","2007-02-08",22.690001
"27","2007-02-09",22.549999
"28","2007-02-12",22.200001
"29","2007-02-13",22.290001
"30","2007-02-14",22.42
"31","2007-02-15",22.049999
"32","2007-02-16",22.139999
"33","2007-02-20",22.209999
"34","2007-02-21",21.879999
"35","2007-02-22",21.83
"36","2007-02-23",21.67
"37","2007-02-26",21.75
"38","2007-02-27",20.639999
"39","2007-02-28",21.040001
"40","2007-03-01",20.959999
"41","2007-03-02",20.360001
"42","2007-03-05",20.280001
"43","2007-03-06",20.610001
"44","2007-03-07",20.049999
"45","2007-03-08",20.200001
"46","2007-03-09",20.030001
"47","2007-03-12",20.120001
"48","2007-03-13",19.82
"49","2007-03-14",20.610001
"50","2007-03-15",20.629999
"51","2007-03-16",20.389999
"52","2007-03-19",20.629999
"53","2007-03-20",20.66
"54","2007-03-21",20.889999
"55","2007-03-22",20.530001
"56","2007-03-23",20.51
"57","2007-03-26",20.33
"58","2007-03-27",20.299999
"59","2007-03-28",20.07
"60","2007-03-29",20.07
"61","2007-03-30",20
"62","2007-04-02",20.379999
"63","2007-04-03",20.559999
"64","2007-04-04",20.459999
"65","2007-04-05",21
"66","2007-04-09",20.82
"67","2007-04-10",20.75
"68","2007-04-11",21.01
"69","2007-04-12",21.32
"70","2007-04-13",21.360001
"71","2007-04-16",21.18
"72","2007-04-17",21.049999
"73","2007-04-18",21.049999
"74","2007-04-19",20.73
"75","2007-04-20",20.67
"76","2007-04-23",20.700001
"77","2007-04-24",20.74
"78","2007-04-25",20.77
"79","2007-04-26",20.690001
"80","2007-04-27",20.700001
"81","2007-04-30",20.68
"82","2007-05-01",21.01
"83","2007-05-02",21.469999
"84","2007-05-03",21.780001
"85","2007-05-04",21.5
"86","2007-05-07",21.299999
"87","2007-05-08",21.370001
"88","2007-05-09",21.549999
"89","2007-05-10",21.15
"90","2007-05-11",21.48
"91","2007-05-14",21.51
"92","2007-05-15",21.639999
"93","2007-05-16",22.77
