"","date","MGTA"
"1","2018-06-21",14.52
"2","2018-06-22",14.5
"3","2018-06-25",14.25
"4","2018-06-26",14.25
"5","2018-06-27",14.04
"6","2018-06-28",13.68
"7","2018-06-29",13.5
"8","2018-07-02",13.59
"9","2018-07-03",12.98
"10","2018-07-05",13.01
"11","2018-07-06",12.98
"12","2018-07-09",12.85
"13","2018-07-10",12.54
"14","2018-07-11",12.25
"15","2018-07-12",12.08
"16","2018-07-13",13.36
"17","2018-07-16",13.01
"18","2018-07-17",13.83
"19","2018-07-18",14.01
"20","2018-07-19",14.16
"21","2018-07-20",15
"22","2018-07-23",14.11
"23","2018-07-24",14.16
"24","2018-07-25",13.97
"25","2018-07-26",13.71
"26","2018-07-27",13.93
"27","2018-07-30",13.85
"28","2018-07-31",13.75
"29","2018-08-01",13.07
"30","2018-08-02",13.3
"31","2018-08-03",13.19
"32","2018-08-06",12.78
"33","2018-08-07",12.83
"34","2018-08-08",13.23
"35","2018-08-09",13.39
"36","2018-08-10",13
"37","2018-08-13",12.89
"38","2018-08-14",12.67
"39","2018-08-15",12.89
"40","2018-08-16",12.69
"41","2018-08-17",13.82
"42","2018-08-20",13.22
"43","2018-08-21",13.87
"44","2018-08-22",14.25
"45","2018-08-23",14.2
"46","2018-08-24",14.19
"47","2018-08-27",14.14
"48","2018-08-28",14.47
"49","2018-08-29",14.45
"50","2018-08-30",15.7
"51","2018-08-31",14.6
"52","2018-09-04",14.33
"53","2018-09-05",13.3
"54","2018-09-06",13.11
"55","2018-09-07",12.61
"56","2018-09-10",12.65
"57","2018-09-11",12.42
"58","2018-09-12",12.14
"59","2018-09-13",12
"60","2018-09-14",12.07
"61","2018-09-17",11.82
"62","2018-09-18",11.87
"63","2018-09-19",11.6
"64","2018-09-20",11.62
"65","2018-09-21",11.32
"66","2018-09-24",11.99
"67","2018-09-25",11.67
"68","2018-09-26",12
"69","2018-09-27",12.21
"70","2018-09-28",12.01
"71","2018-10-01",11.65
"72","2018-10-02",11.23
"73","2018-10-03",11.09
"74","2018-10-04",11.09
"75","2018-10-05",11.05
"76","2018-10-08",10.37
"77","2018-10-09",10.45
"78","2018-10-10",9.54
"79","2018-10-11",9.06
"80","2018-10-12",9.98
"81","2018-10-15",9.57
"82","2018-10-16",9.88
"83","2018-10-17",9.97
"84","2018-10-18",9.87
"85","2018-10-19",10.07
"86","2018-10-22",9.92
"87","2018-10-23",9.3
"88","2018-10-24",9.23
"89","2018-10-25",9.2
"90","2018-10-26",9.17
"91","2018-10-29",9.15
"92","2018-10-30",9.1
"93","2018-10-31",8.77
"94","2018-11-01",8.26
"95","2018-11-02",8.5
"96","2018-11-05",9.06
"97","2018-11-06",9.16
"98","2018-11-07",9.12
"99","2018-11-08",8.81
"100","2018-11-09",8.69
"101","2018-11-12",7.88
"102","2018-11-13",6.87
"103","2018-11-14",6.66
"104","2018-11-15",7.17
"105","2018-11-16",7.77
"106","2018-11-19",7.65
"107","2018-11-20",7.63
"108","2018-11-21",7.83
"109","2018-11-23",8.81
"110","2018-11-26",8.84
"111","2018-11-27",8.95
"112","2018-11-28",9.01
"113","2018-11-29",9.15
"114","2018-11-30",9.78
"115","2018-12-03",9.18
"116","2018-12-04",8.77
"117","2018-12-06",8.63
"118","2018-12-07",7.83
"119","2018-12-10",7.76
"120","2018-12-11",8.34
"121","2018-12-12",7.92
"122","2018-12-13",7.49
"123","2018-12-14",6.92
"124","2018-12-17",6.73
"125","2018-12-18",6.27
"126","2018-12-19",6.02
"127","2018-12-20",5.87
"128","2018-12-21",6
"129","2018-12-24",5.93
"130","2018-12-26",5.83
"131","2018-12-27",5.57
"132","2018-12-28",5.7
"133","2018-12-31",5.7
"134","2019-01-02",6
"135","2019-01-03",5.76
"136","2019-01-04",6.14
"137","2019-01-07",5.7
"138","2019-01-08",5.75
"139","2019-01-09",5.89
"140","2019-01-10",5.84
"141","2019-01-11",6.12
"142","2019-01-14",6.01
"143","2019-01-15",6.69
"144","2019-01-16",6.92
"145","2019-01-17",6.83
"146","2019-01-18",7
"147","2019-01-22",6.9
"148","2019-01-23",6.99
"149","2019-01-24",7
"150","2019-01-25",7.24
"151","2019-01-28",6.98
"152","2019-01-29",6.62
"153","2019-01-30",6.87
"154","2019-01-31",7.01
