"","date","TATT"
"1","2007-01-03",17.129999
"2","2007-01-04",17.02
"3","2007-01-05",16.799999
"4","2007-01-08",16.6
"5","2007-01-09",16.93
"6","2007-01-10",17.110001
"7","2007-01-11",17.85
"8","2007-01-12",19.120001
"9","2007-01-16",21.209999
"10","2007-01-17",22.15
"11","2007-01-18",21.25
"12","2007-01-19",21.530001
"13","2007-01-22",21.83
"14","2007-01-23",22.870001
"15","2007-01-24",22.360001
"16","2007-01-25",21.48
"17","2007-01-26",21.49
"18","2007-01-29",22.049999
"19","2007-01-30",22.25
"20","2007-01-31",21.75
"21","2007-02-01",22.24
"22","2007-02-02",23.200001
"23","2007-02-05",23.49
"24","2007-02-06",25.549999
"25","2007-02-07",25.75
"26","2007-02-08",26.360001
"27","2007-02-09",25.5
"28","2007-02-12",25.32
"29","2007-02-13",26.33
"30","2007-02-14",26.66
"31","2007-02-15",27.4
"32","2007-02-16",28.18
"33","2007-02-20",25.23
"34","2007-02-21",23.059999
"35","2007-02-22",22.74
"36","2007-02-23",22.940001
"37","2007-02-26",21
"38","2007-02-27",22.17
"39","2007-02-28",24.940001
"40","2007-03-01",24.309999
"41","2007-03-02",23.190001
"42","2007-03-05",21.41
"43","2007-03-06",22.940001
"44","2007-03-07",22.76
"45","2007-03-08",22.84
"46","2007-03-09",22.530001
"47","2007-03-12",23.49
"48","2007-03-13",23.02
"49","2007-03-14",23.43
"50","2007-03-15",23.280001
"51","2007-03-16",23.67
"52","2007-03-19",23.68
"53","2007-03-20",23.34
"54","2007-03-21",24.23
"55","2007-03-22",25.799999
"56","2007-03-23",26.540001
"57","2007-03-26",26
"58","2007-03-27",26.370001
"59","2007-03-28",23.57
"60","2007-03-29",22.709999
"61","2007-03-30",21.030001
"62","2007-04-02",20.450001
"63","2007-04-03",20.93
"64","2007-04-04",20.59
"65","2007-04-05",20.309999
"66","2007-04-09",20.559999
"67","2007-04-10",21.15
"68","2007-04-11",21.5
"69","2007-04-12",21.5
"70","2007-04-13",21.440001
"71","2007-04-16",21.9
"72","2007-04-17",21.35
"73","2007-04-18",21.93
"74","2007-04-19",21.25
"75","2007-04-20",20.940001
"76","2007-04-23",19.379999
"77","2007-04-24",19.6
"78","2007-04-25",18.950001
"79","2007-04-26",18.67
"80","2007-04-27",18.75
"81","2007-04-30",17.9
"82","2007-05-01",16.93
"83","2007-05-02",18.27
"84","2007-05-03",18.549999
"85","2007-05-04",19
"86","2007-05-07",18.43
