"","date","SPFI"
"1","2019-05-09",17.709999
"2","2019-05-10",18.030001
"3","2019-05-13",17.9
"4","2019-05-14",18
"5","2019-05-15",17.940001
"6","2019-05-16",17.959999
"7","2019-05-17",17.74
"8","2019-05-20",18.15
"9","2019-05-21",18.35
"10","2019-05-22",18.32
"11","2019-05-23",18.09
"12","2019-05-24",18.18
"13","2019-05-28",17.51
"14","2019-05-29",17.459999
"15","2019-05-30",16.959999
"16","2019-05-31",17.549999
"17","2019-06-03",17.860001
"18","2019-06-04",17.99
"19","2019-06-05",18.4
"20","2019-06-06",17.76
"21","2019-06-07",17.48
"22","2019-06-10",17.59
"23","2019-06-11",17.52
"24","2019-06-12",17.530001
"25","2019-06-13",17.969999
"26","2019-06-14",17.98
"27","2019-06-17",17.870001
"28","2019-06-18",17.709999
"29","2019-06-19",17.6
"30","2019-06-20",17.5
"31","2019-06-21",17.26
"32","2019-06-24",17.049999
"33","2019-06-25",16.870001
"34","2019-06-26",16.75
"35","2019-06-27",16.41
"36","2019-06-28",16.5
"37","2019-07-01",16.75
"38","2019-07-02",16.879999
"39","2019-07-03",16.73
"40","2019-07-05",16.98
"41","2019-07-08",17
"42","2019-07-09",17.23
"43","2019-07-10",17.32
"44","2019-07-11",17.4
"45","2019-07-12",17.709999
"46","2019-07-15",17.889999
"47","2019-07-16",17.82
"48","2019-07-17",17.85
"49","2019-07-18",17.77
"50","2019-07-19",17.42
"51","2019-07-22",17.459999
"52","2019-07-23",17.719999
"53","2019-07-24",17.639999
"54","2019-07-25",17.629999
"55","2019-07-26",17.65
"56","2019-07-29",17.719999
"57","2019-07-30",17.4
"58","2019-07-31",17.455
"59","2019-08-01",17.43
"60","2019-08-02",17.48
"61","2019-08-05",17
"62","2019-08-06",17.17
"63","2019-08-07",17
"64","2019-08-08",17
"65","2019-08-09",16.870001
"66","2019-08-12",16.620001
"67","2019-08-13",16.799999
"68","2019-08-14",16.01
"69","2019-08-15",15.89
"70","2019-08-16",16
"71","2019-08-19",16.280001
"72","2019-08-20",16.27
"73","2019-08-21",16
"74","2019-08-22",16
"75","2019-08-23",15.99
"76","2019-08-26",16.24
"77","2019-08-27",16.209999
"78","2019-08-28",16.23
"79","2019-08-29",16.790001
"80","2019-08-30",16.360001
"81","2019-09-03",16.049999
"82","2019-09-04",16.389999
"83","2019-09-05",16.35
"84","2019-09-06",16.32
"85","2019-09-09",16.5
"86","2019-09-10",16.15
"87","2019-09-11",16.5
"88","2019-09-12",16.74
"89","2019-09-13",17.200001
"90","2019-09-16",17.01
"91","2019-09-17",16.26
"92","2019-09-18",16.35
"93","2019-09-19",16.200001
"94","2019-09-20",16.5
"95","2019-09-23",16.25
"96","2019-09-24",16.299999
"97","2019-09-25",16.389999
"98","2019-09-26",16.379999
"99","2019-09-27",16.32
"100","2019-09-30",16.299999
"101","2019-10-01",16.299999
"102","2019-10-02",16.299999
"103","2019-10-03",16.48
"104","2019-10-04",16.299999
"105","2019-10-07",16.02
"106","2019-10-08",16.200001
"107","2019-10-09",16.17
"108","2019-10-10",16.15
"109","2019-10-11",16.280001
"110","2019-10-14",16.209999
"111","2019-10-15",16.15
"112","2019-10-16",16.43
"113","2019-10-17",16.15
"114","2019-10-18",16.49
"115","2019-10-21",16.48
"116","2019-10-22",16.24
"117","2019-10-23",16.1
"118","2019-10-24",17.25
"119","2019-10-25",16.73
"120","2019-10-28",16.950001
"121","2019-10-29",17.09
"122","2019-10-30",17.309999
"123","2019-10-31",16.75
"124","2019-11-01",17.049999
"125","2019-11-04",16.99
"126","2019-11-05",17.09
"127","2019-11-06",17.309999
"128","2019-11-07",17.379999
"129","2019-11-08",17.5
"130","2019-11-11",17.35
"131","2019-11-12",17.35
"132","2019-11-13",17.559999
"133","2019-11-14",18.15
"134","2019-11-15",18.879999
"135","2019-11-18",19
"136","2019-11-19",19.02
"137","2019-11-20",18.940001
"138","2019-11-21",18.940001
"139","2019-11-22",18.98
"140","2019-11-25",18.870001
"141","2019-11-26",18.870001
"142","2019-11-27",18.76
"143","2019-11-29",18.98
