"","date","COOP"
"235","2013-03-06",9
"236","2013-03-07",8.76
"237","2013-03-08",8.88
"238","2013-03-11",8.76
"239","2013-03-12",8.4
"240","2013-03-13",8.4
"241","2013-03-14",8.76
"242","2013-03-15",8.76
"243","2013-03-18",8.76
"244","2013-03-19",9.12
"245","2013-03-20",8.76
"246","2013-03-21",8.64
"247","2013-03-22",8.64
"248","2013-03-25",8.4
"249","2013-03-26",8.52
"250","2013-03-27",8.28
"251","2013-03-28",8.4
"252","2013-04-01",8.4
"253","2013-04-02",8.28
"254","2013-04-03",8.04
"255","2013-04-04",7.68
"256","2013-04-05",7.68
"257","2013-04-08",7.8
"258","2013-04-09",7.68
"259","2013-04-10",7.44
"260","2013-04-11",7.56
"261","2013-04-12",7.56
"262","2013-04-15",7.56
"263","2013-04-16",7.56
"264","2013-04-17",7.44
"265","2013-04-18",7.32
"266","2013-04-19",7.32
"267","2013-04-22",7.32
"268","2013-04-23",7.32
"269","2013-04-24",7.2
"270","2013-04-25",7.2
"271","2013-04-26",7.2
"272","2013-04-29",7.08
"273","2013-04-30",7.2
"274","2013-05-01",7.2
"275","2013-05-02",7.2
"276","2013-05-03",7.2
"277","2013-05-06",7.08
"278","2013-05-07",7.08
"279","2013-05-08",7.2
"280","2013-05-09",7.2
"281","2013-05-10",7.2
"282","2013-05-13",8.04
"283","2013-05-14",7.92
"284","2013-05-15",8.64
"285","2013-05-16",8.64
"286","2013-05-17",9.48
"287","2013-05-20",9.84
"288","2013-05-21",10.68
"289","2013-05-22",10.32
"290","2013-05-23",10.56
"291","2013-05-24",10.8
"292","2013-05-28",11.4
"293","2013-05-29",11.4
"294","2013-05-30",10.68
"295","2013-05-31",10.56
"296","2013-06-03",10.32
"297","2013-06-04",10.32
"298","2013-06-05",9.24
"299","2013-06-06",9.6
"300","2013-06-07",9.6
"301","2013-06-10",9.6
"302","2013-06-11",10.08
"303","2013-06-12",10.08
"304","2013-06-13",9.72
"305","2013-06-14",9.6
"306","2013-06-17",9.96
"307","2013-06-18",10.44
"308","2013-06-19",10.32
"309","2013-06-20",10.44
"310","2013-06-21",10.44
"311","2013-06-24",10.2
"312","2013-06-25",10.2
"313","2013-06-26",9.6
"314","2013-06-27",9.6
"315","2013-06-28",9.6
"316","2013-07-01",9.72
"317","2013-07-02",9.6
"318","2013-07-03",9.96
"319","2013-07-05",9.72
"320","2013-07-08",9.84
"321","2013-07-09",9.96
"322","2013-07-10",9.6
"323","2013-07-11",10.08
"324","2013-07-12",10.08
"325","2013-07-15",10.08
"326","2013-07-16",10.56
"327","2013-07-17",10.56
"328","2013-07-18",10.56
"329","2013-07-19",10.32
"330","2013-07-22",10.08
"331","2013-07-23",10.2
"332","2013-07-24",10.32
"333","2013-07-25",10.32
"334","2013-07-26",10.68
"335","2013-07-29",10.44
"336","2013-07-30",10.8
"337","2013-07-31",10.8
"338","2013-08-01",11.4
"339","2013-08-02",11.64
"340","2013-08-05",12.48
"341","2013-08-06",12.48
"342","2013-08-07",12.6
"343","2013-08-08",12.6
"344","2013-08-09",12.48
"345","2013-08-12",12.24
"346","2013-08-13",12.24
"347","2013-08-14",12.12
"348","2013-08-15",12.24
"349","2013-08-16",12.48
"350","2013-08-19",12.24
"351","2013-08-20",12.24
"352","2013-08-21",12.24
"353","2013-08-22",12.36
"354","2013-08-23",12.24
"355","2013-08-26",12.24
"356","2013-08-27",12.36
"357","2013-08-28",12.24
"358","2013-08-29",12.36
"359","2013-08-30",12.24
"360","2013-09-03",12.36
"361","2013-09-04",12.24
"362","2013-09-05",12.24
"363","2013-09-06",12.48
"364","2013-09-09",12.24
"365","2013-09-10",12.36
"366","2013-09-11",13.56
"367","2013-09-12",13.92
"368","2013-09-13",14.28
"369","2013-09-16",15.24
"370","2013-09-17",16.559999
"371","2013-09-18",16.559999
"372","2013-09-19",16.440001
"373","2013-09-20",15.36
"374","2013-09-23",15.36
"375","2013-09-24",15.24
"376","2013-09-25",15
"377","2013-09-26",14.88
"378","2013-09-27",14.88
"379","2013-09-30",14.64
"380","2013-10-01",14.88
"381","2013-10-02",14.88
"382","2013-10-03",14.64
"383","2013-10-04",14.64
"384","2013-10-07",14.64
"385","2013-10-08",14.52
"386","2013-10-09",14.28
"387","2013-10-10",14.16
"388","2013-10-11",14.16
"389","2013-10-14",14.64
"390","2013-10-15",14.28
"391","2013-10-16",14.28
"392","2013-10-17",14.28
"393","2013-10-18",14.28
"394","2013-10-21",14.04
"395","2013-10-22",13.92
"396","2013-10-23",14.04
"397","2013-10-24",14.16
"398","2013-10-25",14.16
"399","2013-10-28",13.8
"400","2013-10-29",13.44
"401","2013-10-30",13.32
"402","2013-10-31",13.2
"403","2013-11-01",13.08
"404","2013-11-04",12.48
"405","2013-11-05",12.6
"406","2013-11-06",12.6
"407","2013-11-07",12.12
"408","2013-11-08",12.48
"409","2013-11-11",14.04
"410","2013-11-12",14.04
"411","2013-11-13",13.56
"412","2013-11-14",13.68
"413","2013-11-15",14.16
"414","2013-11-18",12.84
"415","2013-11-19",13.8
"416","2013-11-20",13.68
"417","2013-11-21",13.8
