"","date","SWCH"
"1","2017-10-06",20.84
"2","2017-10-09",19.01
"3","2017-10-10",19.959999
"4","2017-10-11",19.08
"5","2017-10-12",19.709999
"6","2017-10-13",19.719999
"7","2017-10-16",19.879999
"8","2017-10-17",19.65
"9","2017-10-18",19.15
"10","2017-10-19",18.58
"11","2017-10-20",19.299999
"12","2017-10-23",18.74
"13","2017-10-24",18.68
"14","2017-10-25",18.99
"15","2017-10-26",18.620001
"16","2017-10-27",18.99
"17","2017-10-30",19.35
"18","2017-10-31",19.129999
"19","2017-11-01",19
"20","2017-11-02",18.9
"21","2017-11-03",18.219999
"22","2017-11-06",18.26
"23","2017-11-07",18.309999
"24","2017-11-08",18.35
"25","2017-11-09",18.459999
"26","2017-11-10",18.950001
"27","2017-11-13",20.030001
"28","2017-11-14",18.950001
"29","2017-11-15",18.959999
"30","2017-11-16",18.99
"31","2017-11-17",18.440001
"32","2017-11-20",18.299999
"33","2017-11-21",18.07
"34","2017-11-22",17.950001
"35","2017-11-24",17.870001
"36","2017-11-27",17.629999
"37","2017-11-28",17.68
"38","2017-11-29",17.120001
"39","2017-11-30",17.139999
"40","2017-12-01",16.709999
"41","2017-12-04",16.25
"42","2017-12-05",16.299999
"43","2017-12-06",16.85
"44","2017-12-07",17
"45","2017-12-08",17.450001
"46","2017-12-11",17.299999
"47","2017-12-12",17.07
"48","2017-12-13",17.07
"49","2017-12-14",16.709999
"50","2017-12-15",17.1
"51","2017-12-18",16.809999
"52","2017-12-19",17.01
"53","2017-12-20",17.1
"54","2017-12-21",17.57
"55","2017-12-22",18.1
"56","2017-12-26",17.84
"57","2017-12-27",18.01
"58","2017-12-28",18.120001
"59","2017-12-29",18.190001
"60","2018-01-02",17.16
"61","2018-01-03",17.280001
"62","2018-01-04",17.27
"63","2018-01-05",17.57
"64","2018-01-08",17.99
"65","2018-01-09",17.76
"66","2018-01-10",17.110001
"67","2018-01-11",17.26
"68","2018-01-12",17.25
"69","2018-01-16",17.4
"70","2018-01-17",17.27
"71","2018-01-18",17.02
"72","2018-01-19",16.74
"73","2018-01-22",16.459999
"74","2018-01-23",16.459999
"75","2018-01-24",16.51
"76","2018-01-25",16.5
"77","2018-01-26",16.700001
"78","2018-01-29",16.6
"79","2018-01-30",16.33
"80","2018-01-31",16.219999
"81","2018-02-01",16.530001
"82","2018-02-02",15.9
"83","2018-02-05",15.55
"84","2018-02-06",15.1
"85","2018-02-07",14.95
"86","2018-02-08",14.83
"87","2018-02-09",14.77
"88","2018-02-12",15.64
"89","2018-02-13",15.74
"90","2018-02-14",15.81
"91","2018-02-15",15.86
"92","2018-02-16",15.44
"93","2018-02-20",15.46
"94","2018-02-21",14.79
"95","2018-02-22",14.38
"96","2018-02-23",14.7
"97","2018-02-26",14.99
"98","2018-02-27",14.54
"99","2018-02-28",13.81
"100","2018-03-01",13.98
"101","2018-03-02",13.65
"102","2018-03-05",14.49
"103","2018-03-06",14.9
"104","2018-03-07",14.78
"105","2018-03-08",15.12
"106","2018-03-09",15.24
"107","2018-03-12",15.26
"108","2018-03-13",14.94
"109","2018-03-14",14.98
"110","2018-03-15",15.6
"111","2018-03-16",16
"112","2018-03-19",15.81
"113","2018-03-20",15.69
"114","2018-03-21",15.86
"115","2018-03-22",15.76
"116","2018-03-23",15.22
"117","2018-03-26",15.6
"118","2018-03-27",15.72
"119","2018-03-28",15.45
"120","2018-03-29",15.91
"121","2018-04-02",15.85
"122","2018-04-03",13.37
"123","2018-04-04",14
"124","2018-04-05",14.81
"125","2018-04-06",14.64
"126","2018-04-09",14.79
"127","2018-04-10",14.68
"128","2018-04-11",14.7
"129","2018-04-12",14.24
"130","2018-04-13",14.28
"131","2018-04-16",14.22
"132","2018-04-17",14.69
"133","2018-04-18",14.71
"134","2018-04-19",14.66
"135","2018-04-20",14.55
"136","2018-04-23",14.41
"137","2018-04-24",14.17
"138","2018-04-25",14.24
"139","2018-04-26",14.31
"140","2018-04-27",14.04
"141","2018-04-30",14.25
"142","2018-05-01",14.23
"143","2018-05-02",14.41
"144","2018-05-03",14.49
"145","2018-05-04",15.61
"146","2018-05-07",15.44
"147","2018-05-08",15.23
"148","2018-05-09",15.17
"149","2018-05-10",15.41
"150","2018-05-11",15.33
"151","2018-05-14",15.47
"152","2018-05-15",13.16
"153","2018-05-16",13.2
"154","2018-05-17",12.99
"155","2018-05-18",12.62
"156","2018-05-21",12.51
"157","2018-05-22",12.3
"158","2018-05-23",12.08
"159","2018-05-24",12.15
"160","2018-05-25",12.66
"161","2018-05-29",12.69
"162","2018-05-30",12.57
"163","2018-05-31",12.48
"164","2018-06-01",12.36
"165","2018-06-04",12.83
"166","2018-06-05",12.78
"167","2018-06-06",12.75
"168","2018-06-07",13.08
"169","2018-06-08",13.09
"170","2018-06-11",12.96
"171","2018-06-12",12.98
"172","2018-06-13",13
"173","2018-06-14",13.06
"174","2018-06-15",13.2
"175","2018-06-18",13.17
"176","2018-06-19",13.14
"177","2018-06-20",13.1
"178","2018-06-21",12.9
"179","2018-06-22",13.05
"180","2018-06-25",12.49
