"","date","WSBC"
"194","2007-10-09",25.719999
"195","2007-10-10",25.98
"196","2007-10-11",25.35
"197","2007-10-12",25.309999
"198","2007-10-15",24.959999
"199","2007-10-16",24.360001
"200","2007-10-17",24.370001
"201","2007-10-18",24.040001
"202","2007-10-19",22.73
"203","2007-10-22",23.59
"204","2007-10-23",23.280001
"205","2007-10-24",22.309999
"206","2007-10-25",22.4
"207","2007-10-26",23.23
"208","2007-10-29",23.030001
"209","2007-10-30",22.870001
"210","2007-10-31",23.07
"211","2007-11-01",21.24
"212","2007-11-02",21.209999
"213","2007-11-05",20.16
"214","2007-11-06",21.57
"215","2007-11-07",20.4
"216","2007-11-08",21.75
"217","2007-11-09",22.17
"218","2007-11-12",22.98
"219","2007-11-13",23.17
"220","2007-11-14",22.73
"221","2007-11-15",22.469999
"222","2007-11-16",22.48
"223","2007-11-19",21.9
"224","2007-11-20",22.01
"225","2007-11-21",21.92
"226","2007-11-23",22.77
"227","2007-11-26",21.389999
"228","2007-11-27",22.620001
"229","2007-11-28",24.280001
"230","2007-11-29",23.860001
"231","2007-11-30",23.98
"232","2007-12-03",22.58
"233","2007-12-04",22.26
"234","2007-12-05",22.24
"235","2007-12-06",23.6
"236","2007-12-07",23.4
"237","2007-12-10",23.559999
"238","2007-12-11",22.25
"239","2007-12-12",21.75
"240","2007-12-13",22.25
"241","2007-12-14",21.25
"242","2007-12-17",20.719999
"243","2007-12-18",21.209999
"244","2007-12-19",21.49
"245","2007-12-20",21.27
"246","2007-12-21",22.040001
"247","2007-12-24",22.77
"248","2007-12-26",23.02
"249","2007-12-27",21.459999
"250","2007-12-28",20.889999
"251","2007-12-31",20.6
"252","2008-01-02",20.469999
"253","2008-01-03",19.790001
"254","2008-01-04",19.1
"255","2008-01-07",19.59
"256","2008-01-08",18.67
"257","2008-01-09",19.629999
"258","2008-01-10",20.219999
"259","2008-01-11",18.92
"260","2008-01-14",20.389999
"261","2008-01-15",18.98
"262","2008-01-16",20
"263","2008-01-17",18.940001
"264","2008-01-18",18.18
"265","2008-01-22",19.77
"266","2008-01-23",21.790001
"267","2008-01-24",20.469999
"268","2008-01-25",20.040001
"269","2008-01-28",21.530001
"270","2008-01-29",21.82
"271","2008-01-30",24.07
"272","2008-01-31",27.459999
"273","2008-02-01",26.33
"274","2008-02-04",26.27
"275","2008-02-05",25.65
"276","2008-02-06",25.83
"277","2008-02-07",26.809999
"278","2008-02-08",26.129999
"279","2008-02-11",25.82
"280","2008-02-12",26.030001
"281","2008-02-13",25.799999
"282","2008-02-14",25
"283","2008-02-15",24.75
"284","2008-02-19",24.75
"285","2008-02-20",25.24
"286","2008-02-21",24.84
"287","2008-02-22",24.67
"288","2008-02-25",25.24
"289","2008-02-26",25.120001
"290","2008-02-27",25.15
"291","2008-02-28",24.309999
"292","2008-02-29",23.290001
"293","2008-03-03",23.16
"294","2008-03-04",23.209999
"295","2008-03-05",22.43
"296","2008-03-06",21.780001
"297","2008-03-07",22.790001
"298","2008-03-10",23.280001
"299","2008-03-11",25.059999
"300","2008-03-12",24.18
"301","2008-03-13",25.26
"302","2008-03-14",24.43
"303","2008-03-17",24.09
"304","2008-03-18",25.92
"305","2008-03-19",25.18
"306","2008-03-20",26.26
"307","2008-03-24",26.450001
"308","2008-03-25",26.16
"309","2008-03-26",26.68
"310","2008-03-27",25.700001
"311","2008-03-28",24.84
"312","2008-03-31",24.709999
"313","2008-04-01",25.99
"314","2008-04-02",26.309999
"315","2008-04-03",25.85
"316","2008-04-04",25.76
"317","2008-04-07",25.73
"318","2008-04-08",25.66
"319","2008-04-09",24.309999
"320","2008-04-10",24.969999
"321","2008-04-11",23.059999
"322","2008-04-14",23.15
"323","2008-04-15",24.08
"324","2008-04-16",25.51
"325","2008-04-17",25.23
"326","2008-04-18",25.77
"327","2008-04-21",25.07
"328","2008-04-22",24.870001
"329","2008-04-23",21.870001
"330","2008-04-24",23.74
"331","2008-04-25",22.43
"332","2008-04-28",22.709999
"333","2008-04-29",21.860001
"334","2008-04-30",21.51
"335","2008-05-01",23.24
"336","2008-05-02",22.15
"337","2008-05-05",21.700001
"338","2008-05-06",21.940001
"339","2008-05-07",21.51
"340","2008-05-08",21.51
"341","2008-05-09",21.4
"342","2008-05-12",22.469999
"343","2008-05-13",22.139999
"344","2008-05-14",22.049999
"345","2008-05-15",22.57
"346","2008-05-16",22.120001
"347","2008-05-19",21.889999
"348","2008-05-20",21.719999
"349","2008-05-21",21.709999
"350","2008-05-22",22.15
"351","2008-05-23",21.860001
"352","2008-05-27",22.27
"353","2008-05-28",21.809999
"354","2008-05-29",22.23
"355","2008-05-30",22
"356","2008-06-02",21.42
"357","2008-06-03",21.4
"358","2008-06-04",21.469999
"359","2008-06-05",22.08
"360","2008-06-06",20.700001
"361","2008-06-09",20.379999
"362","2008-06-10",20.24
"363","2008-06-11",19.25
"364","2008-06-12",19.389999
"365","2008-06-13",20.02
"366","2008-06-16",19.9
"367","2008-06-17",19.5
"368","2008-06-18",18.9
"369","2008-06-19",19.4
"370","2008-06-20",19.43
"371","2008-06-23",18.42
"372","2008-06-24",18.43
"373","2008-06-25",18.65
"374","2008-06-26",18.309999
"375","2008-06-27",17.73
"376","2008-06-30",17.15
"377","2008-07-01",16.98
"378","2008-07-02",15.8
"379","2008-07-03",15.14
"380","2008-07-07",14.83
"381","2008-07-08",16.700001
"382","2008-07-09",15.6
"383","2008-07-10",16.129999
"384","2008-07-11",16.4
"385","2008-07-14",15.24
"386","2008-07-15",15.07
"387","2008-07-16",17.280001
"388","2008-07-17",18.16
"389","2008-07-18",17.91
"390","2008-07-21",17.77
"391","2008-07-22",19.17
"392","2008-07-23",19.700001
"393","2008-07-24",20.139999
"394","2008-07-25",21.57
"395","2008-07-28",20.65
"396","2008-07-29",22.92
"397","2008-07-30",23.24
"398","2008-07-31",22.790001
"399","2008-08-01",23.440001
"400","2008-08-04",23.18
"401","2008-08-05",24.41
"402","2008-08-06",24.530001
"403","2008-08-07",23.85
"404","2008-08-08",24.959999
"405","2008-08-11",25.98
"406","2008-08-12",26.030001
"407","2008-08-13",25.040001
"408","2008-08-14",25.719999
"409","2008-08-15",26.25
"410","2008-08-18",25.299999
"411","2008-08-19",25.32
"412","2008-08-20",24.940001
