"","date","OPBK"
"1","2007-01-03",13.35
"2","2007-01-04",13.35
"3","2007-01-05",13.35
"4","2007-01-08",13.35
"5","2007-01-09",13.35
"6","2007-01-10",13.35
"7","2007-01-11",13.35
"8","2007-01-12",13.35
"9","2007-01-16",13.35
"10","2007-01-17",13.35
"11","2007-01-18",13.35
"12","2007-01-19",13.35
"13","2007-01-22",13.35
"14","2007-01-23",13.35
"15","2007-01-24",13.35
"16","2007-01-25",13.35
"17","2007-01-26",13.35
"18","2007-01-29",13.35
"19","2007-01-30",13.35
"20","2007-01-31",13.35
"21","2007-02-01",13.35
"22","2007-02-02",13.35
"23","2007-02-05",13.07
"24","2007-02-06",13.07
"25","2007-02-07",13.07
"26","2007-02-08",13.07
"27","2007-02-09",13.07
"28","2007-02-12",13.07
"29","2007-02-13",13.07
"30","2007-02-14",12.75
"31","2007-02-15",12.5
"32","2007-02-16",12.5
"33","2007-02-20",12.5
"34","2007-02-21",12
"35","2007-02-22",12
"36","2007-02-23",12
"37","2007-02-26",12
"38","2007-02-27",12.5
"39","2007-02-28",12.5
"40","2007-03-01",12
"41","2007-03-02",12
"42","2007-03-05",12
"43","2007-03-06",11.9
"44","2007-03-07",11.6
"45","2007-03-08",11.6
"46","2007-03-09",11.6
"47","2007-03-12",11.6
"48","2007-03-13",11.6
"49","2007-03-14",11.6
"50","2007-03-15",11.6
"51","2007-03-16",11.05
"52","2007-03-19",11.05
"53","2007-03-20",11.05
"54","2007-03-21",11
"55","2007-03-22",11
"56","2007-03-23",11
"57","2007-03-26",11
"58","2007-03-27",11
"59","2007-03-28",11
"60","2007-03-29",11
"61","2007-03-30",11
"62","2007-04-02",11
"63","2007-04-03",11
"64","2007-04-04",11
"65","2007-04-05",11
"66","2007-04-09",11
"67","2007-04-10",11
"68","2007-04-11",10.75
"69","2007-04-12",10.75
"70","2007-04-13",10.75
"71","2007-04-16",10.75
"72","2007-04-17",10.75
"73","2007-04-18",10.75
"74","2007-04-19",10.75
"75","2007-04-20",10.75
"76","2007-04-23",10.75
"77","2007-04-24",10.75
"78","2007-04-25",10.75
"79","2007-04-26",11
"80","2007-04-27",11
"81","2007-04-30",11
"82","2007-05-01",11
"83","2007-05-02",11
"84","2007-05-03",11
"85","2007-05-04",10.93
"86","2007-05-07",10.93
"87","2007-05-08",10.93
"88","2007-05-09",10.93
"89","2007-05-10",10.55
"90","2007-05-11",10.55
"91","2007-05-14",10.55
"92","2007-05-15",10.55
"93","2007-05-16",10.55
"94","2007-05-17",10.55
"95","2007-05-18",10.5
"96","2007-05-21",10.5
"97","2007-05-22",10.5
"98","2007-05-23",10
"99","2007-05-24",10
"100","2007-05-25",10.5
"101","2007-05-29",10.7
"102","2007-05-30",10
"103","2007-05-31",10
"104","2007-06-01",10
"105","2007-06-04",10
"106","2007-06-05",10
"107","2007-06-06",10.02
"108","2007-06-07",10.02
"109","2007-06-08",10.02
"110","2007-06-11",10.02
"111","2007-06-12",10.06
"112","2007-06-13",10
"113","2007-06-14",10
"114","2007-06-15",10
"115","2007-06-18",10.02
"116","2007-06-19",10.02
"117","2007-06-20",10.02
"118","2007-06-21",10
"119","2007-06-22",9.7
"120","2007-06-25",9.7
"121","2007-06-26",9.7
"122","2007-06-27",9.7
"123","2007-06-28",9.7
"124","2007-06-29",9.7
"125","2007-07-02",9.6
"126","2007-07-03",9.6
"127","2007-07-05",9.6
"128","2007-07-06",9.6
"129","2007-07-09",9.6
"130","2007-07-10",9.6
"131","2007-07-11",9.95
"132","2007-07-12",9.95
"133","2007-07-13",9.9
"134","2007-07-16",9.9
"135","2007-07-17",10.5
"136","2007-07-18",10.5
"137","2007-07-19",10.5
"138","2007-07-20",10.3
"139","2007-07-23",10.05
"140","2007-07-24",10.05
"141","2007-07-25",10.05
"142","2007-07-26",9
"143","2007-07-27",9
"144","2007-07-30",9
"145","2007-07-31",9
"146","2007-08-01",9
"147","2007-08-02",8.5
"148","2007-08-03",8.5
"149","2007-08-06",8.5
"150","2007-08-07",8.5
"151","2007-08-08",8.5
"152","2007-08-09",8.5
"153","2007-08-10",8.5
"154","2007-08-13",8.5
"155","2007-08-14",8.5
"156","2007-08-15",8.5
"157","2007-08-16",8.5
"158","2007-08-17",8.5
"159","2007-08-20",8.5
"160","2007-08-21",8.5
"161","2007-08-22",8.5
"162","2007-08-23",8.5
"163","2007-08-24",8.5
"164","2007-08-27",8.5
"165","2007-08-28",8.5
"166","2007-08-29",8.5
"167","2007-08-30",8.5
"168","2007-08-31",8.5
"169","2007-09-04",8.5
"170","2007-09-05",9.5
"171","2007-09-06",9.5
"172","2007-09-07",9.5
"173","2007-09-10",10.2
"174","2007-09-11",9.9
"175","2007-09-12",9.9
"176","2007-09-13",9.9
"177","2007-09-14",9.9
"178","2007-09-17",9.9
"179","2007-09-18",9.9
"180","2007-09-19",9.9
"181","2007-09-20",9.9
"182","2007-09-21",9.9
"183","2007-09-24",9.9
"184","2007-09-25",9.9
"185","2007-09-26",9.9
"186","2007-09-27",9.9
"187","2007-09-28",9.9
"188","2007-10-01",9.9
"189","2007-10-02",9.9
"190","2007-10-03",9.9
"191","2007-10-04",9.9
"192","2007-10-05",9.9
"193","2007-10-08",9.9
"194","2007-10-09",9.9
"195","2007-10-10",9.9
"196","2007-10-11",9.9
"197","2007-10-12",9.9
"198","2007-10-15",9.9
"199","2007-10-16",9.9
"200","2007-10-17",9.9
"201","2007-10-18",8.5
"202","2007-10-19",8.5
"203","2007-10-22",8.5
"204","2007-10-23",8.5
"205","2007-10-24",8.5
"206","2007-10-25",8.6
"207","2007-10-26",8.6
"208","2007-10-29",8.6
"209","2007-10-30",8.6
"210","2007-10-31",8.6
"211","2007-11-01",8
"212","2007-11-02",8
"213","2007-11-05",8
"214","2007-11-06",8
"215","2007-11-07",8
"216","2007-11-08",8
"217","2007-11-09",8
"218","2007-11-12",8
"219","2007-11-13",8
"220","2007-11-14",8
"221","2007-11-15",8
"222","2007-11-16",8
"223","2007-11-19",8
"224","2007-11-20",7.05
"225","2007-11-21",7.05
"226","2007-11-23",7.05
"227","2007-11-26",7.05
"228","2007-11-27",7.05
"229","2007-11-28",7.05
"230","2007-11-29",6.2
"231","2007-11-30",6.75
"232","2007-12-03",6.75
"233","2007-12-04",6.75
"234","2007-12-05",6.75
"235","2007-12-06",6.75
"236","2007-12-07",6.75
"237","2007-12-10",6.75
"238","2007-12-11",6.75
"239","2007-12-12",6.75
"240","2007-12-13",6.75
"241","2007-12-14",6.75
"242","2007-12-17",6.75
"243","2007-12-18",6.75
"244","2007-12-19",6.75
"245","2007-12-20",6.75
"246","2007-12-21",6.75
"247","2007-12-24",6.75
"248","2007-12-26",6.75
"249","2007-12-27",6
"250","2007-12-28",6
"251","2007-12-31",6
"252","2008-01-02",6
"253","2008-01-03",6
"254","2008-01-04",6
"255","2008-01-07",6
"256","2008-01-08",6
"257","2008-01-09",6
"258","2008-01-10",6
"259","2008-01-11",6
"260","2008-01-14",6
"261","2008-01-15",6
"262","2008-01-16",6
"263","2008-01-17",6
"264","2008-01-18",6
"265","2008-01-22",6
"266","2008-01-23",6
"267","2008-01-24",6
"268","2008-01-25",6
"269","2008-01-28",5.5
"270","2008-01-29",5.5
"271","2008-01-30",5.5
"272","2008-01-31",5.5
"273","2008-02-01",5.5
"274","2008-02-04",5.5
"275","2008-02-05",5.5
