"","date","KRMD"
"1","2007-01-03",0.05
"2","2007-01-04",0.051
"3","2007-01-05",0.051
"4","2007-01-08",0.051
"5","2007-01-09",0.05
"6","2007-01-10",0.05
"7","2007-01-11",0.05
"8","2007-01-12",0.05
"9","2007-01-16",0.05
"10","2007-01-17",0.05
"11","2007-01-18",0.05
"12","2007-01-19",0.07
"13","2007-01-22",0.06
"14","2007-01-23",0.07
"15","2007-01-24",0.06
"16","2007-01-25",0.06
"17","2007-01-26",0.06
"18","2007-01-29",0.06
"19","2007-01-30",0.07
"20","2007-01-31",0.07
"21","2007-02-01",0.07
"22","2007-02-02",0.06
"23","2007-02-05",0.06
"24","2007-02-06",0.06
"25","2007-02-07",0.06
"26","2007-02-08",0.07
"27","2007-02-09",0.07
"28","2007-02-12",0.06
"29","2007-02-13",0.06
"30","2007-02-14",0.06
"31","2007-02-15",0.06
"32","2007-02-16",0.06
"33","2007-02-20",0.05
"34","2007-02-21",0.05
"35","2007-02-22",0.07
"36","2007-02-23",0.07
"37","2007-02-26",0.07
"38","2007-02-27",0.051
"39","2007-02-28",0.051
"40","2007-03-01",0.051
"41","2007-03-02",0.051
"42","2007-03-05",0.051
"43","2007-03-06",0.051
"44","2007-03-07",0.051
"45","2007-03-08",0.051
"46","2007-03-09",0.051
"47","2007-03-12",0.051
"48","2007-03-13",0.045
"49","2007-03-14",0.045
"50","2007-03-15",0.06
"51","2007-03-16",0.06
"52","2007-03-19",0.045
"53","2007-03-20",0.045
"54","2007-03-21",0.045
"55","2007-03-22",0.045
"56","2007-03-23",0.045
"57","2007-03-26",0.045
"58","2007-03-27",0.045
"59","2007-03-28",0.045
"60","2007-03-29",0.045
"61","2007-03-30",0.04
"62","2007-04-02",0.04
"63","2007-04-03",0.04
"64","2007-04-04",0.04
"65","2007-04-05",0.04
"66","2007-04-09",0.04
"67","2007-04-10",0.04
"68","2007-04-11",0.04
"69","2007-04-12",0.035
"70","2007-04-13",0.06
"71","2007-04-16",0.06
"72","2007-04-17",0.06
"73","2007-04-18",0.06
"74","2007-04-19",0.06
"75","2007-04-20",0.06
"76","2007-04-23",0.06
"77","2007-04-24",0.06
"78","2007-04-25",0.06
"79","2007-04-26",0.06
"80","2007-04-27",0.06
"81","2007-04-30",0.06
"82","2007-05-01",0.035
"83","2007-05-02",0.035
"84","2007-05-03",0.035
"85","2007-05-04",0.035
"86","2007-05-07",0.035
"87","2007-05-08",0.035
"88","2007-05-09",0.035
"89","2007-05-10",0.035
"90","2007-05-11",0.035
"91","2007-05-14",0.035
"92","2007-05-15",0.035
"93","2007-05-16",0.035
"94","2007-05-17",0.06
"95","2007-05-18",0.08
"96","2007-05-21",0.05
"97","2007-05-22",0.045
"98","2007-05-23",0.045
"99","2007-05-24",0.045
"100","2007-05-25",0.045
"101","2007-05-29",0.045
"102","2007-05-30",0.055
"103","2007-05-31",0.045
"104","2007-06-01",0.045
"105","2007-06-04",0.045
"106","2007-06-05",0.06
"107","2007-06-06",0.06
"108","2007-06-07",0.06
"109","2007-06-08",0.075
"110","2007-06-11",0.08
"111","2007-06-12",0.105
"112","2007-06-13",0.09
"113","2007-06-14",0.095
"114","2007-06-15",0.12
"115","2007-06-18",0.14
"116","2007-06-19",0.13
"117","2007-06-20",0.13
"118","2007-06-21",0.12
"119","2007-06-22",0.12
"120","2007-06-25",0.1
"121","2007-06-26",0.095
"122","2007-06-27",0.095
"123","2007-06-28",0.095
"124","2007-06-29",0.095
"125","2007-07-02",0.095
"126","2007-07-03",0.11
"127","2007-07-05",0.09
"128","2007-07-06",0.13
"129","2007-07-09",0.11
"130","2007-07-10",0.09
"131","2007-07-11",0.1
"132","2007-07-12",0.1
"133","2007-07-13",0.1
"134","2007-07-16",0.1
"135","2007-07-17",0.1
"136","2007-07-18",0.1
"137","2007-07-19",0.14
"138","2007-07-20",0.14
"139","2007-07-23",0.14
"140","2007-07-24",0.08
"141","2007-07-25",0.08
"142","2007-07-26",0.08
"143","2007-07-27",0.08
"144","2007-07-30",0.08
"145","2007-07-31",0.1
"146","2007-08-01",0.08
"147","2007-08-02",0.08
"148","2007-08-03",0.08
"149","2007-08-06",0.08
"150","2007-08-07",0.11
"151","2007-08-08",0.11
"152","2007-08-09",0.11
"153","2007-08-10",0.09
"154","2007-08-13",0.08
"155","2007-08-14",0.08
"156","2007-08-15",0.08
"157","2007-08-16",0.07
"158","2007-08-17",0.07
"159","2007-08-20",0.07
"160","2007-08-21",0.07
"161","2007-08-22",0.07
"162","2007-08-23",0.085
"163","2007-08-24",0.085
"164","2007-08-27",0.085
"165","2007-08-28",0.09
"166","2007-08-29",0.1
"167","2007-08-30",0.1
"168","2007-08-31",0.12
"169","2007-09-04",0.13
"170","2007-09-05",0.09
"171","2007-09-06",0.09
"172","2007-09-07",0.125
"173","2007-09-10",0.125
"174","2007-09-11",0.15
"175","2007-09-12",0.12
"176","2007-09-13",0.16
"177","2007-09-14",0.09
"178","2007-09-17",0.15
"179","2007-09-18",0.16
"180","2007-09-19",0.16
"181","2007-09-20",0.16
"182","2007-09-21",0.18
"183","2007-09-24",0.16
"184","2007-09-25",0.16
"185","2007-09-26",0.16
"186","2007-09-27",0.09
"187","2007-09-28",0.19
"188","2007-10-01",0.16
"189","2007-10-02",0.189
"190","2007-10-03",0.16
"191","2007-10-04",0.16
"192","2007-10-05",0.16
"193","2007-10-08",0.12
"194","2007-10-09",0.1
"195","2007-10-10",0.19
"196","2007-10-11",0.1
"197","2007-10-12",0.18
"198","2007-10-15",0.2
"199","2007-10-16",0.2
"200","2007-10-17",0.2
"201","2007-10-18",0.14
"202","2007-10-19",0.14
"203","2007-10-22",0.17
"204","2007-10-23",0.17
"205","2007-10-24",0.2
"206","2007-10-25",0.2
"207","2007-10-26",0.2
"208","2007-10-29",0.15
"209","2007-10-30",0.12
"210","2007-10-31",0.12
"211","2007-11-01",0.16
"212","2007-11-02",0.16
"213","2007-11-05",0.14
"214","2007-11-06",0.14
"215","2007-11-07",0.14
"216","2007-11-08",0.14
"217","2007-11-09",0.14
"218","2007-11-12",0.12
"219","2007-11-13",0.14
"220","2007-11-14",0.1
"221","2007-11-15",0.23
"222","2007-11-16",0.18
"223","2007-11-19",0.15
"224","2007-11-20",0.13
"225","2007-11-21",0.13
"226","2007-11-23",0.14
"227","2007-11-26",0.13
"228","2007-11-27",0.13
"229","2007-11-28",0.13
"230","2007-11-29",0.16
"231","2007-11-30",0.16
"232","2007-12-03",0.13
"233","2007-12-04",0.12
"234","2007-12-05",0.12
"235","2007-12-06",0.12
"236","2007-12-07",0.12
"237","2007-12-10",0.12
"238","2007-12-11",0.14
"239","2007-12-12",0.14
"240","2007-12-13",0.14
"241","2007-12-14",0.14
"242","2007-12-17",0.12
"243","2007-12-18",0.14
"244","2007-12-19",0.13
"245","2007-12-20",0.14
"246","2007-12-21",0.11
"247","2007-12-24",0.14
"248","2007-12-26",0.14
"249","2007-12-27",0.14
