"","date","BCC"
"1","2013-02-06",26.15
"2","2013-02-07",27.290001
"3","2013-02-08",27.559999
"4","2013-02-11",27.15
"5","2013-02-12",27.48
"6","2013-02-13",27.809999
"7","2013-02-14",27.58
"8","2013-02-15",27.940001
"9","2013-02-19",27.719999
"10","2013-02-20",26.799999
"11","2013-02-21",26.309999
"12","2013-02-22",26.799999
"13","2013-02-25",27.190001
"14","2013-02-26",26.65
"15","2013-02-27",27
"16","2013-02-28",27.1
"17","2013-03-01",27.459999
"18","2013-03-04",27.73
"19","2013-03-05",28.629999
"20","2013-03-06",28.950001
"21","2013-03-07",30.440001
"22","2013-03-08",30.059999
"23","2013-03-11",29.690001
"24","2013-03-12",29.940001
"25","2013-03-13",30.280001
"26","2013-03-14",31.799999
"27","2013-03-15",32.630001
"28","2013-03-18",32.189999
"29","2013-03-19",33.279999
"30","2013-03-20",33.529999
"31","2013-03-21",33.599998
"32","2013-03-22",32.900002
"33","2013-03-25",33.25
"34","2013-03-26",33.400002
"35","2013-03-27",34.189999
"36","2013-03-28",33.939999
"37","2013-04-01",31.610001
"38","2013-04-02",30.209999
"39","2013-04-03",29.299999
"40","2013-04-04",30.290001
"41","2013-04-05",30.82
"42","2013-04-08",31.57
"43","2013-04-09",31.620001
"44","2013-04-10",30.870001
"45","2013-04-11",31.190001
"46","2013-04-12",30.530001
"47","2013-04-15",28.879999
"48","2013-04-16",30.27
"49","2013-04-17",29.82
"50","2013-04-18",30.610001
"51","2013-04-19",30.27
"52","2013-04-22",31.92
"53","2013-04-23",32.259998
"54","2013-04-24",33.599998
"55","2013-04-25",32.990002
"56","2013-04-26",32.77
"57","2013-04-29",31.549999
"58","2013-04-30",32.029999
"59","2013-05-01",31.120001
"60","2013-05-02",31.040001
"61","2013-05-03",30.84
"62","2013-05-06",29.389999
"63","2013-05-07",30.190001
"64","2013-05-08",30.030001
"65","2013-05-09",30.129999
"66","2013-05-10",29.950001
"67","2013-05-13",29.700001
"68","2013-05-14",29.959999
"69","2013-05-15",30.18
"70","2013-05-16",29.530001
"71","2013-05-17",29.66
"72","2013-05-20",29.34
"73","2013-05-21",29.52
"74","2013-05-22",29.360001
"75","2013-05-23",28.780001
"76","2013-05-24",29.139999
"77","2013-05-28",29.110001
"78","2013-05-29",29.18
"79","2013-05-30",29.870001
"80","2013-05-31",30.059999
"81","2013-06-03",29.030001
"82","2013-06-04",27.58
"83","2013-06-05",26.67
"84","2013-06-06",26.940001
"85","2013-06-07",27.41
"86","2013-06-10",27.549999
"87","2013-06-11",27
"88","2013-06-12",26.26
"89","2013-06-13",26.469999
"90","2013-06-14",26.379999
"91","2013-06-17",27.27
"92","2013-06-18",27.790001
"93","2013-06-19",28.110001
"94","2013-06-20",27.620001
"95","2013-06-21",27.450001
"96","2013-06-24",26.389999
"97","2013-06-25",26.379999
"98","2013-06-26",25.35
"99","2013-06-27",25.440001
"100","2013-06-28",25.41
"101","2013-07-01",25.66
"102","2013-07-02",25.5
"103","2013-07-03",25.52
"104","2013-07-05",25.690001
"105","2013-07-08",25.77
"106","2013-07-09",26.709999
"107","2013-07-10",27.24
"108","2013-07-11",28.200001
"109","2013-07-12",28.16
"110","2013-07-15",28.389999
"111","2013-07-16",27.76
"112","2013-07-17",27.860001
"113","2013-07-18",28.379999
"114","2013-07-19",28.51
"115","2013-07-22",29.35
"116","2013-07-23",28.73
"117","2013-07-24",27.780001
"118","2013-07-25",26.5
"119","2013-07-26",26.42
"120","2013-07-29",26.450001
"121","2013-07-30",26.6
"122","2013-07-31",26.459999
"123","2013-08-01",26.5
"124","2013-08-02",26.18
"125","2013-08-05",25.790001
"126","2013-08-06",24.780001
"127","2013-08-07",24.459999
"128","2013-08-08",24.07
"129","2013-08-09",24.26
