"","date","PJT"
"1","2015-09-22",29.16
"2","2015-09-23",28.75
"3","2015-09-24",27.98
"4","2015-09-25",27.5
"5","2015-09-28",26.200001
"6","2015-09-29",23.5
"7","2015-09-30",24
"8","2015-10-01",21
"9","2015-10-02",20.07
"10","2015-10-05",20.870001
"11","2015-10-06",21.299999
"12","2015-10-07",21.08
"13","2015-10-08",20.5
"14","2015-10-09",20.860001
"15","2015-10-12",21.1
"16","2015-10-13",20.780001
"17","2015-10-14",21.700001
"18","2015-10-15",21.969999
"19","2015-10-16",21.959999
"20","2015-10-19",22.16
"21","2015-10-20",22.290001
"22","2015-10-21",22.809999
"23","2015-10-22",22.879999
"24","2015-10-23",22.85
"25","2015-10-26",22.209999
"26","2015-10-27",21.65
"27","2015-10-28",21.469999
"28","2015-10-29",21.280001
"29","2015-10-30",21.5
"30","2015-11-02",21.49
"31","2015-11-03",21.5
"32","2015-11-04",21.879999
"33","2015-11-05",21.99
"34","2015-11-06",21.82
"35","2015-11-09",21.559999
"36","2015-11-10",21.389999
"37","2015-11-11",21.35
"38","2015-11-12",21.379999
"39","2015-11-13",21.4
"40","2015-11-16",21.5
"41","2015-11-17",21.9
"42","2015-11-18",21.709999
"43","2015-11-19",21.6
"44","2015-11-20",21.620001
"45","2015-11-23",21.92
"46","2015-11-24",22.129999
"47","2015-11-25",22.74
"48","2015-11-27",23.23
"49","2015-11-30",23.440001
"50","2015-12-01",23.6
"51","2015-12-02",23.799999
"52","2015-12-03",23.549999
"53","2015-12-04",24.07
"54","2015-12-07",22.75
"55","2015-12-08",22.48
"56","2015-12-09",22.459999
"57","2015-12-10",22.629999
"58","2015-12-11",22.959999
"59","2015-12-14",23.27
"60","2015-12-15",24.469999
"61","2015-12-16",25.16
"62","2015-12-17",25.879999
"63","2015-12-18",27.34
"64","2015-12-21",26.32
"65","2015-12-22",26.389999
"66","2015-12-23",26.09
"67","2015-12-24",26.76
"68","2015-12-28",27.860001
"69","2015-12-29",29.02
"70","2015-12-30",28.27
"71","2015-12-31",28.290001
"72","2016-01-04",28.059999
"73","2016-01-05",27.35
"74","2016-01-06",25.01
"75","2016-01-07",24.030001
"76","2016-01-08",24.530001
"77","2016-01-11",24.52
"78","2016-01-12",24.32
"79","2016-01-13",24.1
"80","2016-01-14",24.389999
"81","2016-01-15",24.26
"82","2016-01-19",23.75
"83","2016-01-20",24.139999
"84","2016-01-21",24.639999
"85","2016-01-22",25.51
"86","2016-01-25",25.209999
"87","2016-01-26",25.91
"88","2016-01-27",25.98
"89","2016-01-28",25.530001
"90","2016-01-29",25.82
"91","2016-02-01",26.690001
"92","2016-02-02",25.120001
"93","2016-02-03",25.82
"94","2016-02-04",25.299999
"95","2016-02-05",24.6
"96","2016-02-08",22.809999
"97","2016-02-09",24.110001
"98","2016-02-10",24.35
"99","2016-02-11",23.049999
"100","2016-02-12",24.209999
"101","2016-02-16",24.32
"102","2016-02-17",25.139999
"103","2016-02-18",26.65
"104","2016-02-19",27.09
"105","2016-02-22",28.059999
"106","2016-02-23",26.85
"107","2016-02-24",27.360001
"108","2016-02-25",27.24
"109","2016-02-26",27.379999
"110","2016-02-29",27.82
"111","2016-03-01",27.83
"112","2016-03-02",28.360001
"113","2016-03-03",27.290001
"114","2016-03-04",26.16
"115","2016-03-07",26.41
"116","2016-03-08",27.120001
"117","2016-03-09",26.41
"118","2016-03-10",27.33
"119","2016-03-11",26.83
"120","2016-03-14",27.309999
"121","2016-03-15",27.24
"122","2016-03-16",26.48
"123","2016-03-17",26.940001
"124","2016-03-18",26.48
"125","2016-03-21",27.02
"126","2016-03-22",26.860001
"127","2016-03-23",26.51
"128","2016-03-24",26.469999
"129","2016-03-28",23.66
"130","2016-03-29",23.27
"131","2016-03-30",24.67
"132","2016-03-31",24.049999
"133","2016-04-01",23.299999
"134","2016-04-04",23.790001
"135","2016-04-05",23.450001
"136","2016-04-06",23.4
"137","2016-04-07",23
"138","2016-04-08",22.75
"139","2016-04-11",22.77
"140","2016-04-12",23
"141","2016-04-13",23.99
"142","2016-04-14",23.549999
"143","2016-04-15",23.799999
"144","2016-04-18",23.719999
"145","2016-04-19",24.110001
"146","2016-04-20",24.030001
"147","2016-04-21",23.99
"148","2016-04-22",23.950001
"149","2016-04-25",23.4
"150","2016-04-26",23.4
"151","2016-04-27",22.360001
"152","2016-04-28",22.6
"153","2016-04-29",22.32
"154","2016-05-02",22.07
"155","2016-05-03",22.469999
"156","2016-05-04",22.4
"157","2016-05-05",21.9
"158","2016-05-06",21.74
"159","2016-05-09",23.059999
"160","2016-05-10",23.709999
"161","2016-05-11",23.860001
