"","date","MCY"
"1","2007-01-03",53.689999
"2","2007-01-04",53.619999
"3","2007-01-05",53.099998
"4","2007-01-08",53.09
"5","2007-01-09",53.16
"6","2007-01-10",52.369999
"7","2007-01-11",52.419998
"8","2007-01-12",52.720001
"9","2007-01-16",52.299999
"10","2007-01-17",52.330002
"11","2007-01-18",52.18
"12","2007-01-19",52.189999
"13","2007-01-22",51.91
"14","2007-01-23",52.23
"15","2007-01-24",52.52
"16","2007-01-25",51.98
"17","2007-01-26",52.049999
"18","2007-01-29",52.380001
"19","2007-01-30",53.029999
"20","2007-01-31",52.16
"21","2007-02-01",53.099998
"22","2007-02-02",53.279999
"23","2007-02-05",53.490002
"24","2007-02-06",53.939999
"25","2007-02-07",54.080002
"26","2007-02-08",54.150002
"27","2007-02-09",54.099998
"28","2007-02-12",53.080002
"29","2007-02-13",52.900002
"30","2007-02-14",53.34
"31","2007-02-15",54.459999
"32","2007-02-16",54.689999
"33","2007-02-20",54.549999
"34","2007-02-21",54.560001
"35","2007-02-22",54.599998
"36","2007-02-23",54.560001
"37","2007-02-26",54.419998
"38","2007-02-27",53.369999
"39","2007-02-28",53.299999
"40","2007-03-01",53.310001
"41","2007-03-02",52.580002
"42","2007-03-05",52.259998
"43","2007-03-06",52.549999
"44","2007-03-07",52.459999
"45","2007-03-08",52.599998
"46","2007-03-09",52.630001
"47","2007-03-12",52.860001
"48","2007-03-13",51.630001
"49","2007-03-14",51.610001
"50","2007-03-15",52.240002
"51","2007-03-16",52.290001
"52","2007-03-19",52.68
"53","2007-03-20",52.68
"54","2007-03-21",53.23
"55","2007-03-22",53.77
"56","2007-03-23",53.950001
"57","2007-03-26",53.599998
"58","2007-03-27",53.41
"59","2007-03-28",52.880001
"60","2007-03-29",52.950001
"61","2007-03-30",53.040001
"62","2007-04-02",53.060001
"63","2007-04-03",53.32
"64","2007-04-04",53.490002
"65","2007-04-05",53.529999
"66","2007-04-09",53.23
"67","2007-04-10",53.189999
"68","2007-04-11",53.450001
"69","2007-04-12",53.779999
"70","2007-04-13",53.860001
"71","2007-04-16",54.189999
"72","2007-04-17",54.43
"73","2007-04-18",54.43
"74","2007-04-19",54.43
"75","2007-04-20",54.779999
"76","2007-04-23",55.02
"77","2007-04-24",54.799999
"78","2007-04-25",55.080002
"79","2007-04-26",54.799999
"80","2007-04-27",54.560001
"81","2007-04-30",54.150002
"82","2007-05-01",54.27
"83","2007-05-02",54.48
