"","date","CELC"
"1","2017-09-20",14.29
"2","2017-09-21",13.41
"3","2017-09-22",13.63
"4","2017-09-25",13.92
"5","2017-09-26",13.98
"6","2017-09-27",13
"7","2017-09-28",11.94
"8","2017-09-29",12.24
"9","2017-10-02",12.12
"10","2017-10-03",12.82
"11","2017-10-04",12.61
"12","2017-10-05",12.57
"13","2017-10-06",13.06
"14","2017-10-09",12.67
"15","2017-10-10",12.8
"16","2017-10-11",13.93
"17","2017-10-12",14.2
"18","2017-10-13",15.3
"19","2017-10-16",15.48
"20","2017-10-17",15.95
"21","2017-10-18",16.360001
"22","2017-10-19",16.23
"23","2017-10-20",16.24
"24","2017-10-23",15.88
"25","2017-10-24",15.97
"26","2017-10-25",16.4
"27","2017-10-26",16.110001
"28","2017-10-27",16.34
"29","2017-10-30",18.26
"30","2017-10-31",17.99
"31","2017-11-01",18.58
"32","2017-11-02",18.549999
"33","2017-11-03",19.83
"34","2017-11-06",21.35
"35","2017-11-07",20.59
"36","2017-11-08",20.290001
"37","2017-11-09",20.379999
"38","2017-11-10",21.65
"39","2017-11-13",21
"40","2017-11-14",20.440001
"41","2017-11-15",20.24
"42","2017-11-16",19.98
"43","2017-11-17",18.25
"44","2017-11-20",17.200001
"45","2017-11-21",18.09
"46","2017-11-22",19.1
"47","2017-11-24",18.43
"48","2017-11-27",18.780001
"49","2017-11-28",18.75
"50","2017-11-29",17.59
"51","2017-11-30",18.4
"52","2017-12-01",18
"53","2017-12-04",17.91
"54","2017-12-05",18.27
"55","2017-12-06",17.85
"56","2017-12-07",17.99
"57","2017-12-08",18.110001
"58","2017-12-11",17.98
"59","2017-12-12",18.110001
"60","2017-12-13",18.790001
"61","2017-12-14",19.5
"62","2017-12-15",18.780001
"63","2017-12-18",19.120001
"64","2017-12-19",19.35
"65","2017-12-20",19
"66","2017-12-21",18.879999
"67","2017-12-22",19.049999
"68","2017-12-26",19
"69","2017-12-27",19
"70","2017-12-28",18.98
"71","2017-12-29",18.950001
"72","2018-01-02",20.52
"73","2018-01-03",20.32
"74","2018-01-04",20.98
"75","2018-01-05",21.299999
"76","2018-01-08",20.59
"77","2018-01-09",20.08
"78","2018-01-10",20
"79","2018-01-11",19.5
"80","2018-01-12",19.639999
"81","2018-01-16",19.18
"82","2018-01-17",19.51
"83","2018-01-18",19.450001
"84","2018-01-19",19.190001
"85","2018-01-22",19.469999
"86","2018-01-23",19.620001
"87","2018-01-24",19.01
"88","2018-01-25",19.23
"89","2018-01-26",19.280001
"90","2018-01-29",18.01
"91","2018-01-30",18.120001
"92","2018-01-31",16.870001
"93","2018-02-01",16.58
"94","2018-02-02",16.299999
"95","2018-02-05",16.07
"96","2018-02-06",16.16
"97","2018-02-07",16.67
"98","2018-02-08",16.51
"99","2018-02-09",17.33
"100","2018-02-12",16.799999
"101","2018-02-13",16.879999
"102","2018-02-14",17.639999
"103","2018-02-15",17.43
