"","date","CEMI"
"1","2007-01-03",6.16
"2","2007-01-04",5.68
"3","2007-01-05",6.16
"4","2007-01-08",5.76
"5","2007-01-09",5.76
"6","2007-01-10",6.4
"7","2007-01-11",6.4
"8","2007-01-12",5.36
"9","2007-01-16",5.6
"10","2007-01-17",5.68
"11","2007-01-18",6
"12","2007-01-19",6
"13","2007-01-22",6.32
"14","2007-01-23",6.4
"15","2007-01-24",6.16
"16","2007-01-25",6.16
"17","2007-01-26",6.16
"18","2007-01-29",6.64
"19","2007-01-30",6.48
"20","2007-01-31",7.2
"21","2007-02-01",6.88
"22","2007-02-02",6.48
"23","2007-02-05",6.16
"24","2007-02-06",6.16
"25","2007-02-07",6.56
"26","2007-02-08",6.16
"27","2007-02-09",5.84
"28","2007-02-12",6
"29","2007-02-13",5.76
"30","2007-02-14",6.4
"31","2007-02-15",6.4
"32","2007-02-16",6.08
"33","2007-02-20",6.24
"34","2007-02-21",6
"35","2007-02-22",6.4
"36","2007-02-23",6.32
"37","2007-02-26",6.16
"38","2007-02-27",5.44
"39","2007-02-28",6
"40","2007-03-01",5.6
"41","2007-03-02",5.6
"42","2007-03-05",5.52
"43","2007-03-06",5.6
"44","2007-03-07",5.68
"45","2007-03-08",5.6
"46","2007-03-09",5.6
"47","2007-03-12",5.6
"48","2007-03-13",5.36
"49","2007-03-14",5.36
"50","2007-03-15",5.44
"51","2007-03-16",5.44
"52","2007-03-19",5.44
"53","2007-03-20",5.36
"54","2007-03-21",5.44
"55","2007-03-22",5.44
"56","2007-03-23",5.44
"57","2007-03-26",5.44
"58","2007-03-27",5.44
"59","2007-03-28",5.04
"60","2007-03-29",5.04
"61","2007-03-30",5.12
"62","2007-04-02",5.12
"63","2007-04-03",5.2
"64","2007-04-04",5.12
"65","2007-04-05",4.96
"66","2007-04-09",4.88
"67","2007-04-10",4.4
"68","2007-04-11",5.04
"69","2007-04-12",4.8
"70","2007-04-13",4.4
"71","2007-04-16",4.4
"72","2007-04-17",4.24
"73","2007-04-18",4.8
"74","2007-04-19",4.8
"75","2007-04-20",4.8
"76","2007-04-23",4.8
"77","2007-04-24",4.8
"78","2007-04-25",5.04
"79","2007-04-26",4.88
"80","2007-04-27",4.96
"81","2007-04-30",4.96
"82","2007-05-01",4.8
"83","2007-05-02",5.04
"84","2007-05-03",4.64
"85","2007-05-04",4.64
"86","2007-05-07",4.64
"87","2007-05-08",4.8
"88","2007-05-09",4.96
"89","2007-05-10",4.64
"90","2007-05-11",4.64
"91","2007-05-14",4.72
"92","2007-05-15",4.88
"93","2007-05-16",4.64
"94","2007-05-17",4.64
"95","2007-05-18",4.64
"96","2007-05-21",4.64
"97","2007-05-22",4.8
"98","2007-05-23",4.8
"99","2007-05-24",4.96
"100","2007-05-25",4.48
"101","2007-05-29",4.96
"102","2007-05-30",5.12
"103","2007-05-31",4.96
"104","2007-06-01",4.96
"105","2007-06-04",4.8
"106","2007-06-05",4.56
"107","2007-06-06",4.72
"108","2007-06-07",4.8
"109","2007-06-08",4.56
"110","2007-06-11",4.8
"111","2007-06-12",4.8
"112","2007-06-13",4.8
"113","2007-06-14",4.72
"114","2007-06-15",4.4
"115","2007-06-18",4.64
"116","2007-06-19",4.8
"117","2007-06-20",4.24
"118","2007-06-21",4.24
"119","2007-06-22",4.08
"120","2007-06-25",4.08
"121","2007-06-26",4.16
"122","2007-06-27",3.76
"123","2007-06-28",4.16
"124","2007-06-29",4.08
"125","2007-07-02",4.08
"126","2007-07-03",4.08
"127","2007-07-05",3.68
"128","2007-07-06",3.68
"129","2007-07-09",4.16
"130","2007-07-10",4.4
"131","2007-07-11",4.4
"132","2007-07-12",4.4
"133","2007-07-13",4.08
"134","2007-07-16",4.08
"135","2007-07-17",4.08
"136","2007-07-18",4.08
"137","2007-07-19",4.24
"138","2007-07-20",4.4
"139","2007-07-23",4.8
"140","2007-07-24",4.4
"141","2007-07-25",4.8
"142","2007-07-26",4.4
"143","2007-07-27",4.4
"144","2007-07-30",4.64
"145","2007-07-31",5.04
"146","2007-08-01",5.2
"147","2007-08-02",4.72
"148","2007-08-03",4.72
"149","2007-08-06",4.72
"150","2007-08-07",4.8
"151","2007-08-08",4.8
"152","2007-08-09",4.72
"153","2007-08-10",4.64
"154","2007-08-13",4.8
"155","2007-08-14",4.48
"156","2007-08-15",4.8
"157","2007-08-16",4.4
"158","2007-08-17",4.4
"159","2007-08-20",4.4
"160","2007-08-21",4.64
"161","2007-08-22",4.72
"162","2007-08-23",4.72
"163","2007-08-24",4.48
"164","2007-08-27",4.4
"165","2007-08-28",4.64
"166","2007-08-29",4.56
"167","2007-08-30",4.48
"168","2007-08-31",4.48
"169","2007-09-04",4.4
"170","2007-09-05",4.56
"171","2007-09-06",4.56
"172","2007-09-07",4.4
"173","2007-09-10",4.64
"174","2007-09-11",4.64
"175","2007-09-12",4.64
"176","2007-09-13",4.4
"177","2007-09-14",4.4
"178","2007-09-17",4.4
"179","2007-09-18",4
"180","2007-09-19",4
"181","2007-09-20",3.6
"182","2007-09-21",3.2
"183","2007-09-24",3.36
"184","2007-09-25",3.84
"185","2007-09-26",4
"186","2007-09-27",4
"187","2007-09-28",4
"188","2007-10-01",4
"189","2007-10-02",4
"190","2007-10-03",4
"191","2007-10-04",4.16
"192","2007-10-05",3.92
"193","2007-10-08",3.68
"194","2007-10-09",3.68
"195","2007-10-10",3.68
"196","2007-10-11",3.92
"197","2007-10-12",3.92
"198","2007-10-15",3.92
"199","2007-10-16",3.84
"200","2007-10-17",4
"201","2007-10-18",3.84
"202","2007-10-19",4
