"","date","BWFG"
"1","2010-04-05",17
"2","2010-04-06",17
"3","2010-04-07",17
"4","2010-04-08",17
"5","2010-04-09",17
"6","2010-04-12",17
"7","2010-04-13",17
"8","2010-04-14",17
"9","2010-04-15",17
"10","2010-04-16",17
"11","2010-04-19",17
"12","2010-04-20",17
"13","2010-04-21",17
"14","2010-04-22",17
"15","2010-04-23",17
"16","2010-04-26",17
"17","2010-04-27",17
"18","2010-04-28",19
"19","2010-04-29",19
"20","2010-04-30",19
"21","2010-05-03",19
"22","2010-05-04",19
"23","2010-05-05",19
"24","2010-05-06",19
"25","2010-05-07",19
"26","2010-05-10",19
"27","2010-05-11",19
"28","2010-05-12",19
"29","2010-05-13",19
"30","2010-05-14",19
"31","2010-05-17",19
"32","2010-05-18",21.99
"33","2010-05-19",22
"34","2010-05-20",22
"35","2010-05-21",22
"36","2010-05-24",22
"37","2010-05-25",22
"38","2010-05-26",22
"39","2010-05-27",22
"40","2010-05-28",15
"41","2010-06-01",15
"42","2010-06-02",15
"43","2010-06-03",15
"44","2010-06-04",15
"45","2010-06-07",15
"46","2010-06-08",15
"47","2010-06-09",15
"48","2010-06-10",15
"49","2010-06-11",15
"50","2010-06-14",15
"51","2010-06-15",15
"52","2010-06-16",14.95
"53","2010-06-17",14.95
"54","2010-06-18",14.95
"55","2010-06-21",14.95
"56","2010-06-22",14.95
"57","2010-06-23",14.95
"58","2010-06-24",14.95
"59","2010-06-25",14.95
"60","2010-06-28",14.95
"61","2010-06-29",14.95
"62","2010-06-30",14.95
"63","2010-07-01",14.95
"64","2010-07-02",14.95
"65","2010-07-06",14.95
"66","2010-07-07",14.95
"67","2010-07-08",14.95
"68","2010-07-09",14.95
"69","2010-07-12",14.95
"70","2010-07-13",14.95
"71","2010-07-14",14.95
"72","2010-07-15",14.95
"73","2010-07-16",14.95
"74","2010-07-19",14.95
"75","2010-07-20",14.95
"76","2010-07-21",14.95
"77","2010-07-22",14.95
"78","2010-07-23",14.95
"79","2010-07-26",15
"80","2010-07-27",15
"81","2010-07-28",15
"82","2010-07-29",15
"83","2010-07-30",15
"84","2010-08-02",15
"85","2010-08-03",15
"86","2010-08-04",15
"87","2010-08-05",15
"88","2010-08-06",15
"89","2010-08-09",15
"90","2010-08-10",15
"91","2010-08-11",15
"92","2010-08-12",15
"93","2010-08-13",15
"94","2010-08-16",15
"95","2010-08-17",15
"96","2010-08-18",15
"97","2010-08-19",15
"98","2010-08-20",15
"99","2010-08-23",15
"100","2010-08-24",15
"101","2010-08-25",15
"102","2010-08-26",15
"103","2010-08-27",15
"104","2010-08-30",15
"105","2010-08-31",15
"106","2010-09-01",15
"107","2010-09-02",15
"108","2010-09-03",15
"109","2010-09-07",15
"110","2010-09-08",15
"111","2010-09-09",15
"112","2010-09-10",15
"113","2010-09-13",15
"114","2010-09-14",15
"115","2010-09-15",15
"116","2010-09-16",15
"117","2010-09-17",15
"118","2010-09-20",15
"119","2010-09-21",15
"120","2010-09-22",15
"121","2010-09-23",15
"122","2010-09-24",15
"123","2010-09-27",15
"124","2010-09-28",15
"125","2010-09-29",15
"126","2010-09-30",15
"127","2010-10-01",15
"128","2010-10-04",15
"129","2010-10-05",15
"130","2010-10-06",15
"131","2010-10-07",15
"132","2010-10-08",15
"133","2010-10-11",15
"134","2010-10-12",15
"135","2010-10-13",15
"136","2010-10-14",15
"137","2010-10-15",15
"138","2010-10-18",15
"139","2010-10-19",15
"140","2010-10-20",15
"141","2010-10-21",15
"142","2010-10-22",15
"143","2010-10-25",15
"144","2010-10-26",15
"145","2010-10-27",15
"146","2010-10-28",15
"147","2010-10-29",15
"148","2010-11-01",15
"149","2010-11-02",15
"150","2010-11-03",15
"151","2010-11-04",15
"152","2010-11-05",15
"153","2010-11-08",15
"154","2010-11-09",15
"155","2010-11-10",15
"156","2010-11-11",15
"157","2010-11-12",15
"158","2010-11-15",15
"159","2010-11-16",15
"160","2010-11-17",15
"161","2010-11-18",15
"162","2010-11-19",15
