"","date","VERY"
"1","2019-08-23",16.700001
"2","2019-08-26",18
"3","2019-08-27",17.99
"4","2019-08-28",15.25
"5","2019-08-29",16.5
"6","2019-08-30",16
"7","2019-09-03",14.63
"8","2019-09-04",14.57
"9","2019-09-05",14.57
"10","2019-09-06",14.75
"11","2019-09-09",14.65
"12","2019-09-10",14.71
"13","2019-09-11",14.685
"14","2019-09-12",15
"15","2019-09-13",15
"16","2019-09-16",14.6
"17","2019-09-17",14.5
"18","2019-09-18",13.5
"19","2019-09-19",13.05
"20","2019-09-20",13
"21","2019-09-23",13.25
"22","2019-09-24",13.25
"23","2019-09-25",13
"24","2019-09-26",12.7
"25","2019-09-27",13.4
"26","2019-09-30",14
"27","2019-10-01",14
"28","2019-10-02",14
"29","2019-10-03",14
"30","2019-10-04",14
"31","2019-10-07",14
"32","2019-10-08",14
"33","2019-10-09",14
"34","2019-10-10",14
"35","2019-10-11",13.117
"36","2019-10-14",13.216
"37","2019-10-15",13.216
"38","2019-10-16",13.216
"39","2019-10-17",13.216
"40","2019-10-18",13.15
"41","2019-10-21",13.5
"42","2019-10-22",13.32
"43","2019-10-23",13.32
"44","2019-10-24",13.16
"45","2019-10-25",13.17
"46","2019-10-28",13.25
"47","2019-10-29",13.19
"48","2019-10-30",13.19
"49","2019-10-31",13.19
"50","2019-11-01",13.19
"51","2019-11-04",13.19
"52","2019-11-05",13.19
"53","2019-11-06",13.19
"54","2019-11-07",18.15
"55","2019-11-08",20.893
"56","2019-11-11",18.09
"57","2019-11-12",20.781
"58","2019-11-13",20.225
"59","2019-11-14",20.15
"60","2019-11-15",21.25
"61","2019-11-18",22.500999
"62","2019-11-19",22.4
"63","2019-11-20",22.708
"64","2019-11-21",22
"65","2019-11-22",19.336
"66","2019-11-25",19.48
"67","2019-11-26",19.5
"68","2019-11-27",19.195999
"69","2019-11-29",19.4
"70","2019-12-02",19
"71","2019-12-03",19.4
"72","2019-12-04",19.32
"73","2019-12-05",19.15
"74","2019-12-06",19.35
"75","2019-12-09",13.06
"76","2019-12-10",12.2
"77","2019-12-11",12
"78","2019-12-12",12.8
"79","2019-12-13",13.78
"80","2019-12-16",12.83
"81","2019-12-17",12.64
"82","2019-12-18",12.3
"83","2019-12-19",12.25
"84","2019-12-20",12.6
"85","2019-12-23",12.332
"86","2019-12-24",12.332
"87","2019-12-26",12.2
"88","2019-12-27",12.5
"89","2019-12-30",13.25
"90","2019-12-31",12.6
"91","2020-01-02",12.36
"92","2020-01-03",12.285
"93","2020-01-06",12.5
"94","2020-01-07",12.49
"95","2020-01-08",12.3
"96","2020-01-09",12.35
"97","2020-01-10",11.9
"98","2020-01-13",12.535
"99","2020-01-14",12.535
"100","2020-01-15",12.325
"101","2020-01-16",12.425
"102","2020-01-17",12.58
"103","2020-01-21",12.58
"104","2020-01-22",12.448
"105","2020-01-23",12.448
"106","2020-01-24",12.026
"107","2020-01-27",12.175
"108","2020-01-28",12.45
"109","2020-01-29",13.4
"110","2020-01-30",13
"111","2020-01-31",14.1
"112","2020-02-03",13.39
"113","2020-02-04",13.39
"114","2020-02-05",14.05
"115","2020-02-06",13.57
"116","2020-02-07",14
"117","2020-02-10",12.41
"118","2020-02-11",12.52
"119","2020-02-12",12.52
"120","2020-02-13",12.52
"121","2020-02-14",14.1
"122","2020-02-18",15.98
"123","2020-02-19",17.35
"124","2020-02-20",15.698
"125","2020-02-21",16.440001
"126","2020-02-24",15.55
"127","2020-02-25",15.09
"128","2020-02-26",16.790001
"129","2020-02-27",16.09
"130","2020-02-28",14.56
"131","2020-03-02",14.57
"132","2020-03-03",14.57
"133","2020-03-04",16
"134","2020-03-05",16
"135","2020-03-06",15.97
"136","2020-03-09",15.97
"137","2020-03-10",13.71
"138","2020-03-11",13.64
"139","2020-03-12",11.5
"140","2020-03-13",10.47
"141","2020-03-16",9.2
"142","2020-03-17",8.987
"143","2020-03-18",8.98
"144","2020-03-19",7.6
"145","2020-03-20",7.65
"146","2020-03-23",8.05
"147","2020-03-24",8.43
"148","2020-03-25",8.6
"149","2020-03-26",8.6
"150","2020-03-27",8.05
"151","2020-03-30",7.71
"152","2020-03-31",7.964
"153","2020-04-01",7.75
"154","2020-04-02",7.4
"155","2020-04-03",7.5
"156","2020-04-06",7.5
"157","2020-04-07",8.05
"158","2020-04-08",8.05
"159","2020-04-09",8.05
"160","2020-04-13",8.05
"161","2020-04-14",8.41
"162","2020-04-15",8.41
"163","2020-04-16",9.2
"164","2020-04-17",10.25
"165","2020-04-20",10.05
"166","2020-04-21",10.25
"167","2020-04-22",10.25
"168","2020-04-23",10.25
"169","2020-04-24",10.25
"170","2020-04-27",10.25
"171","2020-04-28",10.25
"172","2020-04-29",10.25
"173","2020-04-30",10.71
"174","2020-05-01",10.55
"175","2020-05-04",13.48
"176","2020-05-05",14.99
"177","2020-05-06",12.66
"178","2020-05-07",12.66
"179","2020-05-08",12.86
"180","2020-05-11",14.67
"181","2020-05-12",12.8
"182","2020-05-13",12.7
"183","2020-05-14",11.99
"184","2020-05-15",11.98
"185","2020-05-18",12.9
"186","2020-05-19",12.45
"187","2020-05-20",12.25
"188","2020-05-21",12.31
"189","2020-05-22",12
"190","2020-05-26",12
"191","2020-05-27",12.06
"192","2020-05-28",12.06
"193","2020-05-29",11.75
"194","2020-06-01",11.55
"195","2020-06-02",11.96
"196","2020-06-03",11.96
"197","2020-06-04",11.8
"198","2020-06-05",11.7
"199","2020-06-08",11.475
"200","2020-06-09",11.95
"201","2020-06-10",11.8
"202","2020-06-11",11.31
"203","2020-06-12",10.01
"204","2020-06-15",11.08
"205","2020-06-16",11.5
"206","2020-06-17",11.39
"207","2020-06-18",11.2
"208","2020-06-19",11.19
"209","2020-06-22",11
"210","2020-06-23",11
"211","2020-06-24",11
"212","2020-06-25",11
"213","2020-06-26",9.63
"214","2020-06-29",10.99
"215","2020-06-30",10.63
"216","2020-07-01",10.09
"217","2020-07-02",9.36
"218","2020-07-06",9.97
"219","2020-07-07",10.01
"220","2020-07-08",9.9
"221","2020-07-09",8.49
"222","2020-07-10",8.8
"223","2020-07-13",8.5
"224","2020-07-14",8.5
"225","2020-07-15",8.5
"226","2020-07-16",8.48
"227","2020-07-17",8.94
"228","2020-07-20",8.26
"229","2020-07-21",9.15
"230","2020-07-22",9.13
"231","2020-07-23",8.79
"232","2020-07-24",8.68
"233","2020-07-27",9.07
"234","2020-07-28",9.14
"235","2020-07-29",8.72
"236","2020-07-30",8.6
"237","2020-07-31",8.4
"238","2020-08-03",8.7
"239","2020-08-04",8.94
"240","2020-08-05",8.67
"241","2020-08-06",9
"242","2020-08-07",8.96
"243","2020-08-10",8.61
"244","2020-08-11",8.69
"245","2020-08-12",8.45
"246","2020-08-13",8.97
"247","2020-08-14",8.97
"248","2020-08-17",8.97
"249","2020-08-18",8.97
"250","2020-08-19",8.95
"251","2020-08-20",8.38
"252","2020-08-21",8.47
"253","2020-08-24",8.25
"254","2020-08-25",8.155
"255","2020-08-26",8.04
"256","2020-08-27",6.91
"257","2020-08-28",7.71
"258","2020-08-31",7.11
"259","2020-09-01",8.26
"260","2020-09-02",7.75
"261","2020-09-03",7.77
"262","2020-09-04",8.15
"263","2020-09-08",8.98
"264","2020-09-09",8.63
"265","2020-09-10",9.29
"266","2020-09-11",9.52
"267","2020-09-14",9.72
"268","2020-09-15",10.25
"269","2020-09-16",9.8
"270","2020-09-17",10.25
"271","2020-09-18",10.11
"272","2020-09-21",9.33
"273","2020-09-22",9.46
"274","2020-09-23",9.56
"275","2020-09-24",9.57
"276","2020-09-25",9.88
"277","2020-09-28",10.25
"278","2020-09-29",10.44
"279","2020-09-30",10.2
"280","2020-10-01",10.07
"281","2020-10-02",10.34
"282","2020-10-05",10.09
"283","2020-10-06",10.01
"284","2020-10-07",10.49
"285","2020-10-08",10.55
"286","2020-10-09",10.55
"287","2020-10-12",10.96
"288","2020-10-13",11
"289","2020-10-14",10.5
"290","2020-10-15",10.95
"291","2020-10-16",10.6
"292","2020-10-19",10.7
"293","2020-10-20",10.98
"294","2020-10-21",11.25
"295","2020-10-22",10.8
"296","2020-10-23",11.23
"297","2020-10-26",10.81
"298","2020-10-27",10.85
"299","2020-10-28",11.05
"300","2020-10-29",10.11
"301","2020-10-30",10.52
"302","2020-11-02",10.85
"303","2020-11-03",11.25
"304","2020-11-04",11.19
"305","2020-11-05",11.22
"306","2020-11-06",11
"307","2020-11-09",11.3
"308","2020-11-10",11
"309","2020-11-11",11.37
"310","2020-11-12",11.21
"311","2020-11-13",11.2
"312","2020-11-16",11.31
"313","2020-11-17",10.78
"314","2020-11-18",10.5
"315","2020-11-19",10.92
"316","2020-11-20",10.53
"317","2020-11-23",10.54
"318","2020-11-24",10.57
"319","2020-11-25",10.75
"320","2020-11-27",10.8
