"","date","EVGN"
"1","2010-10-15",4.81
"2","2010-10-18",4.81
"3","2010-10-19",4.81
"4","2010-10-20",4.81
"5","2010-10-21",4.81
"6","2010-10-22",4.81
"7","2010-10-25",4.81
"8","2010-10-26",4.81
"9","2010-10-27",4.81
"10","2010-10-28",4.81
"11","2010-10-29",4.81
"12","2010-11-01",4.81
"13","2010-11-02",4.81
"14","2010-11-03",4.81
"15","2010-11-04",4.81
"16","2010-11-05",4.81
"17","2010-11-08",4.81
"18","2010-11-09",4.81
"19","2010-11-10",4.81
"20","2010-11-11",4.81
"21","2010-11-12",4.81
"22","2010-11-15",4.81
"23","2010-11-16",4.81
"24","2010-11-17",4.81
"25","2010-11-18",4.81
"26","2010-11-19",4.81
"27","2010-11-22",4.81
"28","2010-11-23",4.81
"29","2010-11-24",4.81
"30","2010-11-26",4.81
"31","2010-11-29",4.81
"32","2010-11-30",4.81
"33","2010-12-01",4.81
"34","2010-12-02",4.81
"35","2010-12-03",4.81
"36","2010-12-06",4.81
"37","2010-12-07",4.81
"38","2010-12-08",4.81
"39","2010-12-09",4.81
"40","2010-12-10",4.81
"41","2010-12-13",5.72
"42","2010-12-14",5.55
"43","2010-12-15",5.55
"44","2010-12-16",5.55
"45","2010-12-17",5.55
"46","2010-12-20",5.6
"47","2010-12-21",5.6
"48","2010-12-22",5.6
"49","2010-12-23",5.6
"50","2010-12-27",5.6
"51","2010-12-28",5.6
"52","2010-12-29",5.6
"53","2010-12-30",5.6
"54","2010-12-31",5.6
"55","2011-01-03",5.6
"56","2011-01-04",5.6
"57","2011-01-05",5.6
"58","2011-01-06",5.6
"59","2011-01-07",5.6
"60","2011-01-10",5.6
"61","2011-01-11",5.6
"62","2011-01-12",5.6
"63","2011-01-13",5.6
"64","2011-01-14",5.6
"65","2011-01-18",5.6
"66","2011-01-19",5.6
"67","2011-01-20",5.6
"68","2011-01-21",5.6
"69","2011-01-24",5.6
"70","2011-01-25",5.6
"71","2011-01-26",5.6
"72","2011-01-27",5.6
"73","2011-01-28",5.67
"74","2011-01-31",5.3
"75","2011-02-01",5.3
"76","2011-02-02",5.24
"77","2011-02-03",5.24
"78","2011-02-04",5.24
"79","2011-02-07",5.24
"80","2011-02-08",5.24
"81","2011-02-09",5.6
"82","2011-02-10",5.6
"83","2011-02-11",5.6
"84","2011-02-14",5.6
"85","2011-02-15",5.6
"86","2011-02-16",5.6
"87","2011-02-17",5.6
"88","2011-02-18",5.6
"89","2011-02-22",5.6
"90","2011-02-23",5.6
"91","2011-02-24",5.19
"92","2011-02-25",5.19
"93","2011-02-28",5.19
"94","2011-03-01",5.18
"95","2011-03-02",5.18
"96","2011-03-03",5.18
"97","2011-03-04",5.18
"98","2011-03-07",5.18
"99","2011-03-08",5.18
"100","2011-03-09",5.18
"101","2011-03-10",5.18
"102","2011-03-11",5.18
"103","2011-03-14",5.18
"104","2011-03-15",5.18
"105","2011-03-16",5.18
"106","2011-03-17",5.18
"107","2011-03-18",5.18
"108","2011-03-21",5.18
"109","2011-03-22",5.18
"110","2011-03-23",5.18
"111","2011-03-24",5.18
"112","2011-03-25",5.18
"113","2011-03-28",5.18
"114","2011-03-29",5.18
"115","2011-03-30",5.18
"116","2011-03-31",5.18
"117","2011-04-01",5.18
"118","2011-04-04",5.18
"119","2011-04-05",5.18
"120","2011-04-06",5.18
"121","2011-04-07",5.18
"122","2011-04-08",5.18
"123","2011-04-11",5.18
"124","2011-04-12",5.18
"125","2011-04-13",5.18
"126","2011-04-14",5.18
"127","2011-04-15",5.18
"128","2011-04-18",5.18
"129","2011-04-19",5.18
"130","2011-04-20",5.18
"131","2011-04-21",5.18
"132","2011-04-25",5.18
"133","2011-04-26",5.18
"134","2011-04-27",5.18
"135","2011-04-28",5.18
"136","2011-04-29",5.18
"137","2011-05-02",5.18
"138","2011-05-03",5.18
"139","2011-05-04",5.18
"140","2011-05-05",5.18
"141","2011-05-06",5.18
"142","2011-05-09",5.18
"143","2011-05-10",5.18
"144","2011-05-11",5.18
"145","2011-05-12",5.18
"146","2011-05-13",5.18
"147","2011-05-16",5.18
"148","2011-05-17",5.18
"149","2011-05-18",5.18
"150","2011-05-19",5.18
"151","2011-05-20",5.18
"152","2011-05-23",5.18
"153","2011-05-24",5.18
"154","2011-05-25",5.18
"155","2011-05-26",5.18
"156","2011-05-27",5.18
"157","2011-05-31",5.15
"158","2011-06-01",5.15
"159","2011-06-02",5.15
"160","2011-06-03",5.15
"161","2011-06-06",5.15
"162","2011-06-07",5.15
"163","2011-06-08",5.15
"164","2011-06-09",5.15
"165","2011-06-10",5.15
"166","2011-06-13",5.15
"167","2011-06-14",5.15
"168","2011-06-15",5.15
"169","2011-06-16",5.15
"170","2011-06-17",5.15
"171","2011-06-20",5.15
"172","2011-06-21",5.15
"173","2011-06-22",5.15
"174","2011-06-23",5.15
"175","2011-06-24",5.15
"176","2011-06-27",5.15
"177","2011-06-28",5.15
"178","2011-06-29",5.15
"179","2011-06-30",5.15
"180","2011-07-01",5.15
"181","2011-07-05",5.15
"182","2011-07-06",5.15
"183","2011-07-07",5.15
"184","2011-07-08",5.15
"185","2011-07-11",5.15
"186","2011-07-12",5.15
"187","2011-07-13",5.15
"188","2011-07-14",5.15
"189","2011-07-15",5.15
"190","2011-07-18",5.15
"191","2011-07-19",5.15
"192","2011-07-20",5.15
"193","2011-07-21",5.15
"194","2011-07-22",5.15
"195","2011-07-25",5.15
"196","2011-07-26",5.15
"197","2011-07-27",5.15
"198","2011-07-28",5.15
"199","2011-07-29",5.15
"200","2011-08-01",5.15
"201","2011-08-02",5.15
"202","2011-08-03",4.25
"203","2011-08-04",4.2
"204","2011-08-05",4.2
"205","2011-08-08",4.2
"206","2011-08-09",4.2
"207","2011-08-10",3.99
"208","2011-08-11",3.99
"209","2011-08-12",3.99
"210","2011-08-15",3.99
"211","2011-08-16",3.99
"212","2011-08-17",3.99
