"","date","NTRA"
"1","2015-07-01",18
"2","2015-07-02",NA
"3","2015-07-06",22
"4","2015-07-07",22
"5","2015-07-08",21.469999
"6","2015-07-09",21.25
"7","2015-07-10",21.75
"8","2015-07-13",21.09
"9","2015-07-14",20.68
"10","2015-07-15",20.530001
"11","2015-07-16",21.879999
"12","2015-07-17",20.879999
"13","2015-07-20",21.43
"14","2015-07-21",20.6
"15","2015-07-22",20.77
"16","2015-07-23",20.42
"17","2015-07-24",19.219999
"18","2015-07-27",18
"19","2015-07-28",18.040001
"20","2015-07-29",18.209999
"21","2015-07-30",18.129999
"22","2015-07-31",18.09
"23","2015-08-03",16.860001
"24","2015-08-04",17.200001
"25","2015-08-05",17.49
"26","2015-08-06",17.83
"27","2015-08-07",17.059999
"28","2015-08-10",17.16
"29","2015-08-11",16.67
"30","2015-08-12",16.35
"31","2015-08-13",15.56
"32","2015-08-14",15.76
"33","2015-08-17",15.23
"34","2015-08-18",15.58
"35","2015-08-19",14.72
"36","2015-08-20",14.34
"37","2015-08-21",14.22
"38","2015-08-24",14.27
"39","2015-08-25",14.35
"40","2015-08-26",15.16
"41","2015-08-27",15.34
"42","2015-08-28",15.99
"43","2015-08-31",15.82
"44","2015-09-01",15.76
"45","2015-09-02",15.31
"46","2015-09-03",15.3
"47","2015-09-04",15.26
"48","2015-09-08",15.85
"49","2015-09-09",15.72
"50","2015-09-10",15.95
"51","2015-09-11",16.26
"52","2015-09-14",16.01
"53","2015-09-15",16.52
"54","2015-09-16",15.77
"55","2015-09-17",15.8
"56","2015-09-18",15.13
"57","2015-09-21",14.44
"58","2015-09-22",13.15
"59","2015-09-23",12.94
"60","2015-09-24",13.82
"61","2015-09-25",12.94
"62","2015-09-28",12.21
"63","2015-09-29",11.1
"64","2015-09-30",10.85
"65","2015-10-01",10.36
"66","2015-10-02",9.74
"67","2015-10-05",9.44
"68","2015-10-06",9.33
"69","2015-10-07",9.24
"70","2015-10-08",9.4
"71","2015-10-09",9.48
"72","2015-10-12",9.2
"73","2015-10-13",9.14
"74","2015-10-14",8.92
"75","2015-10-15",9.18
"76","2015-10-16",8.6
"77","2015-10-19",8.54
"78","2015-10-20",8.25
"79","2015-10-21",8.06
"80","2015-10-22",8.05
"81","2015-10-23",8.55
"82","2015-10-26",8.5
"83","2015-10-27",8.63
"84","2015-10-28",8.99
"85","2015-10-29",8.76
"86","2015-10-30",8.25
"87","2015-11-02",8.5
"88","2015-11-03",8.72
"89","2015-11-04",8.7
"90","2015-11-05",8.66
"91","2015-11-06",9.02
"92","2015-11-09",9.16
"93","2015-11-10",9.76
"94","2015-11-11",9.32
"95","2015-11-12",9.01
"96","2015-11-13",9.97
"97","2015-11-16",9.25
"98","2015-11-17",9.28
"99","2015-11-18",9.74
"100","2015-11-19",9.02
"101","2015-11-20",8.78
"102","2015-11-23",8.89
"103","2015-11-24",8.73
"104","2015-11-25",8.9
"105","2015-11-27",8.62
"106","2015-11-30",8.89
"107","2015-12-01",8.97
"108","2015-12-02",9.64
"109","2015-12-03",9.14
"110","2015-12-04",9.3
"111","2015-12-07",9.7
"112","2015-12-08",9.92
"113","2015-12-09",10
"114","2015-12-10",10.68
"115","2015-12-11",10.39
"116","2015-12-14",10.29
"117","2015-12-15",10.66
"118","2015-12-16",10.75
"119","2015-12-17",10.91
"120","2015-12-18",11.64
"121","2015-12-21",11.57
"122","2015-12-22",11.21
"123","2015-12-23",11.2
"124","2015-12-24",11.27
"125","2015-12-28",11.34
"126","2015-12-29",10.8
"127","2015-12-30",11.1
"128","2015-12-31",10.8
"129","2016-01-04",10.34
"130","2016-01-05",10.37
"131","2016-01-06",10.46
"132","2016-01-07",9.89
"133","2016-01-08",9.78
"134","2016-01-11",8.74
"135","2016-01-12",9.05
"136","2016-01-13",8.93
"137","2016-01-14",8.76
"138","2016-01-15",8.82
"139","2016-01-19",8.63
"140","2016-01-20",8.76
"141","2016-01-21",8.58
"142","2016-01-22",9.06
"143","2016-01-25",9.18
"144","2016-01-26",9.14
"145","2016-01-27",8.85
"146","2016-01-28",8.94
"147","2016-01-29",8.55
"148","2016-02-01",8.04
"149","2016-02-02",7.73
"150","2016-02-03",7.52
"151","2016-02-04",7.52
"152","2016-02-05",7.18
"153","2016-02-08",6.61
"154","2016-02-09",6.66
"155","2016-02-10",6.85
"156","2016-02-11",6.98
"157","2016-02-12",7
"158","2016-02-16",7.08
"159","2016-02-17",7.21
"160","2016-02-18",7.1
"161","2016-02-19",6.99
"162","2016-02-22",7.48
"163","2016-02-23",7.72
"164","2016-02-24",7.86
"165","2016-02-25",7.76
"166","2016-02-26",7.52
"167","2016-02-29",6.75
"168","2016-03-01",7.3
"169","2016-03-02",8.18
"170","2016-03-03",8.7
"171","2016-03-04",8.91
"172","2016-03-07",9.77
"173","2016-03-08",9.5
"174","2016-03-09",8.42
"175","2016-03-10",8.42
"176","2016-03-11",8.97
"177","2016-03-14",9.61
"178","2016-03-15",8.71
"179","2016-03-16",8.89
"180","2016-03-17",8.72
"181","2016-03-18",8.81
"182","2016-03-21",9.24
"183","2016-03-22",9.24
"184","2016-03-23",8.77
"185","2016-03-24",8.85
"186","2016-03-28",8.78
"187","2016-03-29",9.08
"188","2016-03-30",9.4
"189","2016-03-31",9.52
"190","2016-04-01",9.58
"191","2016-04-04",9.63
"192","2016-04-05",9.45
"193","2016-04-06",9.6
"194","2016-04-07",9.65
"195","2016-04-08",9.59
"196","2016-04-11",9.63
"197","2016-04-12",9.74
"198","2016-04-13",9.99
"199","2016-04-14",10.13
"200","2016-04-15",10.16
"201","2016-04-18",10.3
"202","2016-04-19",10.33
"203","2016-04-20",10.33
"204","2016-04-21",10.47
"205","2016-04-22",10.49
"206","2016-04-25",10.59
"207","2016-04-26",10.35
"208","2016-04-27",10.06
"209","2016-04-28",10.06
"210","2016-04-29",9.82
"211","2016-05-02",9.71
"212","2016-05-03",9.65
"213","2016-05-04",9.595
"214","2016-05-05",9.37
"215","2016-05-06",9.57
"216","2016-05-09",10.04
"217","2016-05-10",9.68
"218","2016-05-11",11.59
"219","2016-05-12",11.29
"220","2016-05-13",11.34
"221","2016-05-16",11.24
"222","2016-05-17",11.2
"223","2016-05-18",11.13
"224","2016-05-19",11.12
"225","2016-05-20",11
"226","2016-05-23",12.12
"227","2016-05-24",12.4
"228","2016-05-25",13.13
"229","2016-05-26",13.18
"230","2016-05-27",13.45
"231","2016-05-31",13.79
"232","2016-06-01",12.12
"233","2016-06-02",12.34
"234","2016-06-03",12.11
"235","2016-06-06",12.27
"236","2016-06-07",12.48
"237","2016-06-08",12.17
"238","2016-06-09",11.76
"239","2016-06-10",11.8
"240","2016-06-13",11.58
"241","2016-06-14",11.77
"242","2016-06-15",11.64
"243","2016-06-16",11.87
"244","2016-06-17",11.46
"245","2016-06-20",11.6
"246","2016-06-21",11.46
"247","2016-06-22",11.98
"248","2016-06-23",13.62
"249","2016-06-24",13.47
"250","2016-06-27",12.82
"251","2016-06-28",11.8
"252","2016-06-29",12.37
"253","2016-06-30",12.065
"254","2016-07-01",12.28
"255","2016-07-05",12.14
"256","2016-07-06",12.26
"257","2016-07-07",12.18
