"","date","PACD"
"1","2011-11-11",825000
"2","2011-11-14",835000
"3","2011-11-15",860000
"4","2011-11-16",870000
"5","2011-11-17",889000
"6","2011-11-18",877000
"7","2011-11-21",852000
"8","2011-11-22",835000
"9","2011-11-23",827000
"10","2011-11-25",825000
"11","2011-11-28",825000
"12","2011-11-29",825000
"13","2011-11-30",834000
"14","2011-12-01",846000
"15","2011-12-02",851000
"16","2011-12-05",849000
"17","2011-12-06",864000
"18","2011-12-07",857000
"19","2011-12-08",835000
"20","2011-12-09",883000
"21","2011-12-12",855000
"22","2011-12-13",858000
"23","2011-12-14",840000
"24","2011-12-15",835000
"25","2011-12-16",842000
"26","2011-12-19",876000
"27","2011-12-20",894000
"28","2011-12-21",890000
"29","2011-12-22",902000
"30","2011-12-23",904000
"31","2011-12-27",924000
"32","2011-12-28",901000
"33","2011-12-29",897000
"34","2011-12-30",930000
"35","2012-01-03",939000
"36","2012-01-04",934000
"37","2012-01-05",912000
"38","2012-01-06",931000
"39","2012-01-09",926000
"40","2012-01-10",924000
"41","2012-01-11",920000
"42","2012-01-12",957000
"43","2012-01-13",966000
"44","2012-01-17",976000
"45","2012-01-18",970000
"46","2012-01-19",961000
"47","2012-01-20",1e+06
"48","2012-01-23",993000
"49","2012-01-24",987000
"50","2012-01-25",990000
"51","2012-01-26",957000
"52","2012-01-27",952000
"53","2012-01-30",986000
"54","2012-01-31",960000
"55","2012-02-01",980000
"56","2012-02-02",996000
"57","2012-02-03",1041000
"58","2012-02-06",1019000
"59","2012-02-07",1032000
"60","2012-02-08",1029000
"61","2012-02-09",1065000
"62","2012-02-10",1106000
"63","2012-02-13",1110000
"64","2012-02-14",1089000
"65","2012-02-15",1075000
"66","2012-02-16",1090000
"67","2012-02-17",1090000
"68","2012-02-21",1079000
"69","2012-02-22",1087000
"70","2012-02-23",1100000
"71","2012-02-24",1099000
"72","2012-02-27",1095000
"73","2012-02-28",1082000
"74","2012-02-29",1076000
"75","2012-03-01",1089000
"76","2012-03-02",1079000
"77","2012-03-05",1055000
"78","2012-03-06",991000
"79","2012-03-07",1022000
"80","2012-03-08",1010000
"81","2012-03-09",1007000
"82","2012-03-12",997000
"83","2012-03-13",1010000
"84","2012-03-14",999000
"85","2012-03-15",1014000
"86","2012-03-16",1077000
"87","2012-03-19",1095000
"88","2012-03-20",1079000
"89","2012-03-21",1092000
"90","2012-03-22",1080000
"91","2012-03-23",1087000
"92","2012-03-26",1065000
"93","2012-03-27",1046000
"94","2012-03-28",1025000
"95","2012-03-29",1011000
"96","2012-03-30",1012000
"97","2012-04-02",1028000
"98","2012-04-03",1021000
"99","2012-04-04",1002000
"100","2012-04-05",1016000
"101","2012-04-09",1019000
"102","2012-04-10",1010000
"103","2012-04-11",1019000
"104","2012-04-12",1034000
"105","2012-04-13",1022000
"106","2012-04-16",1009000
"107","2012-04-17",1005000
"108","2012-04-18",999000
"109","2012-04-19",982000
"110","2012-04-20",969000
"111","2012-04-23",959000
"112","2012-04-24",971000
"113","2012-04-25",969000
"114","2012-04-26",975000
"115","2012-04-27",969000
"116","2012-04-30",993000
"117","2012-05-01",986000
"118","2012-05-02",972000
"119","2012-05-03",943000
"120","2012-05-04",903000
"121","2012-05-07",919000
"122","2012-05-08",910000
"123","2012-05-09",913000
"124","2012-05-10",923000
"125","2012-05-11",935000
"126","2012-05-14",919000
"127","2012-05-15",906000
"128","2012-05-16",903000
"129","2012-05-17",845000
"130","2012-05-18",860000
"131","2012-05-21",910000
"132","2012-05-22",890000
"133","2012-05-23",894000
"134","2012-05-24",893000
"135","2012-05-25",896000
"136","2012-05-29",902000
"137","2012-05-30",870000
"138","2012-05-31",850000
"139","2012-06-01",803000
"140","2012-06-04",794000
"141","2012-06-05",8e+05
"142","2012-06-06",822000
"143","2012-06-07",799000
"144","2012-06-08",817000
"145","2012-06-11",796000
"146","2012-06-12",8e+05
"147","2012-06-13",798000
"148","2012-06-14",806000
"149","2012-06-15",828000
"150","2012-06-18",826000
"151","2012-06-19",839000
"152","2012-06-20",851000
"153","2012-06-21",825000
"154","2012-06-22",843000
"155","2012-06-25",803000
"156","2012-06-26",812000
"157","2012-06-27",822000
"158","2012-06-28",818000
"159","2012-06-29",851000
"160","2012-07-02",857000
"161","2012-07-03",877000
"162","2012-07-05",860000
"163","2012-07-06",845000
"164","2012-07-09",855000
"165","2012-07-10",851000
"166","2012-07-11",850000
"167","2012-07-12",846000
"168","2012-07-13",864000
"169","2012-07-16",848000
"170","2012-07-17",845000
"171","2012-07-18",866000
"172","2012-07-19",915000
"173","2012-07-20",904000
"174","2012-07-23",868000
"175","2012-07-24",868000
"176","2012-07-25",879000
"177","2012-07-26",909000
"178","2012-07-27",919000
"179","2012-07-30",970000
"180","2012-07-31",966000
"181","2012-08-01",962000
"182","2012-08-02",942000
"183","2012-08-03",951000
"184","2012-08-06",966000
