"","date","DFNS"
"1","2020-03-25",8.55
"2","2020-03-26",8.55
"3","2020-03-27",10
"4","2020-03-30",10
"5","2020-03-31",10
"6","2020-04-01",10
"7","2020-04-02",10
"8","2020-04-03",10
"9","2020-04-06",9.78
"10","2020-04-07",9.78
"11","2020-04-08",9.78
"12","2020-04-09",9.78
"13","2020-04-13",9.78
"14","2020-04-14",9.78
"15","2020-04-15",9.78
"16","2020-04-16",9.78
"17","2020-04-17",9.78
"18","2020-04-20",9.78
"19","2020-04-21",9.78
"20","2020-04-22",9.7
"21","2020-04-23",9.7
"22","2020-04-24",9.7
"23","2020-04-27",9.75
"24","2020-04-28",9.75
"25","2020-04-29",9.75
"26","2020-04-30",9.8
"27","2020-05-01",9.75
"28","2020-05-04",9.75
"29","2020-05-05",9.75
"30","2020-05-06",9.8
"31","2020-05-07",9.8
"32","2020-05-08",9.8
"33","2020-05-11",9.8
"34","2020-05-12",9.79
"35","2020-05-13",9.75
"36","2020-05-14",9.75
"37","2020-05-15",9.725
"38","2020-05-18",9.725
"39","2020-05-19",9.74
"40","2020-05-20",9.74
"41","2020-05-21",9.7
"42","2020-05-22",9.7
"43","2020-05-26",9.7
"44","2020-05-27",9.7
"45","2020-05-28",9.7
"46","2020-05-29",9.7
"47","2020-06-01",9.7
"48","2020-06-02",9.7
"49","2020-06-03",9.74
"50","2020-06-04",9.797
"51","2020-06-05",9.76
"52","2020-06-08",9.78
"53","2020-06-09",9.85
"54","2020-06-10",9.85
"55","2020-06-11",9.83
"56","2020-06-12",9.8
"57","2020-06-15",9.73
"58","2020-06-16",9.75
"59","2020-06-17",9.75
"60","2020-06-18",9.75
"61","2020-06-19",9.8
"62","2020-06-22",9.8
"63","2020-06-23",9.8
"64","2020-06-24",9.8
"65","2020-06-25",9.9
"66","2020-06-26",9.84
"67","2020-06-29",9.95
"68","2020-06-30",9.915
"69","2020-07-01",9.95
"70","2020-07-02",10.09
"71","2020-07-06",10.02
"72","2020-07-07",10.03
"73","2020-07-08",10.04
"74","2020-07-09",10.04
"75","2020-07-10",10.225
"76","2020-07-13",10.19
"77","2020-07-14",10.2
"78","2020-07-15",10.082
"79","2020-07-16",10.15
"80","2020-07-17",10.155
"81","2020-07-20",10.23
"82","2020-07-21",10.225
"83","2020-07-22",10.25
"84","2020-07-23",10.15
"85","2020-07-24",10.115
"86","2020-07-27",10.25
"87","2020-07-28",10.25
"88","2020-07-29",10.24
"89","2020-07-30",10.175
"90","2020-07-31",10.12
"91","2020-08-03",10.08
"92","2020-08-04",10.08
"93","2020-08-05",10.08
"94","2020-08-06",10.05
"95","2020-08-07",10
"96","2020-08-10",9.993
"97","2020-08-11",10.05
"98","2020-08-12",10.185
"99","2020-08-13",9.99
"100","2020-08-14",10.06
"101","2020-08-17",10.005
"102","2020-08-18",10.005
"103","2020-08-19",9.97
"104","2020-08-20",9.94
"105","2020-08-21",9.96
"106","2020-08-24",9.95
"107","2020-08-25",9.989
"108","2020-08-26",9.92
"109","2020-08-27",9.92
"110","2020-08-28",9.92
"111","2020-08-31",9.92
"112","2020-09-01",9.95
"113","2020-09-02",9.95
"114","2020-09-03",9.95
"115","2020-09-04",10
"116","2020-09-08",10
"117","2020-09-09",9.98
"118","2020-09-10",10.05
"119","2020-09-11",10
"120","2020-09-14",9.95
"121","2020-09-15",10.04
"122","2020-09-16",10.05
"123","2020-09-17",9.951
"124","2020-09-18",10.04
"125","2020-09-21",10.05
"126","2020-09-22",10.025
"127","2020-09-23",10.02
"128","2020-09-24",9.98
"129","2020-09-25",9.99
"130","2020-09-28",10.04
"131","2020-09-29",10.17
"132","2020-09-30",10.02
"133","2020-10-01",10.05
"134","2020-10-02",9.99
"135","2020-10-05",10.01
"136","2020-10-06",10
"137","2020-10-07",10
"138","2020-10-08",9.99
"139","2020-10-09",9.999
"140","2020-10-12",10.085
"141","2020-10-13",10.085
"142","2020-10-14",10.02
"143","2020-10-15",10.01
"144","2020-10-16",9.995
"145","2020-10-19",9.965
"146","2020-10-20",9.98
"147","2020-10-21",9.98
"148","2020-10-22",9.97
"149","2020-10-23",9.97
"150","2020-10-26",10.02
"151","2020-10-27",9.95
"152","2020-10-28",9.93
"153","2020-10-29",9.98
"154","2020-10-30",9.92
"155","2020-11-02",9.97
"156","2020-11-03",9.92
"157","2020-11-04",10
"158","2020-11-05",10
"159","2020-11-06",9.92
"160","2020-11-09",9.95
"161","2020-11-10",9.96
"162","2020-11-11",9.93
"163","2020-11-12",9.92
"164","2020-11-13",9.93
"165","2020-11-16",9.96
"166","2020-11-17",9.96
"167","2020-11-18",9.98
"168","2020-11-19",9.98
"169","2020-11-20",9.965
"170","2020-11-23",9.985
"171","2020-11-24",10.109
"172","2020-11-25",10.085
"173","2020-11-27",10.09
