"","date","GVP"
"1","2007-01-03",6.83
"2","2007-01-04",7.1
"3","2007-01-05",7.04
"4","2007-01-08",6.52
"5","2007-01-09",6.45
"6","2007-01-10",6.8
"7","2007-01-11",7.31
"8","2007-01-12",7.89
"9","2007-01-16",7.69
"10","2007-01-17",7.65
"11","2007-01-18",7.68
"12","2007-01-19",7.86
"13","2007-01-22",8.02
"14","2007-01-23",8
"15","2007-01-24",7.7
"16","2007-01-25",7.51
"17","2007-01-26",7.5
"18","2007-01-29",7.49
"19","2007-01-30",7.75
"20","2007-01-31",7.76
"21","2007-02-01",8.42
"22","2007-02-02",8.24
"23","2007-02-05",8.24
"24","2007-02-06",8.21
"25","2007-02-07",8.3
"26","2007-02-08",7.98
"27","2007-02-09",7.88
"28","2007-02-12",7.89
"29","2007-02-13",7.8
"30","2007-02-14",7.22
"31","2007-02-15",6.54
"32","2007-02-16",7
"33","2007-02-20",7.18
"34","2007-02-21",6.5
"35","2007-02-22",7.6
"36","2007-02-23",7.81
"37","2007-02-26",7.49
"38","2007-02-27",6.75
"39","2007-02-28",7.05
"40","2007-03-01",7.21
"41","2007-03-02",7.02
"42","2007-03-05",6.3
"43","2007-03-06",6.45
"44","2007-03-07",7.08
"45","2007-03-08",6.8
"46","2007-03-09",6.91
"47","2007-03-12",6.65
"48","2007-03-13",6.35
"49","2007-03-14",6.25
"50","2007-03-15",6.05
"51","2007-03-16",5.96
"52","2007-03-19",5.82
"53","2007-03-20",5.89
"54","2007-03-21",5.91
"55","2007-03-22",6.11
"56","2007-03-23",6.07
"57","2007-03-26",6.11
"58","2007-03-27",6.15
"59","2007-03-28",6.1
"60","2007-03-29",6.45
"61","2007-03-30",6.32
"62","2007-04-02",6.5
"63","2007-04-03",6.58
"64","2007-04-04",6.54
"65","2007-04-05",6.95
"66","2007-04-09",7.1
"67","2007-04-10",7.1
"68","2007-04-11",7.2
"69","2007-04-12",7.18
"70","2007-04-13",7.12
"71","2007-04-16",7.2
"72","2007-04-17",7.17
"73","2007-04-18",7.17
"74","2007-04-19",7.1
"75","2007-04-20",7.09
"76","2007-04-23",7.31
"77","2007-04-24",7.02
"78","2007-04-25",7.06
"79","2007-04-26",7.05
"80","2007-04-27",7.2
"81","2007-04-30",7.2
"82","2007-05-01",7.22
"83","2007-05-02",7.34
"84","2007-05-03",7.19
"85","2007-05-04",7.01
"86","2007-05-07",7.15
"87","2007-05-08",7.3
"88","2007-05-09",7.55
"89","2007-05-10",7.45
"90","2007-05-11",7.35
"91","2007-05-14",7.3
"92","2007-05-15",7.2
"93","2007-05-16",7.16
"94","2007-05-17",7.08
"95","2007-05-18",7.07
"96","2007-05-21",6.98
"97","2007-05-22",6.9
"98","2007-05-23",7.1
"99","2007-05-24",7.08
"100","2007-05-25",6.71
"101","2007-05-29",6.82
"102","2007-05-30",6.95
"103","2007-05-31",6.8
"104","2007-06-01",6.95
"105","2007-06-04",6.9
"106","2007-06-05",6.79
"107","2007-06-06",6.6
"108","2007-06-07",6.31
"109","2007-06-08",6.17
"110","2007-06-11",6.28
"111","2007-06-12",6.38
"112","2007-06-13",6.61
"113","2007-06-14",6.7
"114","2007-06-15",6.71
"115","2007-06-18",6.75
"116","2007-06-19",6.91
"117","2007-06-20",6.99
"118","2007-06-21",6.55
"119","2007-06-22",6.6
"120","2007-06-25",6.66
"121","2007-06-26",6.65
"122","2007-06-27",6.64
"123","2007-06-28",6.73
"124","2007-06-29",6.6
"125","2007-07-02",6.71
"126","2007-07-03",7.05
"127","2007-07-05",7
"128","2007-07-06",6.91
"129","2007-07-09",6.91
"130","2007-07-10",6.86
"131","2007-07-11",6.99
"132","2007-07-12",6.95
"133","2007-07-13",6.9
"134","2007-07-16",6.6
"135","2007-07-17",7.05
"136","2007-07-18",7.2
"137","2007-07-19",7.24
"138","2007-07-20",7.11
"139","2007-07-23",7.05
"140","2007-07-24",7.41
"141","2007-07-25",7.24
"142","2007-07-26",6.63
"143","2007-07-27",6.55
"144","2007-07-30",7.03
"145","2007-07-31",7
"146","2007-08-01",7.01
"147","2007-08-02",7.03
"148","2007-08-03",7
"149","2007-08-06",7
"150","2007-08-07",6.99
"151","2007-08-08",7
"152","2007-08-09",6.9
"153","2007-08-10",6.7
"154","2007-08-13",6.75
"155","2007-08-14",7
"156","2007-08-15",7
"157","2007-08-16",6.8
"158","2007-08-17",6.63
"159","2007-08-20",6.62
"160","2007-08-21",6.33
"161","2007-08-22",6.61
"162","2007-08-23",6.47
"163","2007-08-24",6.15
"164","2007-08-27",6.2
"165","2007-08-28",6.15
"166","2007-08-29",6.35
"167","2007-08-30",6.38
"168","2007-08-31",6.35
"169","2007-09-04",6.97
"170","2007-09-05",6.9
"171","2007-09-06",6.9
"172","2007-09-07",6.52
"173","2007-09-10",6.58
"174","2007-09-11",6.4
"175","2007-09-12",6.67
"176","2007-09-13",6.92
"177","2007-09-14",7.02
"178","2007-09-17",7.04
"179","2007-09-18",7
"180","2007-09-19",7.04
"181","2007-09-20",6.91
"182","2007-09-21",6.88
"183","2007-09-24",6.9
"184","2007-09-25",6.95
"185","2007-09-26",6.9
"186","2007-09-27",6.76
"187","2007-09-28",6.73
"188","2007-10-01",6.76
"189","2007-10-02",6.77
"190","2007-10-03",6.77
"191","2007-10-04",6.75
"192","2007-10-05",6.9
"193","2007-10-08",7.11
"194","2007-10-09",7.4
"195","2007-10-10",7.5
"196","2007-10-11",7.5
"197","2007-10-12",8.65
"198","2007-10-15",8.6
"199","2007-10-16",8.46
"200","2007-10-17",8.4
"201","2007-10-18",9
"202","2007-10-19",9.34
"203","2007-10-22",8.86
"204","2007-10-23",8.75
"205","2007-10-24",9.25
"206","2007-10-25",9.2
"207","2007-10-26",9.15
"208","2007-10-29",9.15
"209","2007-10-30",9.29
"210","2007-10-31",9.48
"211","2007-11-01",9.64
"212","2007-11-02",9.77
"213","2007-11-05",9.65
"214","2007-11-06",9.58
"215","2007-11-07",9.1
"216","2007-11-08",9.35
"217","2007-11-09",10.3
"218","2007-11-12",9.93
"219","2007-11-13",10.15
"220","2007-11-14",9.92
"221","2007-11-15",9.42
"222","2007-11-16",9.55
"223","2007-11-19",9.68
"224","2007-11-20",9.48
"225","2007-11-21",9.48
"226","2007-11-23",9.29
"227","2007-11-26",9.49
"228","2007-11-27",9.7
"229","2007-11-28",10.6
"230","2007-11-29",11
"231","2007-11-30",12
"232","2007-12-03",11.48
"233","2007-12-04",11.4
"234","2007-12-05",11.27
"235","2007-12-06",11.21
"236","2007-12-07",11.15
"237","2007-12-10",10.87
"238","2007-12-11",10.25
"239","2007-12-12",10.15
"240","2007-12-13",10.6
"241","2007-12-14",10.2
"242","2007-12-17",9.25
"243","2007-12-18",9
"244","2007-12-19",9
"245","2007-12-20",9.25
"246","2007-12-21",10.15
"247","2007-12-24",10.06
"248","2007-12-26",9.94
"249","2007-12-27",10
"250","2007-12-28",10.05
"251","2007-12-31",10.24
"252","2008-01-02",9.71
"253","2008-01-03",9.95
"254","2008-01-04",9.8
"255","2008-01-07",9.65
"256","2008-01-08",9.98
"257","2008-01-09",9.75
"258","2008-01-10",9.88
"259","2008-01-11",9.85
"260","2008-01-14",10.32
"261","2008-01-15",10.02
"262","2008-01-16",9.98
"263","2008-01-17",9.65
"264","2008-01-18",9.89
"265","2008-01-22",9.7
"266","2008-01-23",9.8
"267","2008-01-24",9.89
"268","2008-01-25",10.5
"269","2008-01-28",9.66
"270","2008-01-29",9.5
"271","2008-01-30",9.84
"272","2008-01-31",9.45
"273","2008-02-01",9.65
"274","2008-02-04",9.64
"275","2008-02-05",9.45
"276","2008-02-06",9.34
"277","2008-02-07",8.96
"278","2008-02-08",9.15
"279","2008-02-11",9.64
"280","2008-02-12",9.74
"281","2008-02-13",10.18
"282","2008-02-14",10.03
"283","2008-02-15",10.2
"284","2008-02-19",10.14
"285","2008-02-20",10.1
"286","2008-02-21",9.91
"287","2008-02-22",10
"288","2008-02-25",10.15
"289","2008-02-26",10.35
"290","2008-02-27",10.7
"291","2008-02-28",10.75
"292","2008-02-29",10.3
"293","2008-03-03",9.9
"294","2008-03-04",9.45
"295","2008-03-05",9.14
"296","2008-03-06",8.84
"297","2008-03-07",8.65
"298","2008-03-10",8.45
"299","2008-03-11",8.9
"300","2008-03-12",9
"301","2008-03-13",9
"302","2008-03-14",8.62
"303","2008-03-17",8.25
"304","2008-03-18",7.95
"305","2008-03-19",7.66
"306","2008-03-20",7.85
"307","2008-03-24",8.45
"308","2008-03-25",8.2
"309","2008-03-26",8.1
"310","2008-03-27",8.31
"311","2008-03-28",8.6
"312","2008-03-31",8.08
