"","date","NBRV"
"1","2015-09-18",13.24
"2","2015-09-21",12.62
"3","2015-09-22",10.81
"4","2015-09-23",10.79
"5","2015-09-24",9.67
"6","2015-09-25",9.73
"7","2015-09-28",9.77
"8","2015-09-29",9.3
"9","2015-09-30",9.5
"10","2015-10-01",9.23
"11","2015-10-02",9.01
"12","2015-10-05",9.75
"13","2015-10-06",10.27
"14","2015-10-07",10.27
"15","2015-10-08",9.775
"16","2015-10-09",9.86
"17","2015-10-12",10
"18","2015-10-13",10.06
"19","2015-10-14",10.24
"20","2015-10-15",10
"21","2015-10-16",10.24
"22","2015-10-19",9.92
"23","2015-10-20",10.23
"24","2015-10-21",10.04
"25","2015-10-22",9.53
"26","2015-10-23",9.57
"27","2015-10-26",9.87
"28","2015-10-27",9.83
"29","2015-10-28",10.15
"30","2015-10-29",9.96
"31","2015-10-30",9.95
"32","2015-11-02",10.087
"33","2015-11-03",10.03
"34","2015-11-04",10
"35","2015-11-05",10
"36","2015-11-06",10.01
"37","2015-11-09",10.045
"38","2015-11-10",10.11
"39","2015-11-11",9.99
"40","2015-11-12",9.52
"41","2015-11-13",9.68
"42","2015-11-16",9.65
"43","2015-11-17",9.87
"44","2015-11-18",9.92
"45","2015-11-19",9.98
"46","2015-11-20",10.34
"47","2015-11-23",10.23
"48","2015-11-24",10.205
"49","2015-11-25",10.01
"50","2015-11-27",10.06
"51","2015-11-30",10.192
"52","2015-12-01",9.93
"53","2015-12-02",10.21
"54","2015-12-03",10.239
"55","2015-12-04",10.23
"56","2015-12-07",9.67
"57","2015-12-08",10
"58","2015-12-09",9.67
"59","2015-12-10",9.5
"60","2015-12-11",9.17
"61","2015-12-14",9.13
"62","2015-12-15",9.04
"63","2015-12-16",8.83
"64","2015-12-17",8.66
"65","2015-12-18",8.82
"66","2015-12-21",9.19
"67","2015-12-22",9.16
"68","2015-12-23",9.18
"69","2015-12-24",9.26
"70","2015-12-28",9.06
"71","2015-12-29",9.235
"72","2015-12-30",9.005
"73","2015-12-31",9.62
"74","2016-01-04",9.515
"75","2016-01-05",9.29
"76","2016-01-06",9.09
"77","2016-01-07",9.011
"78","2016-01-08",9.28
"79","2016-01-11",9.35
"80","2016-01-12",9.11
"81","2016-01-13",7.93
"82","2016-01-14",7.86
"83","2016-01-15",7.4
"84","2016-01-19",7.29
"85","2016-01-20",7.25
"86","2016-01-21",7.15
"87","2016-01-22",7.8
"88","2016-01-25",7.32
"89","2016-01-26",6.83
"90","2016-01-27",6.845
"91","2016-01-28",8.3
"92","2016-01-29",8.47
"93","2016-02-01",8.37
"94","2016-02-02",8.31
"95","2016-02-03",8.11
"96","2016-02-04",8.3
"97","2016-02-05",8.34
"98","2016-02-08",8.25
"99","2016-02-09",8.46
"100","2016-02-10",8.25
"101","2016-02-11",8.52
"102","2016-02-12",8.52
"103","2016-02-16",8.84
"104","2016-02-17",8.65
"105","2016-02-18",8.9
"106","2016-02-19",8.98
"107","2016-02-22",8.84
"108","2016-02-23",8.738
"109","2016-02-24",9.05
"110","2016-02-25",8.99
"111","2016-02-26",8.98
"112","2016-02-29",9.01
"113","2016-03-01",8.975
"114","2016-03-02",8.785
"115","2016-03-03",8.87
"116","2016-03-04",9.08
"117","2016-03-07",8.9
"118","2016-03-08",8.76
"119","2016-03-09",8.86
"120","2016-03-10",8.92
"121","2016-03-11",8.87
"122","2016-03-14",8.9
"123","2016-03-15",9.09
"124","2016-03-16",9.25
"125","2016-03-17",8.87
"126","2016-03-18",8.82
"127","2016-03-21",8.9
"128","2016-03-22",9.1
"129","2016-03-23",8.95
"130","2016-03-24",8.85
"131","2016-03-28",8.9
"132","2016-03-29",8.84
"133","2016-03-30",9
"134","2016-03-31",8.96
"135","2016-04-01",8.91
"136","2016-04-04",8.66
"137","2016-04-05",8.56
"138","2016-04-06",8.59
"139","2016-04-07",8.58
"140","2016-04-08",8.59
"141","2016-04-11",8.4
"142","2016-04-12",8.46
"143","2016-04-13",8.4
"144","2016-04-14",8.41
"145","2016-04-15",8.5
"146","2016-04-18",8.56
"147","2016-04-19",8.43
"148","2016-04-20",8.5
"149","2016-04-21",8.5
"150","2016-04-22",8.58
"151","2016-04-25",8.98
"152","2016-04-26",8.73
"153","2016-04-27",8.82
"154","2016-04-28",8.49
"155","2016-04-29",8.5
"156","2016-05-02",8.8
"157","2016-05-03",9
"158","2016-05-04",8.66
"159","2016-05-05",8.49
"160","2016-05-06",8.5
"161","2016-05-09",8.71
"162","2016-05-10",8.74
"163","2016-05-11",8.63
"164","2016-05-12",8.42
"165","2016-05-13",8.36
"166","2016-05-16",8.31
"167","2016-05-17",8.33
"168","2016-05-18",8.49
"169","2016-05-19",8.49
"170","2016-05-20",8.33
"171","2016-05-23",8.01
"172","2016-05-24",8.2
"173","2016-05-25",8.01
"174","2016-05-26",7.76
"175","2016-05-27",7.45
"176","2016-05-31",7.25
"177","2016-06-01",7.47
"178","2016-06-02",7.51
"179","2016-06-03",7.38
"180","2016-06-06",7.1
"181","2016-06-07",7.05
"182","2016-06-08",7.11
"183","2016-06-09",7.14
"184","2016-06-10",7.2
"185","2016-06-13",7.07
"186","2016-06-14",7.08
"187","2016-06-15",7.09
"188","2016-06-16",7.42
"189","2016-06-17",7.63
"190","2016-06-20",7.7
"191","2016-06-21",7.69
"192","2016-06-22",7.35
"193","2016-06-23",7.27
"194","2016-06-24",7.15
"195","2016-06-27",6.99
"196","2016-06-28",7.29
"197","2016-06-29",7.9
"198","2016-06-30",7.5
"199","2016-07-01",7.58
"200","2016-07-05",7.51
"201","2016-07-06",7.68
"202","2016-07-07",8.04
"203","2016-07-08",7.98
"204","2016-07-11",8
"205","2016-07-12",8.027
"206","2016-07-13",8
"207","2016-07-14",7.99
"208","2016-07-15",7.75
"209","2016-07-18",7.5
"210","2016-07-19",8.03
"211","2016-07-20",8.105
"212","2016-07-21",8.152
"213","2016-07-22",8.32
"214","2016-07-25",8.29
"215","2016-07-26",8.3
"216","2016-07-27",8.2
"217","2016-07-28",8.058
"218","2016-07-29",8.43
"219","2016-08-01",8.33
"220","2016-08-02",8.3
"221","2016-08-03",8.1
"222","2016-08-04",7.82
"223","2016-08-05",7.5
"224","2016-08-08",7.62
"225","2016-08-09",7.57
"226","2016-08-10",7.5
"227","2016-08-11",7.5
"228","2016-08-12",7.21
"229","2016-08-15",7.34
"230","2016-08-16",7.21
"231","2016-08-17",7.52
"232","2016-08-18",7.51
"233","2016-08-19",7.5
"234","2016-08-22",7.5
"235","2016-08-23",7.58
"236","2016-08-24",7.6
"237","2016-08-25",7.47
"238","2016-08-26",7.49
