"","date","MIK"
"1","2014-06-27",17.02
"2","2014-06-30",17.049999
"3","2014-07-01",16.85
"4","2014-07-02",16.76
"5","2014-07-03",17.030001
"6","2014-07-07",16.91
"7","2014-07-08",16.91
"8","2014-07-09",16.9
"9","2014-07-10",16.719999
"10","2014-07-11",16.6
"11","2014-07-14",16.379999
"12","2014-07-15",16.4
"13","2014-07-16",16.309999
"14","2014-07-17",16.450001
"15","2014-07-18",16.35
"16","2014-07-21",16.68
"17","2014-07-22",16.68
"18","2014-07-23",16.700001
"19","2014-07-24",16.790001
"20","2014-07-25",16.73
"21","2014-07-28",16
"22","2014-07-29",15.77
"23","2014-07-30",15.12
"24","2014-07-31",15.08
"25","2014-08-01",15.34
"26","2014-08-04",15.29
"27","2014-08-05",15.68
"28","2014-08-06",14.83
"29","2014-08-07",14.95
"30","2014-08-08",14.91
"31","2014-08-11",14.95
"32","2014-08-12",15.16
"33","2014-08-13",14.97
"34","2014-08-14",14.79
"35","2014-08-15",14.89
"36","2014-08-18",14.77
"37","2014-08-19",14.9
"38","2014-08-20",15.41
"39","2014-08-21",15.5
"40","2014-08-22",15.36
"41","2014-08-25",15.62
"42","2014-08-26",15.14
"43","2014-08-27",16.540001
"44","2014-08-28",16.9
"45","2014-08-29",16.98
"46","2014-09-02",17.190001
"47","2014-09-03",17.23
"48","2014-09-04",17.35
"49","2014-09-05",17.17
"50","2014-09-08",17.49
"51","2014-09-09",17.639999
"52","2014-09-10",17.5
"53","2014-09-11",18.02
"54","2014-09-12",17.85
"55","2014-09-15",18.01
"56","2014-09-16",17.91
"57","2014-09-17",17.84
"58","2014-09-18",17.4
"59","2014-09-19",17.290001
"60","2014-09-22",16.969999
"61","2014-09-23",17.209999
"62","2014-09-24",17.469999
"63","2014-09-25",17.459999
"64","2014-09-26",17.440001
"65","2014-09-29",17.530001
"66","2014-09-30",17.48
"67","2014-10-01",17.49
"68","2014-10-02",17.42
"69","2014-10-03",17.790001
"70","2014-10-06",17.65
"71","2014-10-07",17.43
"72","2014-10-08",17.530001
"73","2014-10-09",17.280001
"74","2014-10-10",17.35
"75","2014-10-13",17.41
"76","2014-10-14",17.33
"77","2014-10-15",17.17
"78","2014-10-16",17.440001
"79","2014-10-17",17.719999
"80","2014-10-20",17.85
"81","2014-10-21",18.32
"82","2014-10-22",18.33
"83","2014-10-23",18.25
"84","2014-10-24",18.290001
"85","2014-10-27",18.16
"86","2014-10-28",17.99
"87","2014-10-29",17.870001
"88","2014-10-30",17.82
"89","2014-10-31",18.280001
"90","2014-11-03",18.15
"91","2014-11-04",17.959999
"92","2014-11-05",18.1
"93","2014-11-06",18.68
"94","2014-11-07",18.780001
"95","2014-11-10",18.610001
"96","2014-11-11",19.76
"97","2014-11-12",20.059999
"98","2014-11-13",20.5
"99","2014-11-14",20.93
"100","2014-11-17",21.65
"101","2014-11-18",21.860001
"102","2014-11-19",21.75
