"","date","WD"
"1","2010-12-15",9.9
"2","2010-12-16",9.81
"3","2010-12-17",9.89
"4","2010-12-20",9.91
"5","2010-12-21",9.9
"6","2010-12-22",9.89
"7","2010-12-23",9.89
"8","2010-12-27",9.76
"9","2010-12-28",9.95
"10","2010-12-29",10
"11","2010-12-30",10.1
"12","2010-12-31",10.09
"13","2011-01-03",10
"14","2011-01-04",10
"15","2011-01-05",10.34
"16","2011-01-06",10.21
"17","2011-01-07",10.12
"18","2011-01-10",10.28
"19","2011-01-11",10.3
"20","2011-01-12",10.21
"21","2011-01-13",10.58
"22","2011-01-14",10.64
"23","2011-01-18",10.64
"24","2011-01-19",10.57
"25","2011-01-20",10.6
"26","2011-01-21",10.79
"27","2011-01-24",11.2
"28","2011-01-25",11.18
"29","2011-01-26",11.27
"30","2011-01-27",11.18
"31","2011-01-28",11.15
"32","2011-01-31",12
"33","2011-02-01",12.01
"34","2011-02-02",12.35
"35","2011-02-03",12.45
"36","2011-02-04",12.35
"37","2011-02-07",12.17
"38","2011-02-08",12.16
"39","2011-02-09",12
"40","2011-02-10",12.02
"41","2011-02-11",12.44
"42","2011-02-14",12.17
"43","2011-02-15",12.32
"44","2011-02-16",12.51
"45","2011-02-17",12.5
"46","2011-02-18",12.48
"47","2011-02-22",12.39
"48","2011-02-23",12.24
"49","2011-02-24",12.4
"50","2011-02-25",12.26
"51","2011-02-28",12.21
"52","2011-03-01",12.41
"53","2011-03-02",12.59
"54","2011-03-03",12.53
"55","2011-03-04",12.5
"56","2011-03-07",12.5
"57","2011-03-08",12.5
"58","2011-03-09",12.49
"59","2011-03-10",12.4
"60","2011-03-11",12.38
"61","2011-03-14",12.1
"62","2011-03-15",11.96
"63","2011-03-16",11.86
"64","2011-03-17",11.87
"65","2011-03-18",12.31
"66","2011-03-21",12.46
"67","2011-03-22",12.59
"68","2011-03-23",12.55
"69","2011-03-24",12.52
"70","2011-03-25",12.65
"71","2011-03-28",12.67
"72","2011-03-29",12.5
"73","2011-03-30",12.05
"74","2011-03-31",12.15
"75","2011-04-01",11.94
"76","2011-04-04",11.84
"77","2011-04-05",11.65
"78","2011-04-06",11.71
"79","2011-04-07",11.67
"80","2011-04-08",11.65
"81","2011-04-11",11.6
"82","2011-04-12",11.65
"83","2011-04-13",11.61
"84","2011-04-14",11.27
"85","2011-04-15",11.41
"86","2011-04-18",11.41
"87","2011-04-19",11.14
"88","2011-04-20",11.33
"89","2011-04-21",11.31
"90","2011-04-25",11.52
"91","2011-04-26",11.75
"92","2011-04-27",11.88
"93","2011-04-28",11.79
"94","2011-04-29",11.99
"95","2011-05-02",11.72
"96","2011-05-03",11.46
"97","2011-05-04",11.41
"98","2011-05-05",11.7
"99","2011-05-06",11.85
"100","2011-05-09",11.99
"101","2011-05-10",12
"102","2011-05-11",11.82
"103","2011-05-12",12.13
"104","2011-05-13",12.15
"105","2011-05-16",12.09
"106","2011-05-17",12.51
"107","2011-05-18",12.92
"108","2011-05-19",13.05
"109","2011-05-20",13.13
"110","2011-05-23",13.08
"111","2011-05-24",12.81
"112","2011-05-25",13.01
"113","2011-05-26",12.97
"114","2011-05-27",13.3
"115","2011-05-31",13.6
"116","2011-06-01",13.07
"117","2011-06-02",13.01
"118","2011-06-03",12.83
"119","2011-06-06",13.02
"120","2011-06-07",13.09
"121","2011-06-08",13.03
"122","2011-06-09",12.97
"123","2011-06-10",12.8
"124","2011-06-13",12.45
"125","2011-06-14",12.47
"126","2011-06-15",12.1
"127","2011-06-16",12.42
"128","2011-06-17",12.53
"129","2011-06-20",12.73
"130","2011-06-21",13.11
"131","2011-06-22",13.14
"132","2011-06-23",12.87
"133","2011-06-24",13.45
"134","2011-06-27",13.25
"135","2011-06-28",13.25
"136","2011-06-29",13.35
"137","2011-06-30",13.3
"138","2011-07-01",12.86
"139","2011-07-05",13.04
"140","2011-07-06",13.07
"141","2011-07-07",13.4
"142","2011-07-08",13.24
"143","2011-07-11",13.27
"144","2011-07-12",13.29
"145","2011-07-13",13.26
"146","2011-07-14",13.22
"147","2011-07-15",13.03
"148","2011-07-18",12.88
"149","2011-07-19",13.26
"150","2011-07-20",12.99
"151","2011-07-21",13.04
"152","2011-07-22",12.94
"153","2011-07-25",13.01
