"","date","STL"
"1","2007-01-03",14.95
"2","2007-01-04",15.2
"3","2007-01-05",14.84
"4","2007-01-08",14.74
"5","2007-01-09",14.88
"6","2007-01-10",14.9
"7","2007-01-11",15.14
"8","2007-01-12",15.21
"9","2007-01-16",15.02
"10","2007-01-17",14.91
"11","2007-01-18",14.54
"12","2007-01-19",14.85
"13","2007-01-22",14.57
"14","2007-01-23",14.71
"15","2007-01-24",14.83
"16","2007-01-25",14.47
"17","2007-01-26",14.66
"18","2007-01-29",14.8
"19","2007-01-30",14.58
"20","2007-01-31",14.57
"21","2007-02-01",14.78
"22","2007-02-02",14.67
"23","2007-02-05",14.44
"24","2007-02-06",14.39
"25","2007-02-07",14.48
"26","2007-02-08",14.47
"27","2007-02-09",14.04
"28","2007-02-12",14.23
"29","2007-02-13",14.27
"30","2007-02-14",14.07
"31","2007-02-15",14
"32","2007-02-16",14.09
"33","2007-02-20",14.18
"34","2007-02-21",14.01
"35","2007-02-22",14.16
"36","2007-02-23",14
"37","2007-02-26",14.17
"38","2007-02-27",13.75
"39","2007-02-28",13.55
"40","2007-03-01",13.69
"41","2007-03-02",13.15
"42","2007-03-05",12.88
"43","2007-03-06",13.51
"44","2007-03-07",13.27
"45","2007-03-08",13.46
"46","2007-03-09",13.7
"47","2007-03-12",13.73
"48","2007-03-13",13.34
"49","2007-03-14",13.67
"50","2007-03-15",13.85
"51","2007-03-16",13.71
"52","2007-03-19",13.91
"53","2007-03-20",14.16
"54","2007-03-21",14.57
"55","2007-03-22",14.4
"56","2007-03-23",14.42
"57","2007-03-26",14.47
"58","2007-03-27",14.39
"59","2007-03-28",14.41
"60","2007-03-29",14.25
"61","2007-03-30",14.15
"62","2007-04-02",14.5
"63","2007-04-03",14.58
"64","2007-04-04",14.14
"65","2007-04-05",14.13
"66","2007-04-09",13.91
"67","2007-04-10",13.95
"68","2007-04-11",13.83
"69","2007-04-12",13.98
"70","2007-04-13",14.06
"71","2007-04-16",14.5
"72","2007-04-17",14.44
"73","2007-04-18",14.06
"74","2007-04-19",13.92
"75","2007-04-20",14.27
"76","2007-04-23",13.98
"77","2007-04-24",13.92
"78","2007-04-25",14.06
"79","2007-04-26",14.13
"80","2007-04-27",14.1
"81","2007-04-30",13.61
"82","2007-05-01",13.89
"83","2007-05-02",14.17
"84","2007-05-03",14.26
"85","2007-05-04",14.22
"86","2007-05-07",13.94
"87","2007-05-08",14.07
"88","2007-05-09",13.95
"89","2007-05-10",13.52
"90","2007-05-11",13.85
"91","2007-05-14",13.47
"92","2007-05-15",13.13
"93","2007-05-16",13.26
"94","2007-05-17",13.31
"95","2007-05-18",13.34
"96","2007-05-21",13.58
"97","2007-05-22",13.63
"98","2007-05-23",13.7
"99","2007-05-24",13.46
"100","2007-05-25",13.57
"101","2007-05-29",13.79
"102","2007-05-30",13.76
"103","2007-05-31",13.71
"104","2007-06-01",13.76
"105","2007-06-04",13.77
"106","2007-06-05",13.56
"107","2007-06-06",13.64
"108","2007-06-07",13.49
"109","2007-06-08",13.73
"110","2007-06-11",13.55
"111","2007-06-12",13.33
"112","2007-06-13",13.69
"113","2007-06-14",13.55
"114","2007-06-15",13.73
"115","2007-06-18",13.88
"116","2007-06-19",14.01
"117","2007-06-20",13.69
"118","2007-06-21",13.59
"119","2007-06-22",13.6
"120","2007-06-25",13.47
"121","2007-06-26",13.35
"122","2007-06-27",13.62
"123","2007-06-28",13.68
"124","2007-06-29",13.51
"125","2007-07-02",13.52
"126","2007-07-03",13.62
"127","2007-07-05",13.48
"128","2007-07-06",13.35
"129","2007-07-09",13.32
"130","2007-07-10",12.76
"131","2007-07-11",12.72
"132","2007-07-12",13
"133","2007-07-13",12.87
"134","2007-07-16",12.66
"135","2007-07-17",12.65
"136","2007-07-18",12.39
"137","2007-07-19",12.48
"138","2007-07-20",12.22
"139","2007-07-23",12.12
"140","2007-07-24",11.51
"141","2007-07-25",13.22
"142","2007-07-26",13.53
"143","2007-07-27",13.11
"144","2007-07-30",13.67
"145","2007-07-31",13.64
"146","2007-08-01",13.9
"147","2007-08-02",14
"148","2007-08-03",13.27
"149","2007-08-06",13.33
"150","2007-08-07",13.42
"151","2007-08-08",13.87
"152","2007-08-09",13.62
"153","2007-08-10",13.9
"154","2007-08-13",13.49
"155","2007-08-14",13.36
"156","2007-08-15",13.29
"157","2007-08-16",13.85
"158","2007-08-17",13.99
"159","2007-08-20",13.78
"160","2007-08-21",13.81
"161","2007-08-22",14.12
"162","2007-08-23",13.92
"163","2007-08-24",14
"164","2007-08-27",13.84
"165","2007-08-28",13.47
"166","2007-08-29",13.98
"167","2007-08-30",13.78
"168","2007-08-31",13.81
"169","2007-09-04",13.75
"170","2007-09-05",13.52
"171","2007-09-06",13.52
"172","2007-09-07",13.42
"173","2007-09-10",13.45
"174","2007-09-11",13.74
"175","2007-09-12",13.44
"176","2007-09-13",13.57
"177","2007-09-14",13.83
"178","2007-09-17",13.51
"179","2007-09-18",14.02
"180","2007-09-19",14.39
"181","2007-09-20",14.19
"182","2007-09-21",13.95
"183","2007-09-24",13.7
"184","2007-09-25",13.42
"185","2007-09-26",13.58
"186","2007-09-27",13.3
"187","2007-09-28",13.11
"188","2007-10-01",13.83
"189","2007-10-02",13.93
"190","2007-10-03",13.56
"191","2007-10-04",13.83
"192","2007-10-05",14.02
"193","2007-10-08",13.94
"194","2007-10-09",13.89
"195","2007-10-10",13.88
"196","2007-10-11",13.57
"197","2007-10-12",13.55
"198","2007-10-15",13.18
"199","2007-10-16",13.03
"200","2007-10-17",13.02
"201","2007-10-18",13.02
"202","2007-10-19",12.25
"203","2007-10-22",12.99
"204","2007-10-23",12.63
"205","2007-10-24",12.44
"206","2007-10-25",12.46
"207","2007-10-26",12.96
"208","2007-10-29",12.53
"209","2007-10-30",12.43
"210","2007-10-31",12.71
"211","2007-11-01",11.85
"212","2007-11-02",12.13
"213","2007-11-05",12.2
"214","2007-11-06",12.63
"215","2007-11-07",11.74
"216","2007-11-08",12.02
"217","2007-11-09",12.4
"218","2007-11-12",12.41
"219","2007-11-13",12.89
"220","2007-11-14",12.9
"221","2007-11-15",12.84
"222","2007-11-16",12.31
"223","2007-11-19",12.05
"224","2007-11-20",12.25
"225","2007-11-21",12.08
"226","2007-11-23",12.54
"227","2007-11-26",11.7
"228","2007-11-27",12.12
"229","2007-11-28",12.55
"230","2007-11-29",12.24
"231","2007-11-30",12.2
"232","2007-12-03",11.87
"233","2007-12-04",11.81
"234","2007-12-05",11.9
"235","2007-12-06",12.5
"236","2007-12-07",12.27
"237","2007-12-10",12.74
"238","2007-12-11",12.59
"239","2007-12-12",12.5
"240","2007-12-13",12.64
"241","2007-12-14",12.43
"242","2007-12-17",12.51
"243","2007-12-18",13.21
"244","2007-12-19",12.97
"245","2007-12-20",13.24
"246","2007-12-21",13.75
"247","2007-12-24",13.73
"248","2007-12-26",13.84
"249","2007-12-27",13.4
"250","2007-12-28",13.08
"251","2007-12-31",12.92
"252","2008-01-02",12.58
"253","2008-01-03",12.56
"254","2008-01-04",12.07
"255","2008-01-07",12.46
"256","2008-01-08",12.01
"257","2008-01-09",12.23
"258","2008-01-10",12.43
"259","2008-01-11",11.9
"260","2008-01-14",11.97
"261","2008-01-15",11.87
"262","2008-01-16",12.11
"263","2008-01-17",11.58
"264","2008-01-18",11.45
"265","2008-01-22",11.75
"266","2008-01-23",12.67
"267","2008-01-24",12.15
"268","2008-01-25",11.79
"269","2008-01-28",12.15
"270","2008-01-29",12.57
"271","2008-01-30",12.5
"272","2008-01-31",13.8
"273","2008-02-01",13.53
"274","2008-02-04",13.17
"275","2008-02-05",12.98
"276","2008-02-06",12.97
"277","2008-02-07",13.21
"278","2008-02-08",13.11
"279","2008-02-11",13.41
"280","2008-02-12",13.64
"281","2008-02-13",13.72
"282","2008-02-14",13.3
"283","2008-02-15",12.97
"284","2008-02-19",13.26
"285","2008-02-20",13.44
"286","2008-02-21",13.56
"287","2008-02-22",13.6
"288","2008-02-25",13.69
"289","2008-02-26",13.57
"290","2008-02-27",13.89
"291","2008-02-28",13.5
"292","2008-02-29",13.11
"293","2008-03-03",13.31
"294","2008-03-04",13.4
"295","2008-03-05",13.25
"296","2008-03-06",12.83
"297","2008-03-07",13.05
"298","2008-03-10",13.31
"299","2008-03-11",13.81
"300","2008-03-12",13.64
"301","2008-03-13",13.97
"302","2008-03-14",13.58
"303","2008-03-17",13.18
"304","2008-03-18",13.77
"305","2008-03-19",13.42
"306","2008-03-20",14.2
"307","2008-03-24",14.05
"308","2008-03-25",14.06
"309","2008-03-26",13.71
"310","2008-03-27",13.68
"311","2008-03-28",13.51
"312","2008-03-31",13.5
"313","2008-04-01",14.1
"314","2008-04-02",14.38
"315","2008-04-03",14.27
"316","2008-04-04",14.13
"317","2008-04-07",13.96
"318","2008-04-08",14.03
"319","2008-04-09",13.95
"320","2008-04-10",14.01
"321","2008-04-11",13.58
"322","2008-04-14",13.42
"323","2008-04-15",13.7
"324","2008-04-16",14.42
"325","2008-04-17",14.39
"326","2008-04-18",14.5
"327","2008-04-21",14.26
"328","2008-04-22",14.21
"329","2008-04-23",14.33
"330","2008-04-24",14.65
"331","2008-04-25",14.53
"332","2008-04-28",14.34
"333","2008-04-29",13.81
"334","2008-04-30",13.36
"335","2008-05-01",13.88
"336","2008-05-02",13.57
