"","date","AZUL"
"1","2017-04-11",21.5
"2","2017-04-12",21.940001
"3","2017-04-13",21.879999
"4","2017-04-17",22.059999
"5","2017-04-18",23.1
"6","2017-04-19",22.93
"7","2017-04-20",22.719999
"8","2017-04-21",23
"9","2017-04-24",23.219999
"10","2017-04-25",23.02
"11","2017-04-26",22.52
"12","2017-04-27",22.389999
"13","2017-04-28",22.709999
"14","2017-05-01",23.360001
"15","2017-05-02",24.17
"16","2017-05-03",24.610001
"17","2017-05-04",24.68
"18","2017-05-05",25.09
"19","2017-05-08",24.290001
"20","2017-05-09",24.25
"21","2017-05-10",24.49
"22","2017-05-11",24.09
"23","2017-05-12",24.200001
"24","2017-05-15",24.860001
"25","2017-05-16",25.43
"26","2017-05-17",25.200001
"27","2017-05-18",20.549999
"28","2017-05-19",21.389999
"29","2017-05-22",20.32
"30","2017-05-23",20.299999
"31","2017-05-24",21.98
"32","2017-05-25",23.049999
"33","2017-05-26",23.32
"34","2017-05-30",23
"35","2017-05-31",22.059999
"36","2017-06-01",21.389999
"37","2017-06-02",21.559999
"38","2017-06-05",21.450001
"39","2017-06-06",21.4
"40","2017-06-07",21.639999
"41","2017-06-08",21.15
"42","2017-06-09",20.99
"43","2017-06-12",20.66
"44","2017-06-13",21.129999
"45","2017-06-14",21.01
"46","2017-06-15",21.059999
"47","2017-06-16",20.74
"48","2017-06-19",20.59
"49","2017-06-20",20.559999
"50","2017-06-21",20.76
"51","2017-06-22",20.67
"52","2017-06-23",20.889999
"53","2017-06-26",21.190001
"54","2017-06-27",21.02
"55","2017-06-28",20.99
"56","2017-06-29",20.84
"57","2017-06-30",21.08
"58","2017-07-03",21.4
"59","2017-07-05",22.01
"60","2017-07-06",22.059999
"61","2017-07-07",22.870001
"62","2017-07-10",23.15
"63","2017-07-11",23.08
"64","2017-07-12",23.43
"65","2017-07-13",23.52
"66","2017-07-14",23.870001
"67","2017-07-17",24.389999
"68","2017-07-18",24.49
"69","2017-07-19",25.16
"70","2017-07-20",24.889999
"71","2017-07-21",24.99
"72","2017-07-24",24.93
"73","2017-07-25",25.09
"74","2017-07-26",25.389999
"75","2017-07-27",25.059999
"76","2017-07-28",25.35
"77","2017-07-31",26.360001
"78","2017-08-01",25.9
"79","2017-08-02",26.1
"80","2017-08-03",26.73
"81","2017-08-04",26.530001
"82","2017-08-07",26.549999
"83","2017-08-08",26.73
"84","2017-08-09",26.6
"85","2017-08-10",25.41
"86","2017-08-11",25.389999
"87","2017-08-14",25.68
"88","2017-08-15",25.620001
"89","2017-08-16",25.940001
"90","2017-08-17",25.08
"91","2017-08-18",25.370001
"92","2017-08-21",24.950001
"93","2017-08-22",25.120001
"94","2017-08-23",24.84
"95","2017-08-24",25.030001
"96","2017-08-25",24.950001
"97","2017-08-28",24.73
"98","2017-08-29",24.860001
"99","2017-08-30",24.65
"100","2017-08-31",25.01
"101","2017-09-01",25.459999
"102","2017-09-05",26.200001
"103","2017-09-06",26.690001
"104","2017-09-07",26.700001
"105","2017-09-08",26.74
"106","2017-09-11",26.870001
