"","date","THCA"
"1","2019-07-30",9.77
"2","2019-07-31",9.78
"3","2019-08-01",9.85
"4","2019-08-02",9.85
"5","2019-08-05",9.85
"6","2019-08-06",9.75
"7","2019-08-07",9.75
"8","2019-08-08",9.75
"9","2019-08-09",9.75
"10","2019-08-12",9.75
"11","2019-08-13",9.75
"12","2019-08-14",9.69
"13","2019-08-15",9.69
"14","2019-08-16",9.69
"15","2019-08-19",9.69
"16","2019-08-20",9.74
"17","2019-08-21",9.74
"18","2019-08-22",9.72
"19","2019-08-23",9.723
"20","2019-08-26",9.723
"21","2019-08-27",9.723
"22","2019-08-28",9.723
"23","2019-08-29",9.723
"24","2019-08-30",9.723
"25","2019-09-03",9.74
"26","2019-09-04",9.74
"27","2019-09-05",9.752
"28","2019-09-06",9.75
"29","2019-09-09",9.78
"30","2019-09-10",9.78
"31","2019-09-11",9.78
"32","2019-09-12",9.82
"33","2019-09-13",9.82
"34","2019-09-16",9.82
"35","2019-09-17",9.82
"36","2019-09-18",9.82
"37","2019-09-19",9.82
"38","2019-09-20",9.82
"39","2019-09-23",9.82
"40","2019-09-24",9.82
"41","2019-09-25",9.82
"42","2019-09-26",9.82
"43","2019-09-27",9.82
"44","2019-09-30",9.81
"45","2019-10-01",9.81
"46","2019-10-02",9.81
"47","2019-10-03",9.82
"48","2019-10-04",9.82
"49","2019-10-07",9.82
"50","2019-10-08",9.82
"51","2019-10-09",9.82
"52","2019-10-10",9.82
"53","2019-10-11",9.82
"54","2019-10-14",9.82
"55","2019-10-15",9.82
"56","2019-10-16",9.82
"57","2019-10-17",9.82
"58","2019-10-18",9.8
"59","2019-10-21",9.8
"60","2019-10-22",9.8
"61","2019-10-23",9.78
"62","2019-10-24",9.82
"63","2019-10-25",9.82
"64","2019-10-28",9.82
"65","2019-10-29",9.82
"66","2019-10-30",9.8
"67","2019-10-31",9.8
"68","2019-11-01",9.8
"69","2019-11-04",9.8
"70","2019-11-05",9.765
"71","2019-11-06",9.765
"72","2019-11-07",9.765
"73","2019-11-08",9.765
"74","2019-11-11",9.765
"75","2019-11-12",9.765
"76","2019-11-13",9.78
"77","2019-11-14",9.8
"78","2019-11-15",9.8
"79","2019-11-18",9.8
"80","2019-11-19",9.79
"81","2019-11-20",9.78
"82","2019-11-21",9.79
"83","2019-11-22",9.75
"84","2019-11-25",9.75
"85","2019-11-26",9.75
"86","2019-11-27",9.79
"87","2019-11-29",9.79
"88","2019-12-02",9.79
"89","2019-12-03",9.79
"90","2019-12-04",9.79
"91","2019-12-05",9.79
"92","2019-12-06",9.79
"93","2019-12-09",9.79
"94","2019-12-10",9.79
"95","2019-12-11",9.79
"96","2019-12-12",9.82
"97","2019-12-13",9.814
"98","2019-12-16",9.85
"99","2019-12-17",9.85
"100","2019-12-18",9.85
"101","2019-12-19",9.85
"102","2019-12-20",9.86
"103","2019-12-23",9.86
"104","2019-12-24",9.86
"105","2019-12-26",9.86
"106","2019-12-27",9.86
"107","2019-12-30",9.86
"108","2019-12-31",9.86
"109","2020-01-02",9.84
"110","2020-01-03",9.84
"111","2020-01-06",9.86
"112","2020-01-07",9.86
"113","2020-01-08",9.87
"114","2020-01-09",9.94
"115","2020-01-10",9.91
"116","2020-01-13",9.93
"117","2020-01-14",9.92
"118","2020-01-15",9.92
"119","2020-01-16",9.9
"120","2020-01-17",9.89
"121","2020-01-21",9.91
"122","2020-01-22",9.909
"123","2020-01-23",9.92
"124","2020-01-24",9.93
"125","2020-01-27",9.93
"126","2020-01-28",9.93
"127","2020-01-29",9.92
"128","2020-01-30",9.91
"129","2020-01-31",9.91
"130","2020-02-03",9.93
"131","2020-02-04",9.93
"132","2020-02-05",9.9
"133","2020-02-06",9.97
"134","2020-02-07",9.96
"135","2020-02-10",9.97
"136","2020-02-11",9.97
"137","2020-02-12",9.99
"138","2020-02-13",9.97
"139","2020-02-14",9.99
"140","2020-02-18",9.99
"141","2020-02-19",9.94
"142","2020-02-20",10.02
"143","2020-02-21",10.02
"144","2020-02-24",10
"145","2020-02-25",10.006
"146","2020-02-26",10.006
"147","2020-02-27",10.01
"148","2020-02-28",10.01
"149","2020-03-02",10
"150","2020-03-03",9.99
"151","2020-03-04",9.95
"152","2020-03-05",9.99
"153","2020-03-06",9.99
"154","2020-03-09",9.98
"155","2020-03-10",9.97
"156","2020-03-11",9.86
"157","2020-03-12",9.72
"158","2020-03-13",9.69
"159","2020-03-16",9.5
"160","2020-03-17",9.5
"161","2020-03-18",9.45
"162","2020-03-19",9.4
"163","2020-03-20",9.6
"164","2020-03-23",9.455
"165","2020-03-24",9.455
"166","2020-03-25",9.455
"167","2020-03-26",9.65
"168","2020-03-27",9.65
"169","2020-03-30",9.675
"170","2020-03-31",9.75
"171","2020-04-01",9.75
"172","2020-04-02",9.8
"173","2020-04-03",9.75
"174","2020-04-06",9.75
"175","2020-04-07",9.75
"176","2020-04-08",9.75
"177","2020-04-09",9.77
"178","2020-04-13",9.77
"179","2020-04-14",9.77
"180","2020-04-15",9.77
"181","2020-04-16",9.77
"182","2020-04-17",9.8
"183","2020-04-20",9.8
"184","2020-04-21",9.8
"185","2020-04-22",9.8
"186","2020-04-23",9.8
"187","2020-04-24",9.89
"188","2020-04-27",9.89
"189","2020-04-28",9.89
"190","2020-04-29",9.89
"191","2020-04-30",9.89
"192","2020-05-01",9.89
"193","2020-05-04",9.9
"194","2020-05-05",9.9
"195","2020-05-06",9.9
"196","2020-05-07",9.9
"197","2020-05-08",9.9
"198","2020-05-11",9.9
"199","2020-05-12",9.9
"200","2020-05-13",9.85
"201","2020-05-14",9.85
"202","2020-05-15",9.85
"203","2020-05-18",9.85
"204","2020-05-19",9.87
"205","2020-05-20",9.84
"206","2020-05-21",9.84
"207","2020-05-22",9.84
"208","2020-05-26",9.85
"209","2020-05-27",9.84
"210","2020-05-28",9.85
"211","2020-05-29",9.85
"212","2020-06-01",9.86
"213","2020-06-02",9.88
"214","2020-06-03",9.88
"215","2020-06-04",9.9
"216","2020-06-05",9.9
"217","2020-06-08",10.125
"218","2020-06-09",9.92
"219","2020-06-10",9.9
"220","2020-06-11",9.99
"221","2020-06-12",9.99
"222","2020-06-15",9.99
"223","2020-06-16",9.99
"224","2020-06-17",9.95
"225","2020-06-18",9.95
"226","2020-06-19",9.98
"227","2020-06-22",9.98
"228","2020-06-23",9.98
"229","2020-06-24",10
"230","2020-06-25",10
"231","2020-06-26",10
"232","2020-06-29",10.05
"233","2020-06-30",10.05
