"","date","BPYU"
"1","2018-08-28",20.799999
"2","2018-08-29",20.639999
"3","2018-08-30",20.25
"4","2018-08-31",20.02
"5","2018-09-04",19.459999
"6","2018-09-05",19.26
"7","2018-09-06",19.450001
"8","2018-09-07",19.49
"9","2018-09-10",19.639999
"10","2018-09-11",19.610001
"11","2018-09-12",19.75
"12","2018-09-13",19.66
"13","2018-09-14",20
"14","2018-09-17",20.16
"15","2018-09-18",20.200001
"16","2018-09-19",20.16
"17","2018-09-20",20.51
"18","2018-09-21",20.84
"19","2018-09-24",20.59
"20","2018-09-25",20.809999
"21","2018-09-26",20.450001
"22","2018-09-27",20.65
"23","2018-09-28",20.93
"24","2018-10-01",20.629999
"25","2018-10-02",20.68
"26","2018-10-03",20.459999
"27","2018-10-04",20.15
"28","2018-10-05",19.91
"29","2018-10-08",20.34
"30","2018-10-09",20.24
"31","2018-10-10",19.98
"32","2018-10-11",19.450001
"33","2018-10-12",19.530001
"34","2018-10-15",19.780001
"35","2018-10-16",20.049999
"36","2018-10-17",19.889999
"37","2018-10-18",19.68
"38","2018-10-19",19.700001
"39","2018-10-22",19.530001
"40","2018-10-23",19.360001
"41","2018-10-24",19.23
"42","2018-10-25",19.309999
"43","2018-10-26",18.870001
"44","2018-10-29",18.940001
"45","2018-10-30",19.17
"46","2018-10-31",19.290001
"47","2018-11-01",18.74
"48","2018-11-02",18.5
"49","2018-11-05",18.76
"50","2018-11-06",18.76
"51","2018-11-07",18.93
"52","2018-11-08",19.110001
"53","2018-11-09",19.26
"54","2018-11-12",19.16
"55","2018-11-13",19.16
"56","2018-11-14",18.709999
"57","2018-11-15",18.469999
"58","2018-11-16",18.42
"59","2018-11-19",18.26
"60","2018-11-20",17.83
"61","2018-11-21",18.02
"62","2018-11-23",18.08
"63","2018-11-26",18.08
"64","2018-11-27",17.950001
"65","2018-11-28",18.08
"66","2018-11-29",17.49
"67","2018-11-30",18.01
"68","2018-12-03",17.629999
"69","2018-12-04",17.43
"70","2018-12-06",17.5
"71","2018-12-07",17.16
"72","2018-12-10",16.530001
"73","2018-12-11",16.709999
"74","2018-12-12",16.76
"75","2018-12-13",16.65
"76","2018-12-14",16.440001
"77","2018-12-17",15.75
"78","2018-12-18",15.76
"79","2018-12-19",15.33
"80","2018-12-20",15.21
"81","2018-12-21",15.25
"82","2018-12-24",15.01
"83","2018-12-26",15.44
"84","2018-12-27",15.5
"85","2018-12-28",15.63
"86","2018-12-31",16.1
"87","2019-01-02",16.09
"88","2019-01-03",16.52
"89","2019-01-04",16.91
"90","2019-01-07",17.17
"91","2019-01-08",17
"92","2019-01-09",17.09
