"","date","BFST"
"1","2018-04-23",27
"2","2018-04-24",27.51
"3","2018-04-25",27.51
"4","2018-04-26",26.5
"5","2018-04-27",26.059999
"6","2018-04-30",26.075001
"7","2018-05-01",26
"8","2018-05-02",25.75
"9","2018-05-03",25.24
"10","2018-05-04",24.99
"11","2018-05-07",25
"12","2018-05-08",25
"13","2018-05-09",24.969999
"14","2018-05-10",25
"15","2018-05-11",24.65
"16","2018-05-14",25
"17","2018-05-15",24.85
"18","2018-05-16",24.379999
"19","2018-05-17",24.35
"20","2018-05-18",24.389999
"21","2018-05-21",24.389999
"22","2018-05-22",24.48
"23","2018-05-23",23.99
"24","2018-05-24",23.5
"25","2018-05-25",23.4
"26","2018-05-29",23.35
"27","2018-05-30",23.49
"28","2018-05-31",23.42
"29","2018-06-01",23.92
"30","2018-06-04",24.27
"31","2018-06-05",24.719999
"32","2018-06-06",24.93
"33","2018-06-07",24.549999
"34","2018-06-08",24.530001
"35","2018-06-11",24.85
"36","2018-06-12",24.610001
"37","2018-06-13",25.040001
"38","2018-06-14",25.09
"39","2018-06-15",25.190001
"40","2018-06-18",26.129999
"41","2018-06-19",25.809999
"42","2018-06-20",26.299999
"43","2018-06-21",26.139999
"44","2018-06-22",26.719999
"45","2018-06-25",26.530001
"46","2018-06-26",26
"47","2018-06-27",26.6
"48","2018-06-28",26.68
"49","2018-06-29",26.35
"50","2018-07-02",25.799999
"51","2018-07-03",25.68
"52","2018-07-05",26.25
"53","2018-07-06",25.15
"54","2018-07-09",25.4
"55","2018-07-10",25.1
"56","2018-07-11",25
"57","2018-07-12",25.219999
"58","2018-07-13",25.469999
"59","2018-07-16",25.15
"60","2018-07-17",25.57
"61","2018-07-18",25.93
"62","2018-07-19",26.08
"63","2018-07-20",26.1
"64","2018-07-23",26.280001
"65","2018-07-24",26.02
"66","2018-07-25",25.75
"67","2018-07-26",25.92
"68","2018-07-27",25.73
"69","2018-07-30",26
"70","2018-07-31",25.85
"71","2018-08-01",25.5
"72","2018-08-02",25.58
"73","2018-08-03",25.299999
"74","2018-08-06",25.129999
"75","2018-08-07",25.219999
"76","2018-08-08",25.27
"77","2018-08-09",25.360001
"78","2018-08-10",25.190001
"79","2018-08-13",25.25
"80","2018-08-14",25.280001
"81","2018-08-15",25.309999
"82","2018-08-16",25.59
"83","2018-08-17",25.51
"84","2018-08-20",25.65
"85","2018-08-21",25.75
"86","2018-08-22",25.84
"87","2018-08-23",25.99
