"","date","RXT"
"1","2020-08-05",16.389999
"2","2020-08-06",15.8
"3","2020-08-07",15.4
"4","2020-08-10",15.89
"5","2020-08-11",15.81
"6","2020-08-12",15.8
"7","2020-08-13",16.26
"8","2020-08-14",16.6
"9","2020-08-17",18.309999
"10","2020-08-18",18.889999
"11","2020-08-19",18.32
"12","2020-08-20",18.25
"13","2020-08-21",18.33
"14","2020-08-24",18.360001
"15","2020-08-25",18.26
"16","2020-08-26",19
"17","2020-08-27",18.690001
"18","2020-08-28",19.33
"19","2020-08-31",21.35
"20","2020-09-01",21
"21","2020-09-02",20.709999
"22","2020-09-03",18.99
"23","2020-09-04",19.610001
"24","2020-09-08",18.940001
"25","2020-09-09",20.129999
"26","2020-09-10",18.940001
"27","2020-09-11",18.66
"28","2020-09-14",19.08
"29","2020-09-15",18.4
"30","2020-09-16",18.01
"31","2020-09-17",18.610001
"32","2020-09-18",18.24
"33","2020-09-21",18.34
"34","2020-09-22",18.43
"35","2020-09-23",18.09
"36","2020-09-24",17.879999
"37","2020-09-25",18.34
"38","2020-09-28",18.459999
"39","2020-09-29",18.889999
"40","2020-09-30",19.290001
"41","2020-10-01",19.01
"42","2020-10-02",18.74
"43","2020-10-05",18.870001
"44","2020-10-06",18.709999
"45","2020-10-07",18.74
"46","2020-10-08",18.559999
"47","2020-10-09",18.190001
"48","2020-10-12",18.5
"49","2020-10-13",18.25
"50","2020-10-14",17.66
"51","2020-10-15",18.040001
"52","2020-10-16",17.76
"53","2020-10-19",17.475
"54","2020-10-20",16.99
"55","2020-10-21",16.815001
"56","2020-10-22",16.715
"57","2020-10-23",16.719999
"58","2020-10-26",16.129999
"59","2020-10-27",16.049999
"60","2020-10-28",16.139999
"61","2020-10-29",16.17
"62","2020-10-30",15.75
"63","2020-11-02",16.24
"64","2020-11-03",16.629999
"65","2020-11-04",16.559999
"66","2020-11-05",17.08
"67","2020-11-06",17.16
"68","2020-11-09",17.74
"69","2020-11-10",17.6
"70","2020-11-11",17.440001
"71","2020-11-12",17.02
"72","2020-11-13",16.459999
"73","2020-11-16",15.58
"74","2020-11-17",16.059999
"75","2020-11-18",15.83
"76","2020-11-19",16.17
"77","2020-11-20",16.610001
"78","2020-11-23",17.08
"79","2020-11-24",16.65
"80","2020-11-25",17.08
"81","2020-11-27",17.700001
