"","date","DCOM"
"1","2007-01-03",14.14
"2","2007-01-04",14.14
"3","2007-01-05",13.86
"4","2007-01-08",13.8
"5","2007-01-09",13.75
"6","2007-01-10",13.79
"7","2007-01-11",13.89
"8","2007-01-12",13.94
"9","2007-01-16",13.88
"10","2007-01-17",13.64
"11","2007-01-18",13.65
"12","2007-01-19",13.65
"13","2007-01-22",13.56
"14","2007-01-23",13.48
"15","2007-01-24",13.6
"16","2007-01-25",13.44
"17","2007-01-26",13.48
"18","2007-01-29",13.36
"19","2007-01-30",13.29
"20","2007-01-31",13.43
"21","2007-02-01",13.38
"22","2007-02-02",13.38
"23","2007-02-05",13.25
"24","2007-02-06",13.35
"25","2007-02-07",13.27
"26","2007-02-08",13.24
"27","2007-02-09",13.15
"28","2007-02-12",13.23
"29","2007-02-13",13.34
"30","2007-02-14",13.19
"31","2007-02-15",13.1
"32","2007-02-16",13.14
"33","2007-02-20",13.08
"34","2007-02-21",13.09
"35","2007-02-22",12.95
"36","2007-02-23",12.75
"37","2007-02-26",12.66
"38","2007-02-27",12.48
"39","2007-02-28",12.57
"40","2007-03-01",12.76
"41","2007-03-02",12.54
"42","2007-03-05",12.22
"43","2007-03-06",12.79
"44","2007-03-07",12.81
"45","2007-03-08",12.82
"46","2007-03-09",12.94
"47","2007-03-12",13.04
"48","2007-03-13",12.64
"49","2007-03-14",12.89
"50","2007-03-15",13.1
"51","2007-03-16",13.12
"52","2007-03-19",13.23
"53","2007-03-20",13.43
"54","2007-03-21",13.67
"55","2007-03-22",13.61
"56","2007-03-23",13.66
"57","2007-03-26",13.56
"58","2007-03-27",13.32
"59","2007-03-28",13.03
"60","2007-03-29",13.38
"61","2007-03-30",13.23
"62","2007-04-02",13.39
"63","2007-04-03",13.59
"64","2007-04-04",13.06
"65","2007-04-05",13.14
"66","2007-04-09",12.93
"67","2007-04-10",12.91
"68","2007-04-11",12.71
"69","2007-04-12",12.67
"70","2007-04-13",12.92
"71","2007-04-16",13.31
"72","2007-04-17",13.2
"73","2007-04-18",13.2
"74","2007-04-19",12.96
"75","2007-04-20",13.34
"76","2007-04-23",12.95
"77","2007-04-24",12.88
"78","2007-04-25",13.48
"79","2007-04-26",13.48
"80","2007-04-27",13.66
"81","2007-04-30",13.31
"82","2007-05-01",13.74
"83","2007-05-02",13.85
"84","2007-05-03",13.67
"85","2007-05-04",13.69
"86","2007-05-07",13.54
"87","2007-05-08",13.58
"88","2007-05-09",13.6
"89","2007-05-10",13.21
"90","2007-05-11",13.45
"91","2007-05-14",13.27
"92","2007-05-15",13.12
"93","2007-05-16",13.36
"94","2007-05-17",13.26
"95","2007-05-18",13.27
"96","2007-05-21",13.4
"97","2007-05-22",13.65
"98","2007-05-23",13.42
"99","2007-05-24",13.38
"100","2007-05-25",13.46
"101","2007-05-29",13.56
"102","2007-05-30",13.53
"103","2007-05-31",13.5
"104","2007-06-01",13.62
"105","2007-06-04",13.49
"106","2007-06-05",13.34
"107","2007-06-06",13.31
"108","2007-06-07",13.23
"109","2007-06-08",13.37
"110","2007-06-11",13.28
"111","2007-06-12",13.16
"112","2007-06-13",13.37
"113","2007-06-14",13.32
"114","2007-06-15",13.64
"115","2007-06-18",13.68
"116","2007-06-19",13.74
"117","2007-06-20",13.31
"118","2007-06-21",13.18
"119","2007-06-22",13.04
"120","2007-06-25",13.28
"121","2007-06-26",13.29
"122","2007-06-27",13.52
"123","2007-06-28",13.44
"124","2007-06-29",13.19
"125","2007-07-02",13.18
"126","2007-07-03",13.13
"127","2007-07-05",13.08
"128","2007-07-06",13.03
"129","2007-07-09",13.14
"130","2007-07-10",13.03
