"","date","XTLB"
"1","2007-01-03",135.5
"2","2007-01-04",166.5
"3","2007-01-05",164
"4","2007-01-08",160.5
"5","2007-01-09",153
"6","2007-01-10",160.5
"7","2007-01-11",169.5
"8","2007-01-12",170
"9","2007-01-16",190.5
"10","2007-01-17",190.5
"11","2007-01-18",201.5
"12","2007-01-19",205
"13","2007-01-22",223.5
"14","2007-01-23",235
"15","2007-01-24",232.5
"16","2007-01-25",249.5
"17","2007-01-26",243
"18","2007-01-29",242
"19","2007-01-30",228.5
"20","2007-01-31",210
"21","2007-02-01",209
"22","2007-02-02",208.5
"23","2007-02-05",214
"24","2007-02-06",217.5
"25","2007-02-07",217.5
"26","2007-02-08",217
"27","2007-02-09",212.5
"28","2007-02-12",203
"29","2007-02-13",210
"30","2007-02-14",212
"31","2007-02-15",210
"32","2007-02-16",208
"33","2007-02-20",204
"34","2007-02-21",204
"35","2007-02-22",195
"36","2007-02-23",198
"37","2007-02-26",213.5
"38","2007-02-27",204.5
"39","2007-02-28",214.5
"40","2007-03-01",212.5
"41","2007-03-02",210.5
"42","2007-03-05",207
"43","2007-03-06",206.5
"44","2007-03-07",202
"45","2007-03-08",206
"46","2007-03-09",205.5
"47","2007-03-12",208.5
"48","2007-03-13",202.5
"49","2007-03-14",202.5
"50","2007-03-15",202.5
"51","2007-03-16",202.5
"52","2007-03-19",198.5
"53","2007-03-20",201.5
"54","2007-03-21",203
"55","2007-03-22",200
"56","2007-03-23",200.5
"57","2007-03-26",199.5
"58","2007-03-27",201
"59","2007-03-28",191.5
"60","2007-03-29",196.5
"61","2007-03-30",199.5
"62","2007-04-02",196
"63","2007-04-03",196
"64","2007-04-04",196
"65","2007-04-05",197
"66","2007-04-09",196.5
"67","2007-04-10",187.5
"68","2007-04-11",187.5
"69","2007-04-12",187
"70","2007-04-13",182
"71","2007-04-16",180
"72","2007-04-17",180
"73","2007-04-18",180
"74","2007-04-19",180
"75","2007-04-20",180
"76","2007-04-23",185
"77","2007-04-24",183
"78","2007-04-25",185
"79","2007-04-26",187
