"","date","MYT"
"1","2015-06-04",19.66
"2","2015-06-05",24.75
"3","2015-06-08",28.200001
"4","2015-06-09",22.9
"5","2015-06-10",20.459999
"6","2015-06-11",19.85
"7","2015-06-12",15.19
"8","2015-06-15",11
"9","2015-06-16",9.11
"10","2015-06-17",5.75
"11","2015-06-18",7.24
"12","2015-06-19",6.62
"13","2015-06-22",6.1
"14","2015-06-23",6.1
"15","2015-06-24",5.85
"16","2015-06-25",5.55
"17","2015-06-26",5.5
"18","2015-06-29",4.85
"19","2015-06-30",4.85
"20","2015-07-01",3.53
"21","2015-07-02",3.8
"22","2015-07-06",3.54
"23","2015-07-07",3.41
"24","2015-07-08",3.3
"25","2015-07-09",3.49
"26","2015-07-10",3.51
"27","2015-07-13",3.59
"28","2015-07-14",3.5
"29","2015-07-15",3.52
"30","2015-07-16",3.45
"31","2015-07-17",3.4
"32","2015-07-20",3.15
"33","2015-07-21",3.28
"34","2015-07-22",3.39
"35","2015-07-23",3.33
"36","2015-07-24",3.23
"37","2015-07-27",3.32
"38","2015-07-28",3.08
"39","2015-07-29",3.2
"40","2015-07-30",3.2
"41","2015-07-31",3.2
"42","2015-08-03",2.75
"43","2015-08-04",2.58
"44","2015-08-05",2.6
"45","2015-08-06",1.99
"46","2015-08-07",1.95
"47","2015-08-10",2.12
"48","2015-08-11",2.1
"49","2015-08-12",2.19
"50","2015-08-13",2.3
"51","2015-08-14",2.27
"52","2015-08-17",2.389
"53","2015-08-18",2.69
"54","2015-08-19",2.79
"55","2015-08-20",2.82
"56","2015-08-21",2.6
"57","2015-08-24",2.6
"58","2015-08-25",2.583
"59","2015-08-26",2.7
"60","2015-08-27",2.6
"61","2015-08-28",2.52
"62","2015-08-31",2.4
"63","2015-09-01",2.22
"64","2015-09-02",2.24
"65","2015-09-03",2.12
"66","2015-09-04",2.13
"67","2015-09-08",2.38
"68","2015-09-09",2.42
"69","2015-09-10",2.42
"70","2015-09-11",2.2
"71","2015-09-14",2.05
"72","2015-09-15",1.98
"73","2015-09-16",2.13
"74","2015-09-17",2.15
"75","2015-09-18",2.15
"76","2015-09-21",2.15
"77","2015-09-22",2.15
"78","2015-09-23",2.385
"79","2015-09-24",2.17
"80","2015-09-25",2.01
"81","2015-09-28",2.112
"82","2015-09-29",2.112
"83","2015-09-30",2.37
"84","2015-10-01",2.23
"85","2015-10-02",2.282
"86","2015-10-05",2.17
"87","2015-10-06",2.38
"88","2015-10-07",2.46
"89","2015-10-08",2.46
"90","2015-10-09",2.48
"91","2015-10-12",2.48
"92","2015-10-13",2.32
"93","2015-10-14",2.6
"94","2015-10-15",2.65
"95","2015-10-16",2.68
"96","2015-10-19",2.68
"97","2015-10-20",2.68
"98","2015-10-21",2.68
"99","2015-10-22",2.68
"100","2015-10-23",2.68
"101","2015-10-26",2.63
"102","2015-10-27",2.65
"103","2015-10-28",2.63
"104","2015-10-29",2.63
"105","2015-10-30",2.54
"106","2015-11-02",2.55
"107","2015-11-03",2.55
"108","2015-11-04",2.39
"109","2015-11-05",2.35
"110","2015-11-06",2.35
"111","2015-11-09",2.35
"112","2015-11-10",2.35
"113","2015-11-11",2.32
"114","2015-11-12",2.15
"115","2015-11-13",1.74
"116","2015-11-16",1.7
"117","2015-11-17",1.68
"118","2015-11-18",1.699
"119","2015-11-19",1.62
"120","2015-11-20",1.68
"121","2015-11-23",1.65
"122","2015-11-24",1.6
"123","2015-11-25",1.66
"124","2015-11-27",1.66
"125","2015-11-30",1.66
"126","2015-12-01",2.23
"127","2015-12-02",2.15
"128","2015-12-03",2.32
"129","2015-12-04",2.2
"130","2015-12-07",2.2
"131","2015-12-08",2.2
"132","2015-12-09",2.2
"133","2015-12-10",2.19
"134","2015-12-11",2.035
"135","2015-12-14",2.15
"136","2015-12-15",2.17
"137","2015-12-16",2.17
"138","2015-12-17",1.92
"139","2015-12-18",1.889
"140","2015-12-21",1.75
"141","2015-12-22",1.611
"142","2015-12-23",1.5
"143","2015-12-24",1.45
"144","2015-12-28",1.32
"145","2015-12-29",1.6
"146","2015-12-30",1.526
"147","2015-12-31",1.47
"148","2016-01-04",1.47
"149","2016-01-05",1.47
"150","2016-01-06",1.47
"151","2016-01-07",1.45
"152","2016-01-08",1.3
"153","2016-01-11",1.1
"154","2016-01-12",1.1
"155","2016-01-13",1.337
"156","2016-01-14",1.23
"157","2016-01-15",1.07
"158","2016-01-19",1.07
"159","2016-01-20",1.09
"160","2016-01-21",1.03
"161","2016-01-22",0.94
"162","2016-01-25",0.9
"163","2016-01-26",1.05
"164","2016-01-27",1.15
"165","2016-01-28",1.15
