"","date","BCH"
"1","2007-01-03",15.678969
"2","2007-01-04",15.933438
"3","2007-01-05",15.942636
"4","2007-01-08",15.078054
"5","2007-01-09",14.955419
"6","2007-01-10",14.838915
"7","2007-01-11",14.838915
"8","2007-01-12",14.210407
"9","2007-01-16",14.464876
"10","2007-01-17",14.624302
"11","2007-01-18",14.624302
"12","2007-01-19",14.624302
"13","2007-01-22",14.636566
"14","2007-01-23",14.661093
"15","2007-01-24",14.654962
"16","2007-01-25",14.559918
"17","2007-01-26",14.501667
"18","2007-01-29",14.40969
"19","2007-01-30",14.406624
"20","2007-01-31",14.489403
"21","2007-02-01",14.572182
"22","2007-02-02",14.477139
"23","2007-02-05",14.526194
"24","2007-02-06",14.556852
"25","2007-02-07",14.584446
"26","2007-02-08",14.869574
"27","2007-02-09",15.025934
"28","2007-02-12",15.093384
"29","2007-02-13",15.127109
"30","2007-02-14",15.329457
"31","2007-02-15",15.191492
"32","2007-02-16",15.173097
"33","2007-02-20",14.866508
"34","2007-02-21",14.498601
"35","2007-02-22",14.51393
"36","2007-02-23",14.731608
"37","2007-02-26",14.575248
"38","2007-02-27",13.974334
"39","2007-02-28",14.164418
"40","2007-03-01",14.179748
"41","2007-03-02",14.458744
"42","2007-03-05",14.060179
"43","2007-03-06",14.746938
"44","2007-03-07",14.679488
"45","2007-03-08",14.566051
"46","2007-03-09",14.725476
"47","2007-03-12",14.792927
"48","2007-03-13",14.615105
"49","2007-03-14",13.934477
"50","2007-03-15",14.173616
"51","2007-03-16",14.425019
"52","2007-03-19",14.667225
"53","2007-03-20",14.743872
"54","2007-03-21",14.737741
"55","2007-03-22",14.743872
"56","2007-03-23",15.010605
"57","2007-03-26",15.133241
"58","2007-03-27",15.154701
"59","2007-03-28",15.176163
"60","2007-03-29",15.40917
"61","2007-03-30",15.133241
"62","2007-04-02",14.989143
"63","2007-04-03",15.277337
"64","2007-04-04",15.225217
"65","2007-04-05",15.170031
"66","2007-04-09",15.265074
"67","2007-04-10",15.191492
"68","2007-04-11",14.792927
"69","2007-04-12",15.004473
"70","2007-04-13",15.390775
"71","2007-04-16",15.507279
"72","2007-04-17",15.47662
"73","2007-04-18",15.412236
