"","date","SCSC"
"1","2007-01-03",30.25
"2","2007-01-04",30.41
"3","2007-01-05",30.1
"4","2007-01-08",30.129999
"5","2007-01-09",27.98
"6","2007-01-10",27.48
"7","2007-01-11",27.790001
"8","2007-01-12",27.73
"9","2007-01-16",27.51
"10","2007-01-17",27.85
"11","2007-01-18",27.549999
"12","2007-01-19",27.51
"13","2007-01-22",27.65
"14","2007-01-23",27.83
"15","2007-01-24",27.99
"16","2007-01-25",27.610001
"17","2007-01-26",28.219999
"18","2007-01-29",29.26
"19","2007-01-30",28.99
"20","2007-01-31",29.34
"21","2007-02-01",29.1
"22","2007-02-02",28.85
"23","2007-02-05",28.58
"24","2007-02-06",28.75
"25","2007-02-07",29.049999
"26","2007-02-08",28.940001
"27","2007-02-09",28.620001
"28","2007-02-12",29
"29","2007-02-13",28.889999
"30","2007-02-14",29.25
"31","2007-02-15",29.26
"32","2007-02-16",29.33
"33","2007-02-20",29.76
"34","2007-02-21",29.719999
"35","2007-02-22",29.67
"36","2007-02-23",29.77
"37","2007-02-26",29.57
"38","2007-02-27",28.15
"39","2007-02-28",27.66
"40","2007-03-01",27.49
"41","2007-03-02",27.120001
"42","2007-03-05",26.08
"43","2007-03-06",26.030001
"44","2007-03-07",25.969999
"45","2007-03-08",25.870001
"46","2007-03-09",26.200001
"47","2007-03-12",26.040001
"48","2007-03-13",25.719999
"49","2007-03-14",25.799999
"50","2007-03-15",26.120001
"51","2007-03-16",25.93
"52","2007-03-19",26.469999
"53","2007-03-20",26.35
"54","2007-03-21",26.889999
"55","2007-03-22",26.93
"56","2007-03-23",27.129999
"57","2007-03-26",26.75
"58","2007-03-27",26.690001
"59","2007-03-28",26.299999
"60","2007-03-29",26.629999
"61","2007-03-30",26.84
"62","2007-04-02",26.809999
"63","2007-04-03",27.49
"64","2007-04-04",27.52
"65","2007-04-05",28.84
"66","2007-04-09",29.059999
"67","2007-04-10",29.25
"68","2007-04-11",28.959999
"69","2007-04-12",29.290001
"70","2007-04-13",29.91
"71","2007-04-16",30.27
"72","2007-04-17",29.620001
"73","2007-04-18",29.219999
"74","2007-04-19",28.99
"75","2007-04-20",29.77
"76","2007-04-23",29.889999
"77","2007-04-24",29.98
"78","2007-04-25",29.98
"79","2007-04-26",30.17
"80","2007-04-27",29.1
"81","2007-04-30",28.719999
"82","2007-05-01",28.700001
"83","2007-05-02",28.870001
"84","2007-05-03",28.370001
"85","2007-05-04",28.309999
"86","2007-05-07",28.030001
"87","2007-05-08",28.290001
"88","2007-05-09",28.42
"89","2007-05-10",28
"90","2007-05-11",28.040001
"91","2007-05-14",27.91
"92","2007-05-15",27.82
"93","2007-05-16",28.059999
"94","2007-05-17",28.110001
"95","2007-05-18",28.129999
"96","2007-05-21",28.309999
"97","2007-05-22",28.690001
"98","2007-05-23",28.52
"99","2007-05-24",28.200001
"100","2007-05-25",28.280001
"101","2007-05-29",28.85
"102","2007-05-30",29.209999
"103","2007-05-31",28.98
"104","2007-06-01",29.16
"105","2007-06-04",28.92
"106","2007-06-05",28.469999
"107","2007-06-06",28.209999
"108","2007-06-07",28.110001
"109","2007-06-08",28.27
"110","2007-06-11",28.02
"111","2007-06-12",27.860001
"112","2007-06-13",27.950001
"113","2007-06-14",28.5
"114","2007-06-15",28.610001
"115","2007-06-18",31.6
"116","2007-06-19",32.060001
"117","2007-06-20",32.130001
"118","2007-06-21",33.779999
"119","2007-06-22",32.93
"120","2007-06-25",32.529999
"121","2007-06-26",32.400002
"122","2007-06-27",32.91
"123","2007-06-28",32.610001
"124","2007-06-29",31.99
"125","2007-07-02",32.450001
"126","2007-07-03",32.330002
"127","2007-07-05",32.259998
"128","2007-07-06",32
"129","2007-07-09",32.990002
"130","2007-07-10",32.16
"131","2007-07-11",32.48
"132","2007-07-12",32.25
"133","2007-07-13",31.59
"134","2007-07-16",30.5
"135","2007-07-17",30.200001
"136","2007-07-18",30.32
"137","2007-07-19",30.6
"138","2007-07-20",29.969999
"139","2007-07-23",29.85
"140","2007-07-24",28.83
"141","2007-07-25",28.66
"142","2007-07-26",27.76
"143","2007-07-27",27.24
"144","2007-07-30",27.25
"145","2007-07-31",26.83
"146","2007-08-01",27.049999
"147","2007-08-02",27.23
"148","2007-08-03",25.790001
"149","2007-08-06",26.74
"150","2007-08-07",27.09
"151","2007-08-08",29.870001
"152","2007-08-09",30.35
"153","2007-08-10",29.450001
"154","2007-08-13",28.91
