"","date","EQ"
"1","2018-10-12",14
"2","2018-10-15",14
"3","2018-10-16",14
"4","2018-10-17",14
"5","2018-10-18",13.92
"6","2018-10-19",14
"7","2018-10-22",14.31
"8","2018-10-23",13.85
"9","2018-10-24",13.99
"10","2018-10-25",14.97
"11","2018-10-26",14.85
"12","2018-10-29",14.47
"13","2018-10-30",14.32
"14","2018-10-31",14
"15","2018-11-01",14.98
"16","2018-11-02",15.04
"17","2018-11-05",16.34
"18","2018-11-06",16.98
"19","2018-11-07",17.1
"20","2018-11-08",16.99
"21","2018-11-09",16.5
"22","2018-11-12",15.6
"23","2018-11-13",15.55
"24","2018-11-14",15.89
"25","2018-11-15",15.85
"26","2018-11-16",16.9
"27","2018-11-19",14.88
"28","2018-11-20",14.5
"29","2018-11-21",14.6
"30","2018-11-23",19.440001
"31","2018-11-26",16.67
"32","2018-11-27",16.469999
"33","2018-11-28",15.58
"34","2018-11-29",14.9
"35","2018-11-30",16.4
"36","2018-12-03",16.200001
"37","2018-12-04",15.9
"38","2018-12-06",14.41
"39","2018-12-07",15.28
"40","2018-12-10",14.08
"41","2018-12-11",14.39
"42","2018-12-12",13.3
"43","2018-12-13",12.37
"44","2018-12-14",12
"45","2018-12-17",10.75
"46","2018-12-18",11.04
"47","2018-12-19",9.89
"48","2018-12-20",6.32
"49","2018-12-21",7.75
"50","2018-12-24",9
"51","2018-12-26",8.46
"52","2018-12-27",7.62
"53","2018-12-28",7.81
"54","2018-12-31",8.16
"55","2019-01-02",7.43
"56","2019-01-03",7.06
"57","2019-01-04",8.07
"58","2019-01-07",10.12
"59","2019-01-08",10.9
"60","2019-01-09",10.48
"61","2019-01-10",10.48
"62","2019-01-11",10.57
"63","2019-01-14",10.19
"64","2019-01-15",10.57
"65","2019-01-16",10.57
"66","2019-01-17",11.28
"67","2019-01-18",12.02
"68","2019-01-22",11.53
"69","2019-01-23",10.61
"70","2019-01-24",10.91
"71","2019-01-25",9.87
"72","2019-01-28",8.82
"73","2019-01-29",8.66
"74","2019-01-30",8.25
"75","2019-01-31",8.79
"76","2019-02-01",8.68
"77","2019-02-04",8.62
"78","2019-02-05",8.8
"79","2019-02-06",8.5
"80","2019-02-07",8.25
"81","2019-02-08",7.69
"82","2019-02-11",7.1
"83","2019-02-12",7.19
"84","2019-02-13",7.16
"85","2019-02-14",6.53
"86","2019-02-15",6.51
"87","2019-02-19",6.9
"88","2019-02-20",6.04
"89","2019-02-21",5.84
"90","2019-02-22",6
"91","2019-02-25",6.61
"92","2019-02-26",7.38
"93","2019-02-27",7.62
"94","2019-02-28",7.87
"95","2019-03-01",7.55
"96","2019-03-04",7.53
"97","2019-03-05",7.48
"98","2019-03-06",7.37
"99","2019-03-07",7.46
"100","2019-03-08",7.45
"101","2019-03-11",7.62
"102","2019-03-12",7.73
"103","2019-03-13",7.78
"104","2019-03-14",7.15
"105","2019-03-15",7.37
"106","2019-03-18",7
"107","2019-03-19",7.35
"108","2019-03-20",7.31
"109","2019-03-21",6.91
"110","2019-03-22",6.81
"111","2019-03-25",7
"112","2019-03-26",7.51
"113","2019-03-27",7.54
"114","2019-03-28",7.97
"115","2019-03-29",8
"116","2019-04-01",8.2
"117","2019-04-02",7.41
"118","2019-04-03",7.18
"119","2019-04-04",7.15
"120","2019-04-05",7.46
"121","2019-04-08",7.51
"122","2019-04-09",6.87
"123","2019-04-10",7.23
"124","2019-04-11",6.65
"125","2019-04-12",6.61
"126","2019-04-15",6.06
"127","2019-04-16",5.65
"128","2019-04-17",5.48
"129","2019-04-18",5.35
"130","2019-04-22",5.51
"131","2019-04-23",5.42
"132","2019-04-24",5.28
"133","2019-04-25",5.38
"134","2019-04-26",5.99
"135","2019-04-29",6.14
"136","2019-04-30",6.24
"137","2019-05-01",6.39
"138","2019-05-02",6.33
"139","2019-05-03",6.75
"140","2019-05-06",6.92
"141","2019-05-07",7.71
"142","2019-05-08",6.08
"143","2019-05-09",6.04
"144","2019-05-10",5.98
"145","2019-05-13",6.08
"146","2019-05-14",6.1
"147","2019-05-15",6.05
"148","2019-05-16",6.12
"149","2019-05-17",6.13
"150","2019-05-20",6.57
"151","2019-05-21",7.73
"152","2019-05-22",6.59
"153","2019-05-23",6.11
"154","2019-05-24",6.07
"155","2019-05-28",6.2
"156","2019-05-29",6.17
"157","2019-05-30",6.6
"158","2019-05-31",6.45
"159","2019-06-03",6.39
"160","2019-06-04",6.34
"161","2019-06-05",6.25
"162","2019-06-06",6
"163","2019-06-07",6.01
