"","date","AEGN"
"1","2007-01-03",25.790001
"2","2007-01-04",26.280001
"3","2007-01-05",25.34
"4","2007-01-08",25.379999
"5","2007-01-09",25.82
"6","2007-01-10",25.42
"7","2007-01-11",25.6
"8","2007-01-12",25.73
"9","2007-01-16",26.01
"10","2007-01-17",27.040001
"11","2007-01-18",26.73
"12","2007-01-19",27.41
"13","2007-01-22",27.35
"14","2007-01-23",27.719999
"15","2007-01-24",28.02
"16","2007-01-25",27.83
"17","2007-01-26",28.040001
"18","2007-01-29",28.02
"19","2007-01-30",27.969999
"20","2007-01-31",27.91
"21","2007-02-01",28.5
"22","2007-02-02",28.35
"23","2007-02-05",28.17
"24","2007-02-06",28.129999
"25","2007-02-07",28.389999
"26","2007-02-08",28.26
"27","2007-02-09",27.74
"28","2007-02-12",27.940001
"29","2007-02-13",28.24
"30","2007-02-14",28.620001
"31","2007-02-15",28.639999
"32","2007-02-16",27.85
"33","2007-02-20",29.190001
"34","2007-02-21",29.5
"35","2007-02-22",28.18
"36","2007-02-23",27.860001
"37","2007-02-26",25.389999
"38","2007-02-27",25.23
"39","2007-02-28",25.34
"40","2007-03-01",24.799999
"41","2007-03-02",23.889999
"42","2007-03-05",23.43
"43","2007-03-06",24.1
"44","2007-03-07",23.559999
"45","2007-03-08",24.700001
"46","2007-03-09",24.299999
"47","2007-03-12",24.360001
"48","2007-03-13",23.74
"49","2007-03-14",24.26
"50","2007-03-15",23.889999
"51","2007-03-16",24.07
"52","2007-03-19",24.440001
"53","2007-03-20",24.33
"54","2007-03-21",24.83
"55","2007-03-22",25.469999
"56","2007-03-23",25
"57","2007-03-26",25.129999
"58","2007-03-27",24.629999
"59","2007-03-28",25.9
"60","2007-03-29",20
"61","2007-03-30",20.790001
"62","2007-04-02",20.18
"63","2007-04-03",20.59
"64","2007-04-04",20.23
"65","2007-04-05",20.48
"66","2007-04-09",20.290001
"67","2007-04-10",19.959999
"68","2007-04-11",19.709999
"69","2007-04-12",20.01
"70","2007-04-13",20.1
"71","2007-04-16",20.370001
"72","2007-04-17",20.48
"73","2007-04-18",20.190001
"74","2007-04-19",20.25
"75","2007-04-20",20.959999
"76","2007-04-23",21.530001
"77","2007-04-24",21.65
"78","2007-04-25",21.709999
"79","2007-04-26",21.799999
"80","2007-04-27",19.59
"81","2007-04-30",20.4
"82","2007-05-01",19.389999
"83","2007-05-02",20.27
"84","2007-05-03",19.73
"85","2007-05-04",19.93
"86","2007-05-07",19.09
"87","2007-05-08",19.219999
"88","2007-05-09",19.139999
"89","2007-05-10",18.940001
"90","2007-05-11",19.200001
"91","2007-05-14",19.07
"92","2007-05-15",19.16
"93","2007-05-16",19.190001
"94","2007-05-17",19.190001
"95","2007-05-18",19.41
"96","2007-05-21",20.35
"97","2007-05-22",20.860001
"98","2007-05-23",21.09
"99","2007-05-24",20.620001
"100","2007-05-25",20.879999
"101","2007-05-29",21.09
"102","2007-05-30",20.83
"103","2007-05-31",21.09
"104","2007-06-01",21.299999
"105","2007-06-04",21.459999
"106","2007-06-05",21.040001
"107","2007-06-06",20.42
"108","2007-06-07",19.540001
"109","2007-06-08",19.4
"110","2007-06-11",20.67
"111","2007-06-12",20.309999
"112","2007-06-13",21.049999
"113","2007-06-14",20.4
"114","2007-06-15",20.549999
"115","2007-06-18",21.09
"116","2007-06-19",21.190001
"117","2007-06-20",20.67
"118","2007-06-21",20.290001
"119","2007-06-22",20.620001
"120","2007-06-25",20.85
"121","2007-06-26",20.42
"122","2007-06-27",21.549999
"123","2007-06-28",22.389999
"124","2007-06-29",21.809999
"125","2007-07-02",22.040001
"126","2007-07-03",21.85
"127","2007-07-05",22.08
"128","2007-07-06",22.280001
"129","2007-07-09",22.16
"130","2007-07-10",21.540001
"131","2007-07-11",21.43
"132","2007-07-12",21.98
"133","2007-07-13",22.09
"134","2007-07-16",21.34
"135","2007-07-17",21.02
"136","2007-07-18",21.290001
"137","2007-07-19",21.360001
"138","2007-07-20",20.43
"139","2007-07-23",21.049999
"140","2007-07-24",20.68
"141","2007-07-25",20.950001
"142","2007-07-26",20.75
"143","2007-07-27",19.809999
"144","2007-07-30",18
"145","2007-07-31",16.52
"146","2007-08-01",16.66
"147","2007-08-02",16.5
"148","2007-08-03",16.09
"149","2007-08-06",15.59
"150","2007-08-07",16.049999
"151","2007-08-08",17.42
"152","2007-08-09",17.889999
"153","2007-08-10",15.84
"154","2007-08-13",16.27
"155","2007-08-14",15.59
"156","2007-08-15",16.4
"157","2007-08-16",16
"158","2007-08-17",16.49
"159","2007-08-20",15.59
"160","2007-08-21",15.19
"161","2007-08-22",15.65
"162","2007-08-23",15.77
"163","2007-08-24",15.91
"164","2007-08-27",15.76
"165","2007-08-28",15.76
"166","2007-08-29",16.290001
"167","2007-08-30",16.200001
"168","2007-08-31",16.49
"169","2007-09-04",16.99
"170","2007-09-05",16.049999
"171","2007-09-06",16.389999
"172","2007-09-07",15.86
"173","2007-09-10",16.01
"174","2007-09-11",16.030001
"175","2007-09-12",15.63
"176","2007-09-13",15.71
"177","2007-09-14",15.8
"178","2007-09-17",15.59
"179","2007-09-18",16.440001
"180","2007-09-19",16.389999
"181","2007-09-20",15.82
"182","2007-09-21",15.87
"183","2007-09-24",15.6
"184","2007-09-25",15.52
"185","2007-09-26",15.83
"186","2007-09-27",15.21
"187","2007-09-28",15.23
"188","2007-10-01",15.33
"189","2007-10-02",16.120001
"190","2007-10-03",16.15
"191","2007-10-04",16.4
"192","2007-10-05",16.09
"193","2007-10-08",16.209999
"194","2007-10-09",16.370001
"195","2007-10-10",16.639999
"196","2007-10-11",16.559999
"197","2007-10-12",16.68
"198","2007-10-15",16.33
"199","2007-10-16",16.15
"200","2007-10-17",15.91
"201","2007-10-18",15.48
"202","2007-10-19",14.33
"203","2007-10-22",14.52
"204","2007-10-23",14.38
"205","2007-10-24",14.25
"206","2007-10-25",14.55
"207","2007-10-26",14.19
"208","2007-10-29",13.63
"209","2007-10-30",13.72
"210","2007-10-31",14.06
"211","2007-11-01",13.62
"212","2007-11-02",13.06
"213","2007-11-05",12.7
"214","2007-11-06",12.91
"215","2007-11-07",12.45
"216","2007-11-08",12.79
"217","2007-11-09",12.96
"218","2007-11-12",12.55
"219","2007-11-13",12.7
"220","2007-11-14",13.01
"221","2007-11-15",13.03
"222","2007-11-16",12.79
"223","2007-11-19",12.31
"224","2007-11-20",12.3
"225","2007-11-21",12.78
"226","2007-11-23",12.95
"227","2007-11-26",12.4
"228","2007-11-27",12.25
"229","2007-11-28",12.57
"230","2007-11-29",12.76
"231","2007-11-30",12.99
"232","2007-12-03",12.47
"233","2007-12-04",12.09
"234","2007-12-05",12.19
"235","2007-12-06",12.3
"236","2007-12-07",12.42
"237","2007-12-10",12.79
"238","2007-12-11",12.83
"239","2007-12-12",13.18
"240","2007-12-13",13.21
"241","2007-12-14",12.98
"242","2007-12-17",12.95
"243","2007-12-18",13.73
"244","2007-12-19",14.14
