"","date","HFFG"
"1","2017-09-07",9.78
"2","2017-09-08",9.8
"3","2017-09-11",9.78
"4","2017-09-12",9.82
"5","2017-09-13",9.9
"6","2017-09-14",9.78
"7","2017-09-15",9.78
"8","2017-09-18",9.78
"9","2017-09-19",9.78
"10","2017-09-20",9.81
"11","2017-09-21",9.81
"12","2017-09-22",9.8
"13","2017-09-25",9.8
"14","2017-09-26",9.79
"15","2017-09-27",9.81
"16","2017-09-28",9.82
"17","2017-09-29",9.82
"18","2017-10-02",9.833
"19","2017-10-03",9.81
"20","2017-10-04",9.812
"21","2017-10-05",9.8
"22","2017-10-06",9.82
"23","2017-10-09",9.81
"24","2017-10-10",9.81
"25","2017-10-11",9.81
"26","2017-10-12",9.79
"27","2017-10-13",9.79
"28","2017-10-16",9.802
"29","2017-10-17",9.8
"30","2017-10-18",9.82
"31","2017-10-19",9.82
"32","2017-10-20",9.83
"33","2017-10-23",9.83
"34","2017-10-24",9.8
"35","2017-10-25",9.81
"36","2017-10-26",9.95
"37","2017-10-27",9.81
"38","2017-10-30",9.81
"39","2017-10-31",9.81
"40","2017-11-01",9.81
"41","2017-11-02",9.81
"42","2017-11-03",9.81
"43","2017-11-06",9.8
"44","2017-11-07",9.8
"45","2017-11-08",9.81
"46","2017-11-09",9.8
"47","2017-11-10",9.8
"48","2017-11-13",9.81
"49","2017-11-14",9.81
"50","2017-11-15",10
"51","2017-11-16",9.9
"52","2017-11-17",9.9
"53","2017-11-20",9.9
"54","2017-11-21",15
"55","2017-11-22",9.89
"56","2017-11-24",9.89
"57","2017-11-27",9.8
"58","2017-11-28",9.8
"59","2017-11-29",9.8
"60","2017-11-30",9.8
"61","2017-12-01",9.78
"62","2017-12-04",9.76
"63","2017-12-05",9.765
"64","2017-12-06",9.75
"65","2017-12-07",9.8
"66","2017-12-08",9.8
"67","2017-12-11",9.81
"68","2017-12-12",9.82
"69","2017-12-13",9.9
"70","2017-12-14",9.9
"71","2017-12-15",9.815
"72","2017-12-18",9.815
"73","2017-12-19",9.815
"74","2017-12-20",9.81
"75","2017-12-21",10
"76","2017-12-22",10
"77","2017-12-26",10
"78","2017-12-27",10
"79","2017-12-28",9.872
"80","2017-12-29",9.86
"81","2018-01-02",9.86
"82","2018-01-03",9.86
"83","2018-01-04",9.86
"84","2018-01-05",9.86
"85","2018-01-08",9.86
"86","2018-01-09",9.82
"87","2018-01-10",9.82
"88","2018-01-11",9.82
"89","2018-01-12",9.82
"90","2018-01-16",9.81
"91","2018-01-17",9.81
"92","2018-01-18",9.81
"93","2018-01-19",9.81
"94","2018-01-22",9.86
"95","2018-01-23",9.86
"96","2018-01-24",9.86
"97","2018-01-25",9.86
"98","2018-01-26",9.86
"99","2018-01-29",9.86
"100","2018-01-30",9.841
"101","2018-01-31",9.841
"102","2018-02-01",9.82
"103","2018-02-02",9.98
"104","2018-02-05",9.98
"105","2018-02-06",9.982
"106","2018-02-07",9.982
"107","2018-02-08",9.892
"108","2018-02-09",9.82
"109","2018-02-12",9.875
"110","2018-02-13",9.91
"111","2018-02-14",9.94
"112","2018-02-15",9.97
"113","2018-02-16",9.92
"114","2018-02-20",9.92
"115","2018-02-21",9.92
"116","2018-02-22",9.91
"117","2018-02-23",9.91
"118","2018-02-26",9.91
"119","2018-02-27",9.91
"120","2018-02-28",9.91
"121","2018-03-01",9.94
"122","2018-03-02",9.95
"123","2018-03-05",9.95
"124","2018-03-06",9.95
"125","2018-03-07",9.96
"126","2018-03-08",9.96
"127","2018-03-09",9.96
"128","2018-03-12",9.96
"129","2018-03-13",9.96
"130","2018-03-14",9.95
"131","2018-03-15",9.95
"132","2018-03-16",9.96
"133","2018-03-19",9.98
"134","2018-03-20",9.98
"135","2018-03-21",9.98
"136","2018-03-22",9.98
"137","2018-03-23",9.98
"138","2018-03-26",9.98
"139","2018-03-27",9.98
"140","2018-03-28",9.98
"141","2018-03-29",9.92
"142","2018-04-02",10.01
"143","2018-04-03",10.03
"144","2018-04-04",10.03
"145","2018-04-05",10.02
"146","2018-04-06",10.02
"147","2018-04-09",10.01
"148","2018-04-10",10.05
"149","2018-04-11",10.05
"150","2018-04-12",10.05
"151","2018-04-13",10.05
"152","2018-04-16",10.05
"153","2018-04-17",10.05
"154","2018-04-18",10.05
"155","2018-04-19",10.05
"156","2018-04-20",10.05
"157","2018-04-23",10.05
"158","2018-04-24",10.05
"159","2018-04-25",10.05
"160","2018-04-26",10.08
"161","2018-04-27",10.08
"162","2018-04-30",10.08
"163","2018-05-01",10.08
"164","2018-05-02",10.08
"165","2018-05-03",10.09
"166","2018-05-04",10.051
"167","2018-05-07",10.056
"168","2018-05-08",10.056
"169","2018-05-09",10.069
"170","2018-05-10",10.069
"171","2018-05-11",10.069
"172","2018-05-14",10.05
"173","2018-05-15",10.05
"174","2018-05-16",10.02
"175","2018-05-17",10.02
"176","2018-05-18",10.02
"177","2018-05-21",10.02
"178","2018-05-22",10.07
"179","2018-05-23",10.07
"180","2018-05-24",10.07
"181","2018-05-25",10.07
"182","2018-05-29",10.1
"183","2018-05-30",10.1
"184","2018-05-31",10.1
"185","2018-06-01",10.1
"186","2018-06-04",10.04
