"","date","ORSN"
"1","2019-11-07",9.85
"2","2019-11-08",9.88
"3","2019-11-11",9.88
"4","2019-11-12",9.88
"5","2019-11-13",9.88
"6","2019-11-14",10.24
"7","2019-11-15",9.92
"8","2019-11-18",9.97
"9","2019-11-19",9.97
"10","2019-11-20",9.875
"11","2019-11-21",9.875
"12","2019-11-22",9.88
"13","2019-11-25",9.9
"14","2019-11-26",9.9
"15","2019-11-27",9.895
"16","2019-11-29",9.92
"17","2019-12-02",10.24
"18","2019-12-03",10.24
"19","2019-12-04",10.24
"20","2019-12-05",10.24
"21","2019-12-06",9.88
"22","2019-12-09",9.88
"23","2019-12-10",9.88
"24","2019-12-11",9.88
"25","2019-12-12",9.88
"26","2019-12-13",9.88
"27","2019-12-16",9.88
"28","2019-12-17",9.88
"29","2019-12-18",9.88
"30","2019-12-19",9.88
"31","2019-12-20",9.9
"32","2019-12-23",9.9
"33","2019-12-24",9.9
"34","2019-12-26",9.9
"35","2019-12-27",9.9
"36","2019-12-30",9.9
"37","2019-12-31",9.95
"38","2020-01-02",9.95
"39","2020-01-03",9.95
"40","2020-01-06",9.95
"41","2020-01-07",9.93
"42","2020-01-08",9.97
"43","2020-01-09",9.97
"44","2020-01-10",9.97
"45","2020-01-13",9.97
"46","2020-01-14",9.92
"47","2020-01-15",9.92
"48","2020-01-16",9.95
"49","2020-01-17",9.95
"50","2020-01-21",9.98
"51","2020-01-22",9.96
"52","2020-01-23",9.95
"53","2020-01-24",9.95
"54","2020-01-27",9.95
"55","2020-01-28",9.95
"56","2020-01-29",9.95
"57","2020-01-30",9.95
"58","2020-01-31",9.95
"59","2020-02-03",9.95
"60","2020-02-04",10.03
"61","2020-02-05",10.05
"62","2020-02-06",10.05
"63","2020-02-07",10.05
"64","2020-02-10",10.05
"65","2020-02-11",10.05
"66","2020-02-12",10.05
"67","2020-02-13",10.05
"68","2020-02-14",10.05
"69","2020-02-18",10.05
"70","2020-02-19",10.1
"71","2020-02-20",10.05
"72","2020-02-21",10.05
"73","2020-02-24",10.05
"74","2020-02-25",10.05
"75","2020-02-26",10
"76","2020-02-27",10
"77","2020-02-28",10
"78","2020-03-02",10
"79","2020-03-03",10
"80","2020-03-04",10
"81","2020-03-05",10
"82","2020-03-06",10
"83","2020-03-09",10.06
"84","2020-03-10",9.855
"85","2020-03-11",10
"86","2020-03-12",9.97
"87","2020-03-13",9.97
"88","2020-03-16",9.02
"89","2020-03-17",9.02
"90","2020-03-18",9.15
