"","date","CASH"
"1","2007-01-03",9.97
"2","2007-01-04",10.663333
"3","2007-01-05",9.986667
"4","2007-01-08",9.786667
"5","2007-01-09",9.746667
"6","2007-01-10",9.49
"7","2007-01-11",9.823334
"8","2007-01-12",9.786667
"9","2007-01-16",9.586667
"10","2007-01-17",9.326667
"11","2007-01-18",9.39
"12","2007-01-19",9.35
"13","2007-01-22",9.466666
"14","2007-01-23",9.466666
"15","2007-01-24",9.666667
"16","2007-01-25",9.91
"17","2007-01-26",10.166667
"18","2007-01-29",10.17
"19","2007-01-30",10.33
"20","2007-01-31",10.53
"21","2007-02-01",9.753333
"22","2007-02-02",9.876667
"23","2007-02-05",10.166667
"24","2007-02-06",10.433333
"25","2007-02-07",10.363334
"26","2007-02-08",10.423333
"27","2007-02-09",10.266666
"28","2007-02-12",10.153334
"29","2007-02-13",9.766666
"30","2007-02-14",10.04
"31","2007-02-15",10.003333
"32","2007-02-16",10
"33","2007-02-20",10
"34","2007-02-21",9.816667
"35","2007-02-22",9.733334
"36","2007-02-23",9.756667
"37","2007-02-26",9.81
"38","2007-02-27",9.576667
"39","2007-02-28",9.543333
"40","2007-03-01",10.103333
"41","2007-03-02",10.413333
"42","2007-03-05",10.246667
"43","2007-03-06",10.06
"44","2007-03-07",10.26
"45","2007-03-08",10.26
"46","2007-03-09",10.29
"47","2007-03-12",10.26
"48","2007-03-13",10.27
"49","2007-03-14",10.333333
"50","2007-03-15",10.226666
"51","2007-03-16",10.226666
"52","2007-03-19",11.146667
"53","2007-03-20",10.596666
"54","2007-03-21",10.366667
"55","2007-03-22",10.46
"56","2007-03-23",10.26
"57","2007-03-26",10.256667
"58","2007-03-27",10.256667
"59","2007-03-28",10.496667
"60","2007-03-29",10.5
"61","2007-03-30",10.303333
"62","2007-04-02",10.5
"63","2007-04-03",10.533334
"64","2007-04-04",10.533334
"65","2007-04-05",10.603333
"66","2007-04-09",10.666667
"67","2007-04-10",10.67
"68","2007-04-11",11
"69","2007-04-12",11.113334
"70","2007-04-13",11.176666
"71","2007-04-16",11.333333
"72","2007-04-17",11.666667
"73","2007-04-18",11.783334
"74","2007-04-19",11.863334
"75","2007-04-20",11.966666
"76","2007-04-23",12
"77","2007-04-24",12.283334
"78","2007-04-25",12.233334
"79","2007-04-26",12.25
"80","2007-04-27",12.45
"81","2007-04-30",12.363334
"82","2007-05-01",12.583333
"83","2007-05-02",12.766666
"84","2007-05-03",12.786667
"85","2007-05-04",12.836667
"86","2007-05-07",12.833333
"87","2007-05-08",12.9
"88","2007-05-09",12.8
"89","2007-05-10",12.633333
"90","2007-05-11",12.733334
"91","2007-05-14",12.733334
"92","2007-05-15",12.72
"93","2007-05-16",12.483334
"94","2007-05-17",12.42
"95","2007-05-18",12.536667
"96","2007-05-21",12.583333
"97","2007-05-22",12.59
"98","2007-05-23",12.6
"99","2007-05-24",12.566667
"100","2007-05-25",12.583333
"101","2007-05-29",12.583333
"102","2007-05-30",12.583333
"103","2007-05-31",12.583333
"104","2007-06-01",12.633333
"105","2007-06-04",12.616667
"106","2007-06-05",12.656667
"107","2007-06-06",12.616667
"108","2007-06-07",12.503333
"109","2007-06-08",12.533334
"110","2007-06-11",12.533334
"111","2007-06-12",12.6
"112","2007-06-13",12.553333
"113","2007-06-14",12.6
"114","2007-06-15",12.586667
"115","2007-06-18",12.613334
"116","2007-06-19",12.583333
"117","2007-06-20",12.45
"118","2007-06-21",12.45
"119","2007-06-22",12.45
"120","2007-06-25",12.583333
"121","2007-06-26",12.583333
"122","2007-06-27",12.583333
"123","2007-06-28",12.583333
"124","2007-06-29",12.596666
"125","2007-07-02",12.673333
"126","2007-07-03",12.75
"127","2007-07-05",12.99
"128","2007-07-06",13.163333
"129","2007-07-09",13.183333
"130","2007-07-10",13.313334
"131","2007-07-11",13.416667
"132","2007-07-12",13.5
"133","2007-07-13",13.666667
"134","2007-07-16",13.55
"135","2007-07-17",13.326667
"136","2007-07-18",13.49
"137","2007-07-19",13.49
"138","2007-07-20",13.49
"139","2007-07-23",13.26
"140","2007-07-24",13.366667
"141","2007-07-25",13.513333
"142","2007-07-26",13.4
"143","2007-07-27",13.466666
"144","2007-07-30",13.516666
"145","2007-07-31",13.876667
"146","2007-08-01",13.843333
"147","2007-08-02",13.6
"148","2007-08-03",13.666667
"149","2007-08-06",13.17
"150","2007-08-07",12.866667
"151","2007-08-08",13.013333
"152","2007-08-09",13.136666
"153","2007-08-10",13.333333
"154","2007-08-13",13.416667
"155","2007-08-14",13.27
"156","2007-08-15",13.186666
"157","2007-08-16",13.176666
"158","2007-08-17",13.333333
"159","2007-08-20",13.15
"160","2007-08-21",13.263333
"161","2007-08-22",13.333333
"162","2007-08-23",13.283334
"163","2007-08-24",13.233334
"164","2007-08-27",13.3
"165","2007-08-28",13.116667
"166","2007-08-29",13.383333
"167","2007-08-30",13.333333
"168","2007-08-31",13.366667
"169","2007-09-04",13.366667
"170","2007-09-05",13.346666
"171","2007-09-06",13.4
"172","2007-09-07",13.666667
"173","2007-09-10",13.406667
"174","2007-09-11",13.076667
"175","2007-09-12",13.053333
"176","2007-09-13",12.773334
