"","date","DCI"
"1","2007-01-03",17.35
"2","2007-01-04",17.27
"3","2007-01-05",17.129999
"4","2007-01-08",17.155001
"5","2007-01-09",17.065001
"6","2007-01-10",17.014999
"7","2007-01-11",17.125
"8","2007-01-12",17.155001
"9","2007-01-16",17.23
"10","2007-01-17",17.1
"11","2007-01-18",17.094999
"12","2007-01-19",17.135
"13","2007-01-22",16.934999
"14","2007-01-23",17.219999
"15","2007-01-24",17.1
"16","2007-01-25",16.950001
"17","2007-01-26",17.025
"18","2007-01-29",17.305
"19","2007-01-30",17.620001
"20","2007-01-31",17.610001
"21","2007-02-01",17.754999
"22","2007-02-02",17.754999
"23","2007-02-05",17.65
"24","2007-02-06",17.59
"25","2007-02-07",17.725
"26","2007-02-08",17.709999
"27","2007-02-09",17.459999
"28","2007-02-12",17.43
"29","2007-02-13",17.52
"30","2007-02-14",17.75
"31","2007-02-15",17.77
"32","2007-02-16",17.77
"33","2007-02-20",17.924999
"34","2007-02-21",18.075001
"35","2007-02-22",18.049999
"36","2007-02-23",18.825001
"37","2007-02-26",18.68
"38","2007-02-27",17.809999
"39","2007-02-28",17.92
"40","2007-03-01",17.745001
"41","2007-03-02",17.540001
"42","2007-03-05",17.27
"43","2007-03-06",17.450001
"44","2007-03-07",17.5
"45","2007-03-08",17.825001
"46","2007-03-09",17.84
"47","2007-03-12",18.08
"48","2007-03-13",17.674999
"49","2007-03-14",17.735001
"50","2007-03-15",17.705
"51","2007-03-16",17.594999
"52","2007-03-19",17.695
"53","2007-03-20",17.77
"54","2007-03-21",17.924999
"55","2007-03-22",17.924999
"56","2007-03-23",18.08
"57","2007-03-26",18.184999
"58","2007-03-27",17.860001
"59","2007-03-28",17.84
"60","2007-03-29",18.055
"61","2007-03-30",18.049999
"62","2007-04-02",17.940001
"63","2007-04-03",17.98
"64","2007-04-04",18.059999
"65","2007-04-05",17.985001
"66","2007-04-09",17.905001
"67","2007-04-10",17.49
"68","2007-04-11",17.35
"69","2007-04-12",17.305
"70","2007-04-13",17.33
"71","2007-04-16",17.5
"72","2007-04-17",17.565001
"73","2007-04-18",17.545
"74","2007-04-19",17.52
"75","2007-04-20",17.68
