"","date","VRTX"
"1","2007-01-03",36.900002
"2","2007-01-04",36.990002
"3","2007-01-05",35.810001
"4","2007-01-08",33.549999
"5","2007-01-09",33.869999
"6","2007-01-10",35.369999
"7","2007-01-11",36.049999
"8","2007-01-12",37.799999
"9","2007-01-16",38.419998
"10","2007-01-17",37.889999
"11","2007-01-18",37.32
"12","2007-01-19",36.900002
"13","2007-01-22",35.950001
"14","2007-01-23",36.23
"15","2007-01-24",36.27
"16","2007-01-25",35.040001
"17","2007-01-26",35.029999
"18","2007-01-29",35.310001
"19","2007-01-30",35.779999
"20","2007-01-31",35.349998
"21","2007-02-01",34.799999
"22","2007-02-02",33.73
"23","2007-02-05",32.52
"24","2007-02-06",33.09
"25","2007-02-07",33.080002
"26","2007-02-08",33.029999
"27","2007-02-09",32.360001
"28","2007-02-12",32.009998
"29","2007-02-13",31.469999
"30","2007-02-14",32.07
"31","2007-02-15",31.549999
"32","2007-02-16",30.530001
"33","2007-02-20",31.42
"34","2007-02-21",31.43
"35","2007-02-22",32.330002
"36","2007-02-23",32.130001
"37","2007-02-26",31.620001
"38","2007-02-27",31.299999
"39","2007-02-28",30.690001
"40","2007-03-01",30.030001
"41","2007-03-02",29.459999
"42","2007-03-05",28.870001
"43","2007-03-06",29.51
"44","2007-03-07",29.51
"45","2007-03-08",29.280001
"46","2007-03-09",29.290001
"47","2007-03-12",30.4
"48","2007-03-13",29.110001
"49","2007-03-14",28.07
"50","2007-03-15",28.17
"51","2007-03-16",27.09
"52","2007-03-19",27.65
"53","2007-03-20",27.85
"54","2007-03-21",28.360001
"55","2007-03-22",28.09
"56","2007-03-23",28.049999
"57","2007-03-26",27.91
"58","2007-03-27",27.59
"59","2007-03-28",27.870001
"60","2007-03-29",28.120001
"61","2007-03-30",28.040001
"62","2007-04-02",27.940001
"63","2007-04-03",28.889999
"64","2007-04-04",29.85
"65","2007-04-05",30.92
"66","2007-04-09",31.559999
"67","2007-04-10",32.119999
"68","2007-04-11",31.02
"69","2007-04-12",31.549999
"70","2007-04-13",30.16
"71","2007-04-16",29.93
"72","2007-04-17",31.68
"73","2007-04-18",31.65
"74","2007-04-19",31.040001
"75","2007-04-20",31.879999
"76","2007-04-23",31.540001
"77","2007-04-24",31.209999
"78","2007-04-25",31.33
"79","2007-04-26",31.440001
"80","2007-04-27",31.360001
"81","2007-04-30",30.74
"82","2007-05-01",30.190001
"83","2007-05-02",30.73
"84","2007-05-03",30.77
"85","2007-05-04",30.469999
"86","2007-05-07",30.42
"87","2007-05-08",30.26
"88","2007-05-09",30.629999
"89","2007-05-10",29.629999
"90","2007-05-11",30.07
"91","2007-05-14",30.42
"92","2007-05-15",31.68
"93","2007-05-16",32.349998
"94","2007-05-17",31.4
"95","2007-05-18",31.459999
"96","2007-05-21",31.610001
"97","2007-05-22",31.450001
"98","2007-05-23",31.459999
"99","2007-05-24",30.58
"100","2007-05-25",30.65
"101","2007-05-29",30.51
"102","2007-05-30",30.129999
"103","2007-05-31",29.9
"104","2007-06-01",29.66
"105","2007-06-04",29.469999
"106","2007-06-05",29.530001
"107","2007-06-06",28.75
"108","2007-06-07",28.08
"109","2007-06-08",27.73
"110","2007-06-11",27.17
"111","2007-06-12",26.889999
"112","2007-06-13",27.35
"113","2007-06-14",27.32
"114","2007-06-15",27.690001
"115","2007-06-18",27.370001
"116","2007-06-19",27.27
"117","2007-06-20",27.219999
"118","2007-06-21",26.870001
"119","2007-06-22",26.200001
"120","2007-06-25",26.049999
