"","date","SESN"
"1","2014-02-06",10.85
"2","2014-02-07",11.15
"3","2014-02-10",11.17
"4","2014-02-11",11.43
"5","2014-02-12",11.41
"6","2014-02-13",11.5
"7","2014-02-14",11.31
"8","2014-02-18",11.5
"9","2014-02-19",12.42
"10","2014-02-20",12.75
"11","2014-02-21",14.34
"12","2014-02-24",15.45
"13","2014-02-25",16.68
"14","2014-02-26",17.26
"15","2014-02-27",17.370001
"16","2014-02-28",16.200001
"17","2014-03-03",15.45
"18","2014-03-04",15.76
"19","2014-03-05",16.93
"20","2014-03-06",15.77
"21","2014-03-07",15.26
"22","2014-03-10",15.89
"23","2014-03-11",15.96
"24","2014-03-12",16.139999
"25","2014-03-13",16.889999
"26","2014-03-14",17.049999
"27","2014-03-17",15.66
"28","2014-03-18",16.690001
"29","2014-03-19",16.35
"30","2014-03-20",16.719999
"31","2014-03-21",16.83
"32","2014-03-24",16.610001
"33","2014-03-25",16.18
"34","2014-03-26",16.6
"35","2014-03-27",16.43
"36","2014-03-28",15.9
"37","2014-03-31",16.23
"38","2014-04-01",17.18
"39","2014-04-02",16.940001
"40","2014-04-03",15.66
"41","2014-04-04",14.68
"42","2014-04-07",14.1
"43","2014-04-08",14.55
"44","2014-04-09",15.62
"45","2014-04-10",14.81
"46","2014-04-11",14.54
"47","2014-04-14",14.52
"48","2014-04-15",13.56
"49","2014-04-16",13.66
"50","2014-04-17",13.32
"51","2014-04-21",13.34
"52","2014-04-22",13.58
"53","2014-04-23",13.9
"54","2014-04-24",13.99
"55","2014-04-25",13.32
"56","2014-04-28",13.42
"57","2014-04-29",13.75
"58","2014-04-30",13.49
"59","2014-05-01",13.54
"60","2014-05-02",12.71
"61","2014-05-05",12.13
"62","2014-05-06",11.57
"63","2014-05-07",11.6
"64","2014-05-08",11.3
"65","2014-05-09",11.29
"66","2014-05-12",10.71
"67","2014-05-13",11.07
"68","2014-05-14",10.66
"69","2014-05-15",10.58
"70","2014-05-16",10.78
"71","2014-05-19",10.62
"72","2014-05-20",10.84
"73","2014-05-21",10.48
"74","2014-05-22",10.61
"75","2014-05-23",11.12
"76","2014-05-27",11.14
"77","2014-05-28",10.65
"78","2014-05-29",10.95
"79","2014-05-30",10.8
"80","2014-06-02",10.96
"81","2014-06-03",10.52
"82","2014-06-04",10.39
"83","2014-06-05",10.48
"84","2014-06-06",10.72
"85","2014-06-09",11.98
"86","2014-06-10",12.28
"87","2014-06-11",11.89
"88","2014-06-12",11.73
"89","2014-06-13",10.81
"90","2014-06-16",11.26
"91","2014-06-17",11.15
"92","2014-06-18",11.35
"93","2014-06-19",12.34
"94","2014-06-20",12.04
"95","2014-06-23",11.16
"96","2014-06-24",11.45
"97","2014-06-25",11.68
"98","2014-06-26",12.16
"99","2014-06-27",12.84
"100","2014-06-30",13.18
"101","2014-07-01",13.03
"102","2014-07-02",13.11
"103","2014-07-03",13.14
"104","2014-07-07",13.02
"105","2014-07-08",13.58
"106","2014-07-09",13.32
"107","2014-07-10",13.31
"108","2014-07-11",13.17
"109","2014-07-14",13.43
"110","2014-07-15",13.12
"111","2014-07-16",12.93
"112","2014-07-17",11.405
"113","2014-07-18",11.36
"114","2014-07-21",11.9
"115","2014-07-22",11.3
"116","2014-07-23",11.45
"117","2014-07-24",10.69
"118","2014-07-25",9.87
"119","2014-07-28",9.95
"120","2014-07-29",10.04
"121","2014-07-30",11.18
"122","2014-07-31",10.97
"123","2014-08-01",11.16
"124","2014-08-04",11.11
"125","2014-08-05",11.74
"126","2014-08-06",12.4
"127","2014-08-07",12.27
"128","2014-08-08",12.61
"129","2014-08-11",12.32
"130","2014-08-12",12.32
"131","2014-08-13",11.94
"132","2014-08-14",11.84
"133","2014-08-15",11.91
"134","2014-08-18",11.66
"135","2014-08-19",11.27
"136","2014-08-20",11.41
"137","2014-08-21",11.24
"138","2014-08-22",11.29
"139","2014-08-25",11.68
"140","2014-08-26",10.87
"141","2014-08-27",11.11
"142","2014-08-28",10.84
"143","2014-08-29",11.08
"144","2014-09-02",11.85
"145","2014-09-03",11.95
"146","2014-09-04",11.6
"147","2014-09-05",11
"148","2014-09-08",12.33
"149","2014-09-09",12.53
"150","2014-09-10",12.76
"151","2014-09-11",12.68
"152","2014-09-12",12.39
"153","2014-09-15",12.29
"154","2014-09-16",12.5
"155","2014-09-17",12.49
"156","2014-09-18",12.26
"157","2014-09-19",12.03
"158","2014-09-22",12.06
"159","2014-09-23",11.78
"160","2014-09-24",11.48
"161","2014-09-25",11.2
"162","2014-09-26",11.11
"163","2014-09-29",11.5
"164","2014-09-30",11.14
"165","2014-10-01",11.51
"166","2014-10-02",11.05
"167","2014-10-03",11.16
"168","2014-10-06",11.01
"169","2014-10-07",10.95
"170","2014-10-08",10.9
"171","2014-10-09",10.81
"172","2014-10-10",10.85
"173","2014-10-13",10.9
"174","2014-10-14",11.38
"175","2014-10-15",11.33
"176","2014-10-16",11.13
"177","2014-10-17",10.77
"178","2014-10-20",10.97
"179","2014-10-21",10.94
"180","2014-10-22",10.56
"181","2014-10-23",10.49
"182","2014-10-24",10.54
"183","2014-10-27",10.8
"184","2014-10-28",10.89
"185","2014-10-29",10.87
"186","2014-10-30",10.83
"187","2014-10-31",10.56
"188","2014-11-03",10.65
"189","2014-11-04",10.62
"190","2014-11-05",10.55
"191","2014-11-06",10.63
"192","2014-11-07",11.07
"193","2014-11-10",11.34
"194","2014-11-11",11.49
"195","2014-11-12",11.24
"196","2014-11-13",10.86
"197","2014-11-14",11
"198","2014-11-17",11.12
"199","2014-11-18",11.15
"200","2014-11-19",11.07
"201","2014-11-20",11.06
"202","2014-11-21",10.91
"203","2014-11-24",11.47
"204","2014-11-25",11.36
"205","2014-11-26",11.46
"206","2014-11-28",11.38
"207","2014-12-01",11.3
"208","2014-12-02",11.41
"209","2014-12-03",11.32
"210","2014-12-04",11.41
"211","2014-12-05",11.49
"212","2014-12-08",11.4
"213","2014-12-09",11.49
"214","2014-12-10",11.5
"215","2014-12-11",11.58
"216","2014-12-12",11.46
"217","2014-12-15",11.62
"218","2014-12-16",11.62
"219","2014-12-17",11.91
"220","2014-12-18",12
"221","2014-12-19",11.87
"222","2014-12-22",11.6
"223","2014-12-23",11.85
"224","2014-12-24",11.92
"225","2014-12-26",11.78
"226","2014-12-29",11.74
"227","2014-12-30",11.89
"228","2014-12-31",11.88
"229","2015-01-02",11.95
"230","2015-01-05",11.57
"231","2015-01-06",11.66
"232","2015-01-07",11.92
"233","2015-01-08",12
"234","2015-01-09",12.27
"235","2015-01-12",13.02
"236","2015-01-13",12.43
"237","2015-01-14",12.5
"238","2015-01-15",11.78
"239","2015-01-16",11.98
"240","2015-01-20",11.85
"241","2015-01-21",11.56
"242","2015-01-22",11.99
"243","2015-01-23",11.88
"244","2015-01-26",11.83
"245","2015-01-27",11.75
"246","2015-01-28",11.47
"247","2015-01-29",11.75
"248","2015-01-30",11.6
"249","2015-02-02",11.79
"250","2015-02-03",11.67
"251","2015-02-04",11.33
"252","2015-02-05",11.16
"253","2015-02-06",10.76
"254","2015-02-09",10.41
"255","2015-02-10",10.47
"256","2015-02-11",10.11
"257","2015-02-12",10.08
"258","2015-02-13",10.13
"259","2015-02-17",10.36
"260","2015-02-18",11
"261","2015-02-19",11.04
"262","2015-02-20",10.85
"263","2015-02-23",11.28
"264","2015-02-24",10.72
"265","2015-02-25",10.72
"266","2015-02-26",10.4
"267","2015-02-27",10.57
"268","2015-03-02",11.36
"269","2015-03-03",10.91
"270","2015-03-04",11.03
"271","2015-03-05",11.58
"272","2015-03-06",11.25
