"","date","EGHT"
"1","2007-01-03",1.16
"2","2007-01-04",1.25
"3","2007-01-05",1.25
"4","2007-01-08",1.5
"5","2007-01-09",1.42
"6","2007-01-10",1.37
"7","2007-01-11",1.41
"8","2007-01-12",1.49
"9","2007-01-16",1.47
"10","2007-01-17",1.47
"11","2007-01-18",1.39
"12","2007-01-19",1.38
"13","2007-01-22",1.41
"14","2007-01-23",1.42
"15","2007-01-24",1.55
"16","2007-01-25",1.6
"17","2007-01-26",1.67
"18","2007-01-29",1.6
"19","2007-01-30",1.77
"20","2007-01-31",1.79
"21","2007-02-01",1.5
"22","2007-02-02",1.44
"23","2007-02-05",1.42
"24","2007-02-06",1.42
"25","2007-02-07",1.42
"26","2007-02-08",1.5
"27","2007-02-09",1.5
"28","2007-02-12",1.47
"29","2007-02-13",1.49
"30","2007-02-14",1.46
"31","2007-02-15",1.42
"32","2007-02-16",1.45
"33","2007-02-20",1.58
"34","2007-02-21",1.55
"35","2007-02-22",1.6
"36","2007-02-23",1.56
"37","2007-02-26",1.53
"38","2007-02-27",1.41
"39","2007-02-28",1.42
"40","2007-03-01",1.39
"41","2007-03-02",1.41
"42","2007-03-05",1.5
"43","2007-03-06",1.47
"44","2007-03-07",1.46
"45","2007-03-08",1.44
"46","2007-03-09",1.41
"47","2007-03-12",1.39
"48","2007-03-13",1.39
"49","2007-03-14",1.4
"50","2007-03-15",1.39
"51","2007-03-16",1.41
"52","2007-03-19",1.41
"53","2007-03-20",1.43
"54","2007-03-21",1.46
"55","2007-03-22",1.4
"56","2007-03-23",1.5
"57","2007-03-26",1.49
"58","2007-03-27",1.49
"59","2007-03-28",1.5
"60","2007-03-29",1.49
"61","2007-03-30",1.46
"62","2007-04-02",1.45
"63","2007-04-03",1.49
"64","2007-04-04",1.5
"65","2007-04-05",1.51
"66","2007-04-09",1.53
"67","2007-04-10",1.51
"68","2007-04-11",1.48
"69","2007-04-12",1.43
"70","2007-04-13",1.42
"71","2007-04-16",1.41
"72","2007-04-17",1.44
"73","2007-04-18",1.39
"74","2007-04-19",1.41
"75","2007-04-20",1.36
"76","2007-04-23",1.33
"77","2007-04-24",1.29
"78","2007-04-25",1.27
"79","2007-04-26",1.25
"80","2007-04-27",1.24
"81","2007-04-30",1.33
"82","2007-05-01",1.36
"83","2007-05-02",1.38
"84","2007-05-03",1.41
"85","2007-05-04",1.48
"86","2007-05-07",1.39
"87","2007-05-08",1.35
"88","2007-05-09",1.36
"89","2007-05-10",1.39
"90","2007-05-11",1.37
"91","2007-05-14",1.46
"92","2007-05-15",1.43
"93","2007-05-16",1.43
"94","2007-05-17",1.37
"95","2007-05-18",1.42
"96","2007-05-21",1.43
"97","2007-05-22",1.37
"98","2007-05-23",1.4
"99","2007-05-24",1.39
"100","2007-05-25",1.36
"101","2007-05-29",1.4
"102","2007-05-30",1.43
"103","2007-05-31",1.44
"104","2007-06-01",1.44
"105","2007-06-04",1.51
"106","2007-06-05",1.49
"107","2007-06-06",1.48
"108","2007-06-07",1.43
"109","2007-06-08",1.42
"110","2007-06-11",1.43
"111","2007-06-12",1.42
"112","2007-06-13",1.4
"113","2007-06-14",1.4
"114","2007-06-15",1.39
"115","2007-06-18",1.42
"116","2007-06-19",1.39
"117","2007-06-20",1.38
"118","2007-06-21",1.39
"119","2007-06-22",1.35
"120","2007-06-25",1.35
"121","2007-06-26",1.37
"122","2007-06-27",1.37
"123","2007-06-28",1.38
"124","2007-06-29",1.39
"125","2007-07-02",1.37
"126","2007-07-03",1.38
"127","2007-07-05",1.37
"128","2007-07-06",1.36
"129","2007-07-09",1.36
"130","2007-07-10",1.34
"131","2007-07-11",1.34
"132","2007-07-12",1.32
"133","2007-07-13",1.34
"134","2007-07-16",1.35
"135","2007-07-17",1.33
"136","2007-07-18",1.33
"137","2007-07-19",1.41
"138","2007-07-20",1.4
"139","2007-07-23",1.38
"140","2007-07-24",1.34
"141","2007-07-25",1.31
"142","2007-07-26",1.31
"143","2007-07-27",1.31
"144","2007-07-30",1.31
"145","2007-07-31",1.33
"146","2007-08-01",1.33
"147","2007-08-02",1.52
"148","2007-08-03",1.48
"149","2007-08-06",1.39
"150","2007-08-07",1.36
"151","2007-08-08",1.4
"152","2007-08-09",1.35
"153","2007-08-10",1.4
"154","2007-08-13",1.32
"155","2007-08-14",1.31
"156","2007-08-15",1.3
"157","2007-08-16",1.22
"158","2007-08-17",1.26
"159","2007-08-20",1.29
"160","2007-08-21",1.26
"161","2007-08-22",1.26
"162","2007-08-23",1.27
"163","2007-08-24",1.27
"164","2007-08-27",1.26
"165","2007-08-28",1.26
"166","2007-08-29",1.28
"167","2007-08-30",1.26
"168","2007-08-31",1.26
"169","2007-09-04",1.29
"170","2007-09-05",1.28
"171","2007-09-06",1.27
"172","2007-09-07",1.26
"173","2007-09-10",1.25
"174","2007-09-11",1.26
"175","2007-09-12",1.25
"176","2007-09-13",1.24
"177","2007-09-14",1.24
"178","2007-09-17",1.24
"179","2007-09-18",1.22
"180","2007-09-19",1.23
"181","2007-09-20",1.25
"182","2007-09-21",1.25
"183","2007-09-24",1.25
"184","2007-09-25",1.24
"185","2007-09-26",1.28
"186","2007-09-27",1.27
"187","2007-09-28",1.25
"188","2007-10-01",1.25
"189","2007-10-02",1.27
"190","2007-10-03",1.26
"191","2007-10-04",1.25
"192","2007-10-05",1.25
"193","2007-10-08",1.26
"194","2007-10-09",1.33
"195","2007-10-10",1.33
"196","2007-10-11",1.3
"197","2007-10-12",1.35
"198","2007-10-15",1.31
"199","2007-10-16",1.38
"200","2007-10-17",1.48
"201","2007-10-18",1.5
"202","2007-10-19",1.47
"203","2007-10-22",1.37
"204","2007-10-23",1.43
"205","2007-10-24",1.39
"206","2007-10-25",1.4
"207","2007-10-26",1.4
"208","2007-10-29",1.44
"209","2007-10-30",1.47
"210","2007-10-31",1.53
"211","2007-11-01",1.46
"212","2007-11-02",1.25
"213","2007-11-05",1.29
"214","2007-11-06",1.29
"215","2007-11-07",1.27
"216","2007-11-08",1.25
"217","2007-11-09",1.19
"218","2007-11-12",1.12
"219","2007-11-13",1.12
"220","2007-11-14",1.12
"221","2007-11-15",1.13
"222","2007-11-16",1.11
"223","2007-11-19",1.08
"224","2007-11-20",1.07
"225","2007-11-21",1.05
"226","2007-11-23",1.06
"227","2007-11-26",1.05
"228","2007-11-27",1.01
"229","2007-11-28",1.06
"230","2007-11-29",1.07
"231","2007-11-30",1.06
"232","2007-12-03",1.08
"233","2007-12-04",1.08
"234","2007-12-05",1.05
"235","2007-12-06",1.03
"236","2007-12-07",1.06
"237","2007-12-10",1.06
"238","2007-12-11",1
"239","2007-12-12",0.96
"240","2007-12-13",0.98
"241","2007-12-14",1.02
"242","2007-12-17",0.97
"243","2007-12-18",0.9
"244","2007-12-19",0.93
"245","2007-12-20",0.93
"246","2007-12-21",0.92
"247","2007-12-24",0.91
"248","2007-12-26",0.89
"249","2007-12-27",0.86
"250","2007-12-28",0.86
"251","2007-12-31",0.89
"252","2008-01-02",1.01
"253","2008-01-03",1.02
"254","2008-01-04",1.02
"255","2008-01-07",1.01
"256","2008-01-08",1.02
"257","2008-01-09",1.01
"258","2008-01-10",1
"259","2008-01-11",0.98
"260","2008-01-14",0.99
"261","2008-01-15",1.1
"262","2008-01-16",1.07
"263","2008-01-17",1.14
"264","2008-01-18",1.13
"265","2008-01-22",1.07
"266","2008-01-23",1.07
"267","2008-01-24",1.14
"268","2008-01-25",1.2
"269","2008-01-28",1.21
"270","2008-01-29",1.26
"271","2008-01-30",1.24
"272","2008-01-31",1.19
"273","2008-02-01",1.22
"274","2008-02-04",1.23
"275","2008-02-05",1.17
"276","2008-02-06",1.22
"277","2008-02-07",1.15
"278","2008-02-08",1.15
"279","2008-02-11",1.17
"280","2008-02-12",1.16
"281","2008-02-13",1.17
"282","2008-02-14",1.18
"283","2008-02-15",1.17
"284","2008-02-19",1.15
"285","2008-02-20",1.12
"286","2008-02-21",1.12
"287","2008-02-22",1.04
"288","2008-02-25",1.11
"289","2008-02-26",1.12
"290","2008-02-27",1.09
"291","2008-02-28",1.08
"292","2008-02-29",1.05
"293","2008-03-03",1.07
"294","2008-03-04",1.03
"295","2008-03-05",1.02
"296","2008-03-06",1.02
"297","2008-03-07",1.01
"298","2008-03-10",0.96
"299","2008-03-11",0.99
"300","2008-03-12",0.98
"301","2008-03-13",0.98
"302","2008-03-14",0.98
"303","2008-03-17",0.96
"304","2008-03-18",0.98
"305","2008-03-19",0.95
"306","2008-03-20",0.94
"307","2008-03-24",0.97
"308","2008-03-25",0.95
"309","2008-03-26",0.98
"310","2008-03-27",0.98
"311","2008-03-28",0.97
"312","2008-03-31",0.98
"313","2008-04-01",0.97
"314","2008-04-02",1.01
"315","2008-04-03",1.02
"316","2008-04-04",1.07
"317","2008-04-07",1.07
"318","2008-04-08",1.05
"319","2008-04-09",1.08
"320","2008-04-10",1.06
"321","2008-04-11",1.02
"322","2008-04-14",1.02
"323","2008-04-15",1.1
"324","2008-04-16",1.09
