"","date","AQST"
"1","2018-07-25",16.049999
"2","2018-07-26",15.85
"3","2018-07-27",15.18
"4","2018-07-30",15.06
"5","2018-07-31",15.04
"6","2018-08-01",15.1
"7","2018-08-02",15.02
"8","2018-08-03",15.01
"9","2018-08-06",15
"10","2018-08-07",15.01
"11","2018-08-08",15.06
"12","2018-08-09",15.06
"13","2018-08-10",15.68
"14","2018-08-13",16.17
"15","2018-08-14",16.530001
"16","2018-08-15",16.459999
"17","2018-08-16",16.1
"18","2018-08-17",16
"19","2018-08-20",15.96
"20","2018-08-21",15.84
"21","2018-08-22",15.97
"22","2018-08-23",15.93
"23","2018-08-24",15.73
"24","2018-08-27",15.51
"25","2018-08-28",16.02
"26","2018-08-29",16.9
"27","2018-08-30",17.18
"28","2018-08-31",18.01
"29","2018-09-04",17.889999
"30","2018-09-05",17.959999
"31","2018-09-06",18.879999
"32","2018-09-07",18.959999
"33","2018-09-10",18.67
"34","2018-09-11",18.280001
"35","2018-09-12",18.469999
"36","2018-09-13",18.309999
"37","2018-09-14",16.52
"38","2018-09-17",16.530001
"39","2018-09-18",16.07
"40","2018-09-19",16.379999
"41","2018-09-20",16.309999
"42","2018-09-21",16.33
"43","2018-09-24",17.16
"44","2018-09-25",17.5
"45","2018-09-26",17.190001
"46","2018-09-27",17.309999
"47","2018-09-28",17.51
"48","2018-10-01",17.309999
"49","2018-10-02",17.9
"50","2018-10-03",17.85
"51","2018-10-04",16.620001
"52","2018-10-05",16.139999
"53","2018-10-08",15.78
"54","2018-10-09",14.8
"55","2018-10-10",14.42
"56","2018-10-11",14.04
"57","2018-10-12",14.9
"58","2018-10-15",15.09
"59","2018-10-16",15.46
"60","2018-10-17",15.92
"61","2018-10-18",15.52
"62","2018-10-19",14.36
"63","2018-10-22",14.11
"64","2018-10-23",14.74
"65","2018-10-24",14.78
"66","2018-10-25",14.8
"67","2018-10-26",15.23
"68","2018-10-29",14.61
"69","2018-10-30",14.87
"70","2018-10-31",15.13
"71","2018-11-01",15.24
"72","2018-11-02",17.33
"73","2018-11-05",17.75
"74","2018-11-06",17.549999
"75","2018-11-07",17.91
"76","2018-11-08",18
"77","2018-11-09",17
"78","2018-11-12",16.629999
"79","2018-11-13",17.219999
"80","2018-11-14",16.879999
"81","2018-11-15",16.809999
"82","2018-11-16",16.860001
"83","2018-11-19",16.35
"84","2018-11-20",13.19
"85","2018-11-21",10.22
"86","2018-11-23",10.2
"87","2018-11-26",10.85
"88","2018-11-27",9.31
"89","2018-11-28",8.95
"90","2018-11-29",8.84
"91","2018-11-30",8.59
"92","2018-12-03",8.16
"93","2018-12-04",7.55
"94","2018-12-06",8.75
"95","2018-12-07",8.25
"96","2018-12-10",8.3
"97","2018-12-11",8.58
"98","2018-12-12",7.89
"99","2018-12-13",7.98
"100","2018-12-14",7.39
"101","2018-12-17",7.3
"102","2018-12-18",6.81
"103","2018-12-19",6.9
"104","2018-12-20",6.9
"105","2018-12-21",6.51
"106","2018-12-24",6.53
"107","2018-12-26",6.84
"108","2018-12-27",6.09
"109","2018-12-28",6.16
"110","2018-12-31",6.3
"111","2019-01-02",7.18
"112","2019-01-03",7.14
"113","2019-01-04",7.96
"114","2019-01-07",7.97
"115","2019-01-08",7.9
"116","2019-01-09",7.98
"117","2019-01-10",7.54
"118","2019-01-11",7.47
"119","2019-01-14",7.47
"120","2019-01-15",7.68
"121","2019-01-16",7.65
"122","2019-01-17",7.74
"123","2019-01-18",6.92
"124","2019-01-22",7.56
"125","2019-01-23",7.68
"126","2019-01-24",7.725
"127","2019-01-25",7.92
"128","2019-01-28",7.98
"129","2019-01-29",7.68
"130","2019-01-30",7.15
"131","2019-01-31",6.13
"132","2019-02-01",6.04
"133","2019-02-04",5.88
"134","2019-02-05",5.98
"135","2019-02-06",5.95
"136","2019-02-07",6.02
"137","2019-02-08",6.19
"138","2019-02-11",5.9
"139","2019-02-12",6.03
"140","2019-02-13",6.13
"141","2019-02-14",6.41
"142","2019-02-15",6.66
"143","2019-02-19",6.58
"144","2019-02-20",6.31
"145","2019-02-21",5.74
"146","2019-02-22",6.48
"147","2019-02-25",7.18
"148","2019-02-26",7.75
"149","2019-02-27",8.04
"150","2019-02-28",8.05
"151","2019-03-01",7.43
"152","2019-03-04",7.14
"153","2019-03-05",7.5
"154","2019-03-06",7.5
"155","2019-03-07",7.4
