"","date","CNFR"
"1","2015-08-13",10.6
"2","2015-08-14",10.5
"3","2015-08-17",10.5
"4","2015-08-18",10.5
"5","2015-08-19",10.47
"6","2015-08-20",10.4
"7","2015-08-21",10.42
"8","2015-08-24",10.24
"9","2015-08-25",10.35
"10","2015-08-26",10.45
"11","2015-08-27",10.252
"12","2015-08-28",10.395
"13","2015-08-31",9.95
"14","2015-09-01",9.95
"15","2015-09-02",10.12
"16","2015-09-03",10.24
"17","2015-09-04",10.11
"18","2015-09-08",10.01
"19","2015-09-09",9.87
"20","2015-09-10",9.809
"21","2015-09-11",9.98
"22","2015-09-14",10.36
"23","2015-09-15",10
"24","2015-09-16",9.84
"25","2015-09-17",10
"26","2015-09-18",10.03
"27","2015-09-21",9.76
"28","2015-09-22",9.75
"29","2015-09-23",9.81
"30","2015-09-24",9.812
"31","2015-09-25",9.91
"32","2015-09-28",10.11
"33","2015-09-29",9.83
"34","2015-09-30",9.75
"35","2015-10-01",9.66
"36","2015-10-02",9.27
"37","2015-10-05",9.95
"38","2015-10-06",9.9
"39","2015-10-07",9.78
"40","2015-10-08",9.75
"41","2015-10-09",9.8
"42","2015-10-12",9.34
"43","2015-10-13",9
"44","2015-10-14",8.97
"45","2015-10-15",9
"46","2015-10-16",9.14
"47","2015-10-19",9.34
"48","2015-10-20",9.4
"49","2015-10-21",9.45
"50","2015-10-22",9.7
"51","2015-10-23",9.7
"52","2015-10-26",9.66
"53","2015-10-27",9.39
"54","2015-10-28",9.625
"55","2015-10-29",9.6
"56","2015-10-30",9.56
"57","2015-11-02",9.56
"58","2015-11-03",9.54
"59","2015-11-04",9.35
"60","2015-11-05",9.1
"61","2015-11-06",9.38
"62","2015-11-09",9.21
"63","2015-11-10",9.59
"64","2015-11-11",9.35
"65","2015-11-12",9.25
"66","2015-11-13",9.195
"67","2015-11-16",9.19
"68","2015-11-17",9.245
"69","2015-11-18",9.13
"70","2015-11-19",9.14
"71","2015-11-20",9.1
"72","2015-11-23",9.1
"73","2015-11-24",9.275
"74","2015-11-25",9.78
"75","2015-11-27",10.09
"76","2015-11-30",9.79
"77","2015-12-01",9.68
"78","2015-12-02",9.43
"79","2015-12-03",9.42
"80","2015-12-04",9.78
"81","2015-12-07",9.94
"82","2015-12-08",9.67
"83","2015-12-09",9.57
"84","2015-12-10",9.83
"85","2015-12-11",9.48
"86","2015-12-14",9.81
"87","2015-12-15",9.82
"88","2015-12-16",9.635
"89","2015-12-17",9.77
"90","2015-12-18",9.25
"91","2015-12-21",8.94
"92","2015-12-22",9.45
"93","2015-12-23",9.47
"94","2015-12-24",9.13
