"","date","MFNC"
"1","2007-01-03",11.5
"2","2007-01-04",11.5
"3","2007-01-05",11.29
"4","2007-01-08",11
"5","2007-01-09",11
"6","2007-01-10",10.6
"7","2007-01-11",10.5
"8","2007-01-12",10.5
"9","2007-01-16",10.5
"10","2007-01-17",10.5
"11","2007-01-18",10.55
"12","2007-01-19",10.65
"13","2007-01-22",10.65
"14","2007-01-23",10.5
"15","2007-01-24",10.55
"16","2007-01-25",10.55
"17","2007-01-26",10.5
"18","2007-01-29",10.5
"19","2007-01-30",10.8
"20","2007-01-31",11.15
"21","2007-02-01",10.55
"22","2007-02-02",10.55
"23","2007-02-05",10.55
"24","2007-02-06",10.55
"25","2007-02-07",10.62
"26","2007-02-08",10.62
"27","2007-02-09",10.62
"28","2007-02-12",10.62
"29","2007-02-13",10.74
"30","2007-02-14",10.74
"31","2007-02-15",10.74
"32","2007-02-16",10.74
"33","2007-02-20",10.7
"34","2007-02-21",10.7
"35","2007-02-22",10.7
"36","2007-02-23",10.95
"37","2007-02-26",10.95
"38","2007-02-27",10.6
"39","2007-02-28",10.85
"40","2007-03-01",10.64
"41","2007-03-02",10.82
"42","2007-03-05",10.3
"43","2007-03-06",10.2
"44","2007-03-07",10.16
"45","2007-03-08",10.15
"46","2007-03-09",10.15
"47","2007-03-12",10.15
"48","2007-03-13",9.75
"49","2007-03-14",9.65
"50","2007-03-15",9.51
"51","2007-03-16",9.7
"52","2007-03-19",9.71
"53","2007-03-20",9.71
"54","2007-03-21",9.71
"55","2007-03-22",9.71
"56","2007-03-23",9.71
"57","2007-03-26",9.59
"58","2007-03-27",9.52
"59","2007-03-28",9.52
"60","2007-03-29",9.38
"61","2007-03-30",9.26
"62","2007-04-02",9.4
"63","2007-04-03",9.81
"64","2007-04-04",9.81
"65","2007-04-05",10.02
"66","2007-04-09",9.41
"67","2007-04-10",9.41
"68","2007-04-11",9.41
"69","2007-04-12",9.5
"70","2007-04-13",9.83
"71","2007-04-16",9.8
"72","2007-04-17",9.76
"73","2007-04-18",9.76
"74","2007-04-19",9.76
"75","2007-04-20",9.76
"76","2007-04-23",9.89
"77","2007-04-24",9.85
"78","2007-04-25",9.85
"79","2007-04-26",9.82
"80","2007-04-27",9.82
"81","2007-04-30",9.45
"82","2007-05-01",9.26
"83","2007-05-02",9.36
"84","2007-05-03",9.25
"85","2007-05-04",9.3
"86","2007-05-07",9.3
"87","2007-05-08",9.45
"88","2007-05-09",9.43
"89","2007-05-10",9.43
"90","2007-05-11",9.3
"91","2007-05-14",9.4
"92","2007-05-15",9.4
"93","2007-05-16",9.49
"94","2007-05-17",9.49
"95","2007-05-18",9.33
"96","2007-05-21",9.26
"97","2007-05-22",9.29
"98","2007-05-23",9.5
"99","2007-05-24",9.25
"100","2007-05-25",9.19
"101","2007-05-29",9.19
"102","2007-05-30",9.25
"103","2007-05-31",9.38
"104","2007-06-01",9.3
"105","2007-06-04",9.3
"106","2007-06-05",9.3
"107","2007-06-06",9.3
"108","2007-06-07",9.3
"109","2007-06-08",9.1
"110","2007-06-11",9.1
"111","2007-06-12",9.05
"112","2007-06-13",9.15
"113","2007-06-14",9.01
"114","2007-06-15",9.35
"115","2007-06-18",9.4
"116","2007-06-19",9.4
"117","2007-06-20",9.25
"118","2007-06-21",9.25
"119","2007-06-22",9.25
"120","2007-06-25",9.11
"121","2007-06-26",9.45
"122","2007-06-27",9.4
"123","2007-06-28",9.4
"124","2007-06-29",9.45
"125","2007-07-02",9.45
"126","2007-07-03",9.45
"127","2007-07-05",9.06
"128","2007-07-06",9
"129","2007-07-09",9.45
"130","2007-07-10",9.45
"131","2007-07-11",9.35
"132","2007-07-12",9.35
"133","2007-07-13",9.2
"134","2007-07-16",9.06
"135","2007-07-17",8.75
"136","2007-07-18",9.01
"137","2007-07-19",9.01
"138","2007-07-20",8.5
"139","2007-07-23",8.75
"140","2007-07-24",8.75
"141","2007-07-25",8.75
"142","2007-07-26",8.55
"143","2007-07-27",9.08
"144","2007-07-30",9.08
"145","2007-07-31",9.41
"146","2007-08-01",9.41
"147","2007-08-02",9.41
"148","2007-08-03",8.65
"149","2007-08-06",8.65
"150","2007-08-07",9.5
"151","2007-08-08",9.5
"152","2007-08-09",9.5
"153","2007-08-10",9.01
"154","2007-08-13",9.01
"155","2007-08-14",8.66
"156","2007-08-15",9
"157","2007-08-16",9.43
"158","2007-08-17",8.71
"159","2007-08-20",8.71
"160","2007-08-21",8.71
"161","2007-08-22",8.7
"162","2007-08-23",8.46
"163","2007-08-24",8.46
"164","2007-08-27",8.46
"165","2007-08-28",8.65
"166","2007-08-29",8
"167","2007-08-30",8.45
"168","2007-08-31",9.24
"169","2007-09-04",9.24
"170","2007-09-05",9.37
"171","2007-09-06",9.04
"172","2007-09-07",9.41
"173","2007-09-10",9.5
"174","2007-09-11",9.5
"175","2007-09-12",9.05
"176","2007-09-13",9.05
"177","2007-09-14",9.05
"178","2007-09-17",9.05
"179","2007-09-18",9.05
"180","2007-09-19",9.05
"181","2007-09-20",9
"182","2007-09-21",9
"183","2007-09-24",8.74
"184","2007-09-25",8.74
"185","2007-09-26",8.74
"186","2007-09-27",8.74
"187","2007-09-28",8.75
"188","2007-10-01",8.75
"189","2007-10-02",8.75
"190","2007-10-03",8.75
"191","2007-10-04",8.75
"192","2007-10-05",8.75
"193","2007-10-08",8.75
"194","2007-10-09",8.75
"195","2007-10-10",8.75
"196","2007-10-11",8.75
"197","2007-10-12",9.49
"198","2007-10-15",9.17
"199","2007-10-16",9.17
"200","2007-10-17",9
"201","2007-10-18",9
"202","2007-10-19",9
"203","2007-10-22",9
"204","2007-10-23",8.76
"205","2007-10-24",9.25
"206","2007-10-25",9.26
"207","2007-10-26",9.25
"208","2007-10-29",8.8
"209","2007-10-30",8.96
"210","2007-10-31",9.03
"211","2007-11-01",9.03
"212","2007-11-02",9.03
"213","2007-11-05",9.03
"214","2007-11-06",9.03
"215","2007-11-07",9.03
"216","2007-11-08",9.7
"217","2007-11-09",9.7
"218","2007-11-12",9.7
"219","2007-11-13",9.25
"220","2007-11-14",9.25
"221","2007-11-15",9.25
"222","2007-11-16",9.25
"223","2007-11-19",9.25
"224","2007-11-20",9.5
"225","2007-11-21",8.92
"226","2007-11-23",9
"227","2007-11-26",9
"228","2007-11-27",8.75
"229","2007-11-28",8.75
"230","2007-11-29",8.75
"231","2007-11-30",9
"232","2007-12-03",8.63
"233","2007-12-04",8.89
"234","2007-12-05",9.13
"235","2007-12-06",8.31
"236","2007-12-07",8.41
"237","2007-12-10",8.27
"238","2007-12-11",8.42
"239","2007-12-12",8.96
