"","date","ALACU"
"1","2018-10-24",10
"2","2018-10-25",10.05
"3","2018-10-26",10.04
"4","2018-10-29",10.04
"5","2018-10-30",10.04
"6","2018-10-31",10.04
"7","2018-11-01",10.1
"8","2018-11-02",10.09
"9","2018-11-05",10.06
"10","2018-11-06",10.07
"11","2018-11-07",10.09
"12","2018-11-08",10.09
"13","2018-11-09",10.09
"14","2018-11-12",10.08
"15","2018-11-13",10.06
"16","2018-11-14",10.06
"17","2018-11-15",10.08
"18","2018-11-16",10.08
"19","2018-11-19",10.08
"20","2018-11-20",10.07
"21","2018-11-21",10.07
"22","2018-11-23",10.05
"23","2018-11-26",10.05
"24","2018-11-27",10
"25","2018-11-28",10.03
"26","2018-11-29",10
"27","2018-11-30",10.05
"28","2018-12-03",10.04
"29","2018-12-04",10.03
"30","2018-12-06",10.03
"31","2018-12-07",10.03
"32","2018-12-10",10.03
"33","2018-12-11",10.03
"34","2018-12-12",10.03
"35","2018-12-13",10.03
"36","2018-12-14",10.03
"37","2018-12-17",10.03
"38","2018-12-18",10.03
"39","2018-12-19",10.02
"40","2018-12-20",10.09
"41","2018-12-21",10.09
"42","2018-12-24",10.09
"43","2018-12-26",10.09
"44","2018-12-27",10.09
"45","2018-12-28",10.09
"46","2018-12-31",10.09
"47","2019-01-02",10.09
"48","2019-01-03",10.09
"49","2019-01-04",10.09
"50","2019-01-07",10.09
"51","2019-01-08",10.09
"52","2019-01-09",10.08
"53","2019-01-10",10.12
"54","2019-01-11",10.12
"55","2019-01-14",10.12
"56","2019-01-15",10.12
"57","2019-01-16",10.13
"58","2019-01-17",10.15
"59","2019-01-18",10.15
"60","2019-01-22",10.15
"61","2019-01-23",10.15
"62","2019-01-24",10.15
"63","2019-01-25",10.14
"64","2019-01-28",10.15
"65","2019-01-29",10.15
"66","2019-01-30",10.13
"67","2019-01-31",10.13
"68","2019-02-01",10.15
"69","2019-02-04",10.15
"70","2019-02-05",10.15
"71","2019-02-06",10.15
"72","2019-02-07",10.15
"73","2019-02-08",10.15
"74","2019-02-11",10.16
"75","2019-02-12",10.16
"76","2019-02-13",10.18
"77","2019-02-14",10.19
"78","2019-02-15",10.19
"79","2019-02-19",10.19
"80","2019-02-20",10.19
"81","2019-02-21",10.19
"82","2019-02-22",10.19
"83","2019-02-25",10.19
"84","2019-02-26",10.19
"85","2019-02-27",10.19
"86","2019-02-28",10.19
"87","2019-03-01",10.12
"88","2019-03-04",10.12
"89","2019-03-05",10.12
"90","2019-03-06",10.12
"91","2019-03-07",10.12
"92","2019-03-08",10.14
"93","2019-03-11",10.17
"94","2019-03-12",10.17
"95","2019-03-13",10.17
"96","2019-03-14",10.17
"97","2019-03-15",10.17
"98","2019-03-18",10.17
"99","2019-03-19",10.17
"100","2019-03-20",10.17
"101","2019-03-21",10.17
"102","2019-03-22",10.17
"103","2019-03-25",10.17
"104","2019-03-26",10.17
"105","2019-03-27",10.17
"106","2019-03-28",10.17
"107","2019-03-29",10.17
"108","2019-04-01",10.17
"109","2019-04-02",10.17
"110","2019-04-03",10.17
"111","2019-04-04",10.17
"112","2019-04-05",10.17
"113","2019-04-08",10.17
"114","2019-04-09",10.17
"115","2019-04-10",10.17
"116","2019-04-11",10.23
"117","2019-04-12",10.23
"118","2019-04-15",10.23
"119","2019-04-16",10.23
"120","2019-04-17",10.23
"121","2019-04-18",10.23
"122","2019-04-22",10.27
"123","2019-04-23",10.27
"124","2019-04-24",10.29
"125","2019-04-25",10.28
"126","2019-04-26",10.28
"127","2019-04-29",10.26
"128","2019-04-30",10.25
"129","2019-05-01",10.23
"130","2019-05-02",10.25
"131","2019-05-03",10.26
"132","2019-05-06",10.26
"133","2019-05-07",10.26
"134","2019-05-08",10.26
"135","2019-05-09",10.26
"136","2019-05-10",10.26
"137","2019-05-13",10.26
"138","2019-05-14",10.26
"139","2019-05-15",10.26
"140","2019-05-16",10.26
"141","2019-05-17",10.26
"142","2019-05-20",10.26
"143","2019-05-21",10.26
"144","2019-05-22",10.26
"145","2019-05-23",10.28
"146","2019-05-24",10.28
"147","2019-05-28",10.25
"148","2019-05-29",10.27
"149","2019-05-30",10.27
"150","2019-05-31",10.27
"151","2019-06-03",10.27
"152","2019-06-04",10.26
"153","2019-06-05",10.26
"154","2019-06-06",10.27
"155","2019-06-07",10.27
"156","2019-06-10",10.27
"157","2019-06-11",10.27
"158","2019-06-12",10.27
"159","2019-06-13",10.3
"160","2019-06-14",10.3
"161","2019-06-17",10.3
"162","2019-06-18",10.3
"163","2019-06-19",10.3
"164","2019-06-20",10.3
"165","2019-06-21",10.35
"166","2019-06-24",10.44
"167","2019-06-25",10.44
"168","2019-06-26",10.45
"169","2019-06-27",10.45
"170","2019-06-28",10.46
"171","2019-07-01",10.46
"172","2019-07-02",10.46
"173","2019-07-03",10.46
"174","2019-07-05",10.46
"175","2019-07-08",10.46
"176","2019-07-09",10.46
"177","2019-07-10",10.46
"178","2019-07-11",10.46
"179","2019-07-12",10.46
"180","2019-07-15",10.45
"181","2019-07-16",10.45
"182","2019-07-17",10.45
"183","2019-07-18",10.45
"184","2019-07-19",10.45
"185","2019-07-22",10.45
"186","2019-07-23",10.45
"187","2019-07-24",10.45
"188","2019-07-25",10.5
"189","2019-07-26",10.5
"190","2019-07-29",10.46
"191","2019-07-30",10.46
"192","2019-07-31",10.43
"193","2019-08-01",10.43
"194","2019-08-02",10.43
"195","2019-08-05",10.43
"196","2019-08-06",10.41
"197","2019-08-07",10.41
"198","2019-08-08",10.5
"199","2019-08-09",10.49
"200","2019-08-12",10.51
"201","2019-08-13",10.51
"202","2019-08-14",10.45
"203","2019-08-15",10.45
"204","2019-08-16",10.51
"205","2019-08-19",10.51
"206","2019-08-20",10.51
"207","2019-08-21",10.51
"208","2019-08-22",10.51
"209","2019-08-23",10.51
"210","2019-08-26",10.51
"211","2019-08-27",10.51
"212","2019-08-28",10.51
"213","2019-08-29",10.51
"214","2019-08-30",10.51
"215","2019-09-03",10.51
"216","2019-09-04",10.51
"217","2019-09-05",10.51
"218","2019-09-06",10.51
"219","2019-09-09",10.51
"220","2019-09-10",10.51
"221","2019-09-11",10.51
"222","2019-09-12",10.51
"223","2019-09-13",10.51
"224","2019-09-16",10.51
"225","2019-09-17",10.51
"226","2019-09-18",10.51
"227","2019-09-19",10.51
"228","2019-09-20",10.51
"229","2019-09-23",10.51
"230","2019-09-24",10.51
"231","2019-09-25",10.55
"232","2019-09-26",10.55
"233","2019-09-27",10.55
"234","2019-09-30",10.55
"235","2019-10-01",10.55
"236","2019-10-02",10.55
"237","2019-10-03",10.55
"238","2019-10-04",10.55
"239","2019-10-07",10.55
"240","2019-10-08",10.55
"241","2019-10-09",10.55
"242","2019-10-10",10.6
"243","2019-10-11",10.55
"244","2019-10-14",10.55
"245","2019-10-15",10.55
"246","2019-10-16",10.55
"247","2019-10-17",10.49
"248","2019-10-18",10.49
"249","2019-10-21",10.49
"250","2019-10-22",10.49
"251","2019-10-23",10.49
"252","2019-10-24",10.49
"253","2019-10-25",10.49
"254","2019-10-28",10.55
"255","2019-10-29",10.55
"256","2019-10-30",10.57
"257","2019-10-31",10.57
"258","2019-11-01",10.57
"259","2019-11-04",10.55
"260","2019-11-05",10.55
"261","2019-11-06",10.55
"262","2019-11-07",10.55
"263","2019-11-08",10.55
"264","2019-11-11",10.55
"265","2019-11-12",10.55
"266","2019-11-13",10.55
"267","2019-11-14",10.55
"268","2019-11-15",10.55
"269","2019-11-18",10.55
"270","2019-11-19",10.55
"271","2019-11-20",10.55
"272","2019-11-21",10.54
"273","2019-11-22",10.54
"274","2019-11-25",10.54
"275","2019-11-26",10.54
"276","2019-11-27",10.54
"277","2019-11-29",10.57
"278","2019-12-02",10.57
"279","2019-12-03",10.57
"280","2019-12-04",10.57
