"","date","ATAX"
"1","2007-01-03",7.8
"2","2007-01-04",7.99
"3","2007-01-05",8.04
"4","2007-01-08",8.1
"5","2007-01-09",8.17
"6","2007-01-10",8.2
"7","2007-01-11",8.01
"8","2007-01-12",8.1
"9","2007-01-16",8.1
"10","2007-01-17",8.01
"11","2007-01-18",8.01
"12","2007-01-19",8.1
"13","2007-01-22",8.24
"14","2007-01-23",8.24
"15","2007-01-24",8.06
"16","2007-01-25",8.06
"17","2007-01-26",8.1
"18","2007-01-29",8.1
"19","2007-01-30",8.21
"20","2007-01-31",8.17
"21","2007-02-01",8.5
"22","2007-02-02",8.21
"23","2007-02-05",8.16
"24","2007-02-06",8.24
"25","2007-02-07",8.22
"26","2007-02-08",8.21
"27","2007-02-09",8.29
"28","2007-02-12",8.29
"29","2007-02-13",8.18
"30","2007-02-14",8.05
"31","2007-02-15",8.05
"32","2007-02-16",8.06
"33","2007-02-20",8.07
"34","2007-02-21",8.08
"35","2007-02-22",8
"36","2007-02-23",8.05
"37","2007-02-26",8.05
"38","2007-02-27",8.05
"39","2007-02-28",8.07
"40","2007-03-01",8.11
"41","2007-03-02",8.01
"42","2007-03-05",8.04
"43","2007-03-06",8.1
"44","2007-03-07",8.1
"45","2007-03-08",8.32
"46","2007-03-09",8.2
"47","2007-03-12",8.1
"48","2007-03-13",8.04
"49","2007-03-14",8.01
"50","2007-03-15",8.01
"51","2007-03-16",8
"52","2007-03-19",8
"53","2007-03-20",8.1
"54","2007-03-21",8.36
"55","2007-03-22",8.22
"56","2007-03-23",8.21
"57","2007-03-26",8.06
"58","2007-03-27",8.47
"59","2007-03-28",8.02
"60","2007-03-29",8.11
"61","2007-03-30",8.08
"62","2007-04-02",8.06
"63","2007-04-03",8.06
"64","2007-04-04",7.75
"65","2007-04-05",7.92
"66","2007-04-09",7.82
"67","2007-04-10",8.01
"68","2007-04-11",8.01
"69","2007-04-12",8.34
"70","2007-04-13",8.15
"71","2007-04-16",8.03
"72","2007-04-17",8.05
"73","2007-04-18",8.06
"74","2007-04-19",8.06
"75","2007-04-20",8.25
"76","2007-04-23",8.06
"77","2007-04-24",8.06
"78","2007-04-25",8.06
"79","2007-04-26",8.14
"80","2007-04-27",8.13
"81","2007-04-30",8.21
"82","2007-05-01",8.25
"83","2007-05-02",8.2
"84","2007-05-03",8.23
"85","2007-05-04",8.25
"86","2007-05-07",8.06
"87","2007-05-08",8.19
"88","2007-05-09",8.1
"89","2007-05-10",8.11
"90","2007-05-11",8.25
"91","2007-05-14",8.25
"92","2007-05-15",8.25
"93","2007-05-16",8.25
"94","2007-05-17",8.17
"95","2007-05-18",8.2
"96","2007-05-21",8.15
"97","2007-05-22",8.11
"98","2007-05-23",8.36
"99","2007-05-24",8.16
"100","2007-05-25",8.18
"101","2007-05-29",8.17
"102","2007-05-30",8.24
"103","2007-05-31",8.21
"104","2007-06-01",8.26
"105","2007-06-04",8.2
"106","2007-06-05",8.21
"107","2007-06-06",8.2
"108","2007-06-07",8.18
"109","2007-06-08",8.19
"110","2007-06-11",8.25
"111","2007-06-12",8.14
"112","2007-06-13",8.14
"113","2007-06-14",8.14
"114","2007-06-15",8.08
"115","2007-06-18",8.24
"116","2007-06-19",8.26
"117","2007-06-20",8.26
"118","2007-06-21",8.25
"119","2007-06-22",8.23
"120","2007-06-25",8.14
"121","2007-06-26",8.24
"122","2007-06-27",8.31
"123","2007-06-28",8.27
"124","2007-06-29",8.02
"125","2007-07-02",8.06
"126","2007-07-03",8.04
"127","2007-07-05",8.11
"128","2007-07-06",8.16
"129","2007-07-09",8.09
"130","2007-07-10",8.04
"131","2007-07-11",8
"132","2007-07-12",8.05
"133","2007-07-13",7.99
"134","2007-07-16",8
"135","2007-07-17",7.98
"136","2007-07-18",7.86
"137","2007-07-19",7.85
"138","2007-07-20",7.9
"139","2007-07-23",8
"140","2007-07-24",7.9
"141","2007-07-25",7.99
"142","2007-07-26",7.77
"143","2007-07-27",7.76
"144","2007-07-30",7.5
"145","2007-07-31",7.72
"146","2007-08-01",7.67
"147","2007-08-02",7.69
"148","2007-08-03",7.45
"149","2007-08-06",7.36
"150","2007-08-07",7.38
"151","2007-08-08",7.35
"152","2007-08-09",7.3
"153","2007-08-10",7.33
"154","2007-08-13",7.34
"155","2007-08-14",7.27
"156","2007-08-15",7.7
"157","2007-08-16",7.16
"158","2007-08-17",7.56
"159","2007-08-20",7.15
"160","2007-08-21",7.28
"161","2007-08-22",7
"162","2007-08-23",7.19
"163","2007-08-24",7.27
"164","2007-08-27",7.81
"165","2007-08-28",7.28
"166","2007-08-29",7.42
"167","2007-08-30",7.36
"168","2007-08-31",7.88
"169","2007-09-04",7.7
"170","2007-09-05",7.81
"171","2007-09-06",7.57
"172","2007-09-07",7.74
"173","2007-09-10",7.57
"174","2007-09-11",7.51
"175","2007-09-12",7.55
"176","2007-09-13",7.75
"177","2007-09-14",7.5
"178","2007-09-17",7.59
"179","2007-09-18",7.93
"180","2007-09-19",7.8
"181","2007-09-20",7.8
"182","2007-09-21",7.81
"183","2007-09-24",7.8
"184","2007-09-25",7.8
"185","2007-09-26",7.8
"186","2007-09-27",7.8
"187","2007-09-28",7.88
