"","date","PFIS"
"1","2007-01-03",26
"2","2007-01-04",25.75
"3","2007-01-05",25.75
"4","2007-01-08",25.75
"5","2007-01-09",25.75
"6","2007-01-10",25.75
"7","2007-01-11",25.75
"8","2007-01-12",25.75
"9","2007-01-16",25.700001
"10","2007-01-17",25.25
"11","2007-01-18",25.5
"12","2007-01-19",25.5
"13","2007-01-22",25.5
"14","2007-01-23",25.5
"15","2007-01-24",25.5
"16","2007-01-25",25.5
"17","2007-01-26",25.5
"18","2007-01-29",25.35
"19","2007-01-30",25.35
"20","2007-01-31",25.4
"21","2007-02-01",27.75
"22","2007-02-02",27.5
"23","2007-02-05",27.1
"24","2007-02-06",28
"25","2007-02-07",28.5
"26","2007-02-08",28.5
"27","2007-02-09",28.5
"28","2007-02-12",28.549999
"29","2007-02-13",28.75
"30","2007-02-14",29
"31","2007-02-15",28.5
"32","2007-02-16",28.950001
"33","2007-02-20",28.25
"34","2007-02-21",29
"35","2007-02-22",29
"36","2007-02-23",29
"37","2007-02-26",28
"38","2007-02-27",29
"39","2007-02-28",29
"40","2007-03-01",29
"41","2007-03-02",29
"42","2007-03-05",28.01
"43","2007-03-06",28.01
"44","2007-03-07",28.01
"45","2007-03-08",28.01
"46","2007-03-09",28.01
"47","2007-03-12",27
"48","2007-03-13",27
"49","2007-03-14",26.049999
"50","2007-03-15",26.99
"51","2007-03-16",27.5
"52","2007-03-19",27
"53","2007-03-20",28.5
"54","2007-03-21",28.5
"55","2007-03-22",28
"56","2007-03-23",28
"57","2007-03-26",28
"58","2007-03-27",28.5
"59","2007-03-28",28.5
"60","2007-03-29",28
"61","2007-03-30",28
"62","2007-04-02",28
"63","2007-04-03",28
"64","2007-04-04",27.5
"65","2007-04-05",27
"66","2007-04-09",27
"67","2007-04-10",27
"68","2007-04-11",27
"69","2007-04-12",27
"70","2007-04-13",27
"71","2007-04-16",27.75
"72","2007-04-17",27.75
"73","2007-04-18",27.75
"74","2007-04-19",26.65
"75","2007-04-20",26.65
"76","2007-04-23",26.559999
"77","2007-04-24",27.9
"78","2007-04-25",27.9
"79","2007-04-26",27.9
"80","2007-04-27",27.950001
"81","2007-04-30",28.950001
"82","2007-05-01",27.1
"83","2007-05-02",27.1
"84","2007-05-03",27.1
"85","2007-05-04",28.75
"86","2007-05-07",27.110001
"87","2007-05-08",27.110001
"88","2007-05-09",28
"89","2007-05-10",28
"90","2007-05-11",27.99
"91","2007-05-14",28.5
"92","2007-05-15",29.25
"93","2007-05-16",29.25
"94","2007-05-17",29.25
"95","2007-05-18",29.25
"96","2007-05-21",29.25
"97","2007-05-22",29.25
"98","2007-05-23",30.5
"99","2007-05-24",30.299999
"100","2007-05-25",30.299999
"101","2007-05-29",31.5
"102","2007-05-30",31.5
"103","2007-05-31",31
"104","2007-06-01",30.559999
"105","2007-06-04",30.559999
"106","2007-06-05",30
"107","2007-06-06",30
"108","2007-06-07",31.4
"109","2007-06-08",31.4
"110","2007-06-11",31.4
"111","2007-06-12",31.4
"112","2007-06-13",30.99
"113","2007-06-14",30
"114","2007-06-15",30
"115","2007-06-18",30
"116","2007-06-19",28.15
"117","2007-06-20",28.15
"118","2007-06-21",29
"119","2007-06-22",29
"120","2007-06-25",29
"121","2007-06-26",29
"122","2007-06-27",29
"123","2007-06-28",29
"124","2007-06-29",30.889999
"125","2007-07-02",28.15
"126","2007-07-03",27.6
"127","2007-07-05",27.6
"128","2007-07-06",27.6
