"","date","ALEC"
"1","2019-02-07",18.08
"2","2019-02-08",16.299999
"3","2019-02-11",17.18
"4","2019-02-12",17.5
"5","2019-02-13",18.25
"6","2019-02-14",18.799999
"7","2019-02-15",19.780001
"8","2019-02-19",20.73
"9","2019-02-20",20.92
"10","2019-02-21",21.41
"11","2019-02-22",22.5
"12","2019-02-25",21.530001
"13","2019-02-26",20.620001
"14","2019-02-27",19.92
"15","2019-02-28",19.59
"16","2019-03-01",21
"17","2019-03-04",20.860001
"18","2019-03-05",21.02
"19","2019-03-06",19.5
"20","2019-03-07",17.700001
"21","2019-03-08",16.610001
"22","2019-03-11",15.97
"23","2019-03-12",16.620001
"24","2019-03-13",16.4
"25","2019-03-14",17.35
"26","2019-03-15",18.049999
"27","2019-03-18",18.809999
"28","2019-03-19",19.26
"29","2019-03-20",18.9
"30","2019-03-21",18.52
"31","2019-03-22",18.049999
"32","2019-03-25",19.389999
"33","2019-03-26",19.360001
"34","2019-03-27",17.73
"35","2019-03-28",18.040001
"36","2019-03-29",18.719999
"37","2019-04-01",19.809999
"38","2019-04-02",21.280001
"39","2019-04-03",22.299999
"40","2019-04-04",23.4
"41","2019-04-05",24.059999
"42","2019-04-08",25.77
"43","2019-04-09",23.48
"44","2019-04-10",24.18
"45","2019-04-11",24.4
"46","2019-04-12",26.42
"47","2019-04-15",24.690001
"48","2019-04-16",24.9
"49","2019-04-17",21.530001
"50","2019-04-18",22.469999
"51","2019-04-22",21.4
"52","2019-04-23",21.219999
"53","2019-04-24",21.59
"54","2019-04-25",21.48
"55","2019-04-26",21.360001
"56","2019-04-29",20.700001
"57","2019-04-30",19.860001
"58","2019-05-01",19.719999
"59","2019-05-02",20.5
"60","2019-05-03",19.889999
"61","2019-05-06",20.26
"62","2019-05-07",18.74
"63","2019-05-08",20.35
"64","2019-05-09",19.91
"65","2019-05-10",20.049999
"66","2019-05-13",19.82
"67","2019-05-14",21.040001
"68","2019-05-15",21.83
"69","2019-05-16",20.969999
"70","2019-05-17",20.309999
"71","2019-05-20",19.610001
"72","2019-05-21",19.74
"73","2019-05-22",19.530001
"74","2019-05-23",18.98
"75","2019-05-24",19.5
"76","2019-05-28",18.84
"77","2019-05-29",17.870001
"78","2019-05-30",17.35
"79","2019-05-31",16.91
"80","2019-06-03",16.26
"81","2019-06-04",16.98
"82","2019-06-05",16.809999
