"","date","SHYF"
"1","2007-01-03",10.24
"2","2007-01-04",10.16
"3","2007-01-05",9.68
"4","2007-01-08",9.706667
"5","2007-01-09",9.72
"6","2007-01-10",9.846666
"7","2007-01-11",10.08
"8","2007-01-12",10.246667
"9","2007-01-16",10.353333
"10","2007-01-17",10.14
"11","2007-01-18",9.933333
"12","2007-01-19",9.84
"13","2007-01-22",9.906667
"14","2007-01-23",10.42
"15","2007-01-24",10.566667
"16","2007-01-25",10.326667
"17","2007-01-26",10.246667
"18","2007-01-29",10.766666
"19","2007-01-30",10.906667
"20","2007-01-31",11.16
"21","2007-02-01",11.533334
"22","2007-02-02",11.413333
"23","2007-02-05",11.093333
"24","2007-02-06",11.126667
"25","2007-02-07",11.46
"26","2007-02-08",11.266666
"27","2007-02-09",11.373333
"28","2007-02-12",10.986667
"29","2007-02-13",10.9
"30","2007-02-14",11.26
"31","2007-02-15",15.286667
"32","2007-02-16",15.313334
"33","2007-02-20",16.106667
"34","2007-02-21",15.953333
"35","2007-02-22",15.953333
"36","2007-02-23",15.2
"37","2007-02-26",15.106667
"38","2007-02-27",14.6
"39","2007-02-28",14.78
"40","2007-03-01",14.366667
"41","2007-03-02",14.573334
"42","2007-03-05",13.386666
"43","2007-03-06",14.246667
"44","2007-03-07",15.133333
"45","2007-03-08",15.64
"46","2007-03-09",15.473333
"47","2007-03-12",15.84
"48","2007-03-13",14.966666
"49","2007-03-14",14.64
"50","2007-03-15",15.073334
"51","2007-03-16",14.866667
"52","2007-03-19",15.56
"53","2007-03-20",15.7
"54","2007-03-21",15.666667
"55","2007-03-22",15.546667
"56","2007-03-23",15.613334
"57","2007-03-26",16.906666
"58","2007-03-27",16.106667
"59","2007-03-28",15.54
"60","2007-03-29",15.7
"61","2007-03-30",15.473333
"62","2007-04-02",15.84
"63","2007-04-03",16.326666
"64","2007-04-04",16.286667
"65","2007-04-05",17
"66","2007-04-09",17.1
"67","2007-04-10",17.193333
"68","2007-04-11",17.026667
"69","2007-04-12",17.386667
"70","2007-04-13",17.266666
"71","2007-04-16",17.933332
"72","2007-04-17",17.700001
"73","2007-04-18",17.58
"74","2007-04-19",16.92
"75","2007-04-20",17.453333
"76","2007-04-23",17.593334
"77","2007-04-24",19.333334
"78","2007-04-25",19.5
"79","2007-04-26",19.639999
"80","2007-04-27",19.506666
"81","2007-04-30",18.986666
"82","2007-05-01",18.346666
"83","2007-05-02",19.32
"84","2007-05-03",19.280001
"85","2007-05-04",19.173334
"86","2007-05-07",18.986666
"87","2007-05-08",18.833334
"88","2007-05-09",19.006666
"89","2007-05-10",20.766666
"90","2007-05-11",21.32
"91","2007-05-14",22.006666
"92","2007-05-15",21.4
"93","2007-05-16",21.506666
"94","2007-05-17",21.333334
"95","2007-05-18",21.573334
"96","2007-05-21",22.913334
"97","2007-05-22",22.459999
"98","2007-05-23",22.84
"99","2007-05-24",23.073334
"100","2007-05-25",23.133333
"101","2007-05-29",23.120001
"102","2007-05-30",23.24
"103","2007-05-31",23.373333
"104","2007-06-01",23.780001
"105","2007-06-04",23.02
"106","2007-06-05",24.693333
"107","2007-06-06",24.546667
"108","2007-06-07",22.219999
"109","2007-06-08",23.48
"110","2007-06-11",23.453333
"111","2007-06-12",22.666666
"112","2007-06-13",22.92
"113","2007-06-14",23.360001
"114","2007-06-15",23.506666
"115","2007-06-18",23.533333
"116","2007-06-19",23.333334
"117","2007-06-20",22.526667
"118","2007-06-21",21.253334
"119","2007-06-22",19.559999
"120","2007-06-25",18.780001
"121","2007-06-26",18.153334
"122","2007-06-27",18.393333
"123","2007-06-28",18.586666
"124","2007-06-29",17.02
"125","2007-07-02",18
"126","2007-07-03",18.18
"127","2007-07-05",18.25
"128","2007-07-06",17.92
"129","2007-07-09",17.709999
"130","2007-07-10",17.08
"131","2007-07-11",17.08
"132","2007-07-12",17.370001
"133","2007-07-13",17.16
"134","2007-07-16",16.4
"135","2007-07-17",16
"136","2007-07-18",16.24
"137","2007-07-19",16.51
"138","2007-07-20",16
"139","2007-07-23",15.47
"140","2007-07-24",14.89
"141","2007-07-25",14.21
"142","2007-07-26",13.15
"143","2007-07-27",12.61
"144","2007-07-30",12.21
"145","2007-07-31",12.21
"146","2007-08-01",12.2
"147","2007-08-02",12.13
"148","2007-08-03",12.55
"149","2007-08-06",12.13
"150","2007-08-07",12.52
"151","2007-08-08",14.56
"152","2007-08-09",14.99
"153","2007-08-10",14.62
"154","2007-08-13",13.4
"155","2007-08-14",12.94
"156","2007-08-15",12.59
"157","2007-08-16",14.73
"158","2007-08-17",15.31
"159","2007-08-20",14.8
"160","2007-08-21",15.58
"161","2007-08-22",15.18
