"","date","COR"
"1","2010-09-23",16.01
"2","2010-09-24",16.25
"3","2010-09-27",16
"4","2010-09-28",15.98
"5","2010-09-29",16.42
"6","2010-09-30",16.389999
"7","2010-10-01",16.280001
"8","2010-10-04",16.07
"9","2010-10-05",16.02
"10","2010-10-06",15.3
"11","2010-10-07",15.58
"12","2010-10-08",15.69
"13","2010-10-11",15.64
"14","2010-10-12",15.6
"15","2010-10-13",15.55
"16","2010-10-14",15.35
"17","2010-10-15",15.47
"18","2010-10-18",15.4
"19","2010-10-19",15.29
"20","2010-10-20",15.18
"21","2010-10-21",15.13
"22","2010-10-22",15.05
"23","2010-10-25",15
"24","2010-10-26",14.89
"25","2010-10-27",14.65
"26","2010-10-28",14.79
"27","2010-10-29",15.06
"28","2010-11-01",15.02
"29","2010-11-02",15.3
"30","2010-11-03",15.21
"31","2010-11-04",14.68
"32","2010-11-05",14.54
"33","2010-11-08",14.09
"34","2010-11-09",14
"35","2010-11-10",13.96
"36","2010-11-11",13.8
"37","2010-11-12",13.05
"38","2010-11-15",13.14
"39","2010-11-16",13.08
"40","2010-11-17",13.25
"41","2010-11-18",13.26
"42","2010-11-19",13.19
"43","2010-11-22",13.16
"44","2010-11-23",13
"45","2010-11-24",12.97
"46","2010-11-26",12.96
"47","2010-11-29",12.87
"48","2010-11-30",12.88
"49","2010-12-01",13
"50","2010-12-02",13.16
"51","2010-12-03",13.38
"52","2010-12-06",13.56
"53","2010-12-07",13.38
"54","2010-12-08",12.99
"55","2010-12-09",13.01
"56","2010-12-10",13.12
"57","2010-12-13",13.36
"58","2010-12-14",13.05
"59","2010-12-15",12.98
"60","2010-12-16",13.01
"61","2010-12-17",12.58
"62","2010-12-20",13
"63","2010-12-21",13.6
"64","2010-12-22",13.78
"65","2010-12-23",13.57
"66","2010-12-27",13.7
"67","2010-12-28",13.75
"68","2010-12-29",13.62
"69","2010-12-30",13.61
"70","2010-12-31",13.64
"71","2011-01-03",14.03
"72","2011-01-04",13.35
"73","2011-01-05",13.62
"74","2011-01-06",13.58
"75","2011-01-07",13.81
"76","2011-01-10",13.95
"77","2011-01-11",14.2
"78","2011-01-12",14.12
"79","2011-01-13",14.32
"80","2011-01-14",14.03
"81","2011-01-18",14.63
"82","2011-01-19",14.48
"83","2011-01-20",14.32
"84","2011-01-21",14.27
"85","2011-01-24",14.37
"86","2011-01-25",14.39
"87","2011-01-26",14.56
"88","2011-01-27",14.62
"89","2011-01-28",14.35
"90","2011-01-31",14.37
"91","2011-02-01",14.32
"92","2011-02-02",14.28
"93","2011-02-03",14.35
"94","2011-02-04",14.35
"95","2011-02-07",14.59
"96","2011-02-08",14.75
"97","2011-02-09",14.84
"98","2011-02-10",14.77
"99","2011-02-11",14.92
"100","2011-02-14",14.82
"101","2011-02-15",14.7
"102","2011-02-16",14.73
"103","2011-02-17",14.81
"104","2011-02-18",15.11
"105","2011-02-22",14.97
"106","2011-02-23",14.92
"107","2011-02-24",14.98
"108","2011-02-25",15.49
"109","2011-02-28",15.54
"110","2011-03-01",15.31
"111","2011-03-02",15.05
"112","2011-03-03",15.35
"113","2011-03-04",15.32
"114","2011-03-07",15.19
"115","2011-03-08",15.45
"116","2011-03-09",15.29
"117","2011-03-10",14.9
"118","2011-03-11",15.23
"119","2011-03-14",15.02
"120","2011-03-15",14.81
"121","2011-03-16",14.77
"122","2011-03-17",14.91
"123","2011-03-18",15.48
"124","2011-03-21",16.040001
"125","2011-03-22",15.91
"126","2011-03-23",15.77
"127","2011-03-24",15.77
"128","2011-03-25",15.72
"129","2011-03-28",15.88
"130","2011-03-29",15.64
"131","2011-03-30",15.77
"132","2011-03-31",15.84
"133","2011-04-01",15.88
"134","2011-04-04",15.93
"135","2011-04-05",15.88
"136","2011-04-06",16
"137","2011-04-07",16.040001
"138","2011-04-08",15.85
"139","2011-04-11",15.5
"140","2011-04-12",15.15
"141","2011-04-13",15.24
"142","2011-04-14",15.45
"143","2011-04-15",15.56
"144","2011-04-18",15.09
"145","2011-04-19",15.33
"146","2011-04-20",15.25
"147","2011-04-21",15.46
"148","2011-04-25",15.29
"149","2011-04-26",15.33
"150","2011-04-27",15.39
"151","2011-04-28",15.71
"152","2011-04-29",15.79
"153","2011-05-02",15.82
"154","2011-05-03",16.049999
"155","2011-05-04",15.56
"156","2011-05-05",15.4
"157","2011-05-06",15.6
"158","2011-05-09",15.82
"159","2011-05-10",16.25
"160","2011-05-11",16.190001
"161","2011-05-12",16.549999
"162","2011-05-13",16.6
"163","2011-05-16",16.27
"164","2011-05-17",16.709999
"165","2011-05-18",16.68
"166","2011-05-19",16.709999
"167","2011-05-20",16.629999
"168","2011-05-23",16.59
"169","2011-05-24",16.610001
"170","2011-05-25",16.889999
"171","2011-05-26",16.92
"172","2011-05-27",16.950001
"173","2011-05-31",17.700001
"174","2011-06-01",17.129999
"175","2011-06-02",16.75
"176","2011-06-03",16.75
"177","2011-06-06",16.75
"178","2011-06-07",16.76
"179","2011-06-08",16.77
"180","2011-06-09",16.799999
"181","2011-06-10",16.629999
"182","2011-06-13",16.32
"183","2011-06-14",16.51
"184","2011-06-15",15.91
"185","2011-06-16",16.049999
"186","2011-06-17",16.07
"187","2011-06-20",16.049999
"188","2011-06-21",16.26
"189","2011-06-22",16.190001
"190","2011-06-23",16.110001
"191","2011-06-24",16.700001
"192","2011-06-27",16.309999
"193","2011-06-28",16.27
"194","2011-06-29",16.299999
"195","2011-06-30",16.4
"196","2011-07-01",16.5
"197","2011-07-05",16.690001
"198","2011-07-06",17.209999
"199","2011-07-07",17.639999
"200","2011-07-08",17.459999
"201","2011-07-11",17.1
"202","2011-07-12",17.33
"203","2011-07-13",17.35
"204","2011-07-14",17.35
"205","2011-07-15",17.33
"206","2011-07-18",17.440001
"207","2011-07-19",17.469999
"208","2011-07-20",17.450001
"209","2011-07-21",17.469999
"210","2011-07-22",17.379999
"211","2011-07-25",17.51
"212","2011-07-26",17.73
"213","2011-07-27",17.16
"214","2011-07-28",16.9
"215","2011-07-29",16.84
"216","2011-08-01",16.889999
"217","2011-08-02",16.41
"218","2011-08-03",16.08
"219","2011-08-04",15.98
"220","2011-08-05",15.36
"221","2011-08-08",13.88
"222","2011-08-09",15.26
"223","2011-08-10",15.01
"224","2011-08-11",15.99
"225","2011-08-12",15.96
"226","2011-08-15",16.620001
"227","2011-08-16",16.389999
"228","2011-08-17",16.57
"229","2011-08-18",15.28
"230","2011-08-19",15.16
"231","2011-08-22",15.03
"232","2011-08-23",15.85
"233","2011-08-24",15.98
"234","2011-08-25",15.4
"235","2011-08-26",15.7
"236","2011-08-29",15.98
"237","2011-08-30",15.96
"238","2011-08-31",16.1
"239","2011-09-01",15.95
"240","2011-09-02",15.14
"241","2011-09-06",15.17
"242","2011-09-07",15.83
"243","2011-09-08",15.82
"244","2011-09-09",15.14
"245","2011-09-12",15.21
"246","2011-09-13",15.09
"247","2011-09-14",15.35
"248","2011-09-15",15.6
"249","2011-09-16",16.07
"250","2011-09-19",15.26
"251","2011-09-20",15.24
"252","2011-09-21",14.64
"253","2011-09-22",13.94
"254","2011-09-23",14.19
"255","2011-09-26",14.23
"256","2011-09-27",15.05
"257","2011-09-28",14.46
"258","2011-09-29",14.87
"259","2011-09-30",14.35
"260","2011-10-03",13
"261","2011-10-04",14.72
"262","2011-10-05",13.78
"263","2011-10-06",14.35
"264","2011-10-07",13.92
"265","2011-10-10",14.3
"266","2011-10-11",14.18
"267","2011-10-12",14.54
"268","2011-10-13",14.45
"269","2011-10-14",14.65
"270","2011-10-17",14.38
"271","2011-10-18",14.72
"272","2011-10-19",14.5
"273","2011-10-20",14.53
"274","2011-10-21",15.14
"275","2011-10-24",15.53
"276","2011-10-25",15
"277","2011-10-26",15.08
"278","2011-10-27",16.209999
"279","2011-10-28",16.43
"280","2011-10-31",16.65
"281","2011-11-01",15.55
"282","2011-11-02",15.86
"283","2011-11-03",16.99
"284","2011-11-04",16.9
"285","2011-11-07",17
"286","2011-11-08",17.02
"287","2011-11-09",15.79
"288","2011-11-10",15.91
"289","2011-11-11",16.389999
"290","2011-11-14",16.02
"291","2011-11-15",16.540001
"292","2011-11-16",16.4
"293","2011-11-17",16.41
"294","2011-11-18",16.57
"295","2011-11-21",16.280001
"296","2011-11-22",16.200001
"297","2011-11-23",15.71
"298","2011-11-25",15.74
"299","2011-11-28",16.6
"300","2011-11-29",16.42
"301","2011-11-30",16.75
"302","2011-12-01",16.309999
"303","2011-12-02",16.57
"304","2011-12-05",16.879999
"305","2011-12-06",16.98
"306","2011-12-07",17.219999
"307","2011-12-08",17
"308","2011-12-09",17.57
"309","2011-12-12",17.23
"310","2011-12-13",16.98
"311","2011-12-14",17.01
"312","2011-12-15",17.379999
"313","2011-12-16",17.76
"314","2011-12-19",17.389999
"315","2011-12-20",17.98
"316","2011-12-21",17.85
"317","2011-12-22",17.93
"318","2011-12-23",18.08
"319","2011-12-27",18.139999
"320","2011-12-28",18.09
"321","2011-12-29",17.969999
"322","2011-12-30",17.82
"323","2012-01-03",18.25
"324","2012-01-04",18.23
"325","2012-01-05",18.52
"326","2012-01-06",18.52
"327","2012-01-09",18.59
"328","2012-01-10",18.549999
"329","2012-01-11",18.92
"330","2012-01-12",18.879999
"331","2012-01-13",18.860001
"332","2012-01-17",18.99
"333","2012-01-18",19.24
"334","2012-01-19",19.32
"335","2012-01-20",19.52
"336","2012-01-23",19.540001
"337","2012-01-24",19.73
"338","2012-01-25",19.98
"339","2012-01-26",19.969999
"340","2012-01-27",20.309999
"341","2012-01-30",20.02
"342","2012-01-31",20.049999
"343","2012-02-01",20.450001
"344","2012-02-02",20.41
"345","2012-02-03",21.040001
"346","2012-02-06",20.959999
"347","2012-02-07",21.209999
"348","2012-02-08",21.32
"349","2012-02-09",21.26
"350","2012-02-10",21.24
"351","2012-02-13",21.809999
