"","date","TTWO"
"1","2007-01-03",17.66
"2","2007-01-04",17.66
"3","2007-01-05",16.83
"4","2007-01-08",15.99
"5","2007-01-09",16.4
"6","2007-01-10",16.77
"7","2007-01-11",16.950001
"8","2007-01-12",17.309999
"9","2007-01-16",17.67
"10","2007-01-17",17.610001
"11","2007-01-18",17.34
"12","2007-01-19",17.49
"13","2007-01-22",17.540001
"14","2007-01-23",18.16
"15","2007-01-24",18.059999
"16","2007-01-25",17.24
"17","2007-01-26",16.940001
"18","2007-01-29",16.77
"19","2007-01-30",17.1
"20","2007-01-31",17.379999
"21","2007-02-01",17.58
"22","2007-02-02",18.32
"23","2007-02-05",17.9
"24","2007-02-06",17.200001
"25","2007-02-07",17.99
"26","2007-02-08",18.26
"27","2007-02-09",19.18
"28","2007-02-12",19.65
"29","2007-02-13",19.360001
"30","2007-02-14",20.969999
"31","2007-02-15",20.27
"32","2007-02-16",20.219999
"33","2007-02-20",20.129999
"34","2007-02-21",19.82
"35","2007-02-22",19.83
"36","2007-02-23",19.790001
"37","2007-02-26",19.24
"38","2007-02-27",18.25
"39","2007-02-28",17.799999
"40","2007-03-01",17.059999
"41","2007-03-02",17.09
"42","2007-03-05",17.48
"43","2007-03-06",17.610001
"44","2007-03-07",18.950001
"45","2007-03-08",19.459999
"46","2007-03-09",20.27
"47","2007-03-12",20.07
"48","2007-03-13",20.450001
"49","2007-03-14",20.6
"50","2007-03-15",20.65
"51","2007-03-16",20.85
"52","2007-03-19",22.610001
"53","2007-03-20",23.790001
"54","2007-03-21",23.24
"55","2007-03-22",23.35
"56","2007-03-23",23.049999
"57","2007-03-26",22.26
"58","2007-03-27",21.08
"59","2007-03-28",20.860001
"60","2007-03-29",21.1
"61","2007-03-30",20.139999
"62","2007-04-02",20.559999
"63","2007-04-03",21.24
"64","2007-04-04",21.43
"65","2007-04-05",21.25
"66","2007-04-09",20.76
"67","2007-04-10",20.379999
"68","2007-04-11",20.870001
"69","2007-04-12",20.860001
"70","2007-04-13",20.75
"71","2007-04-16",20.799999
"72","2007-04-17",20.709999
"73","2007-04-18",20.299999
"74","2007-04-19",20.15
"75","2007-04-20",20.02
"76","2007-04-23",19.860001
"77","2007-04-24",19.709999
"78","2007-04-25",19.82
