"","date","LMNL"
"1","2013-02-14",0.285
"2","2013-02-15",0.278
"3","2013-02-19",0.276
"4","2013-02-20",0.248
"5","2013-02-21",0.209
"6","2013-02-22",0.21
"7","2013-02-25",0.213
"8","2013-02-26",0.215
"9","2013-02-27",0.188
"10","2013-02-28",0.173
"11","2013-03-01",0.187
"12","2013-03-04",0.174
"13","2013-03-05",0.151
"14","2013-03-06",0.129
"15","2013-03-07",0.129
"16","2013-03-08",0.117
"17","2013-03-11",0.144
"18","2013-03-12",0.125
"19","2013-03-13",0.129
"20","2013-03-14",0.122
"21","2013-03-15",0.126
"22","2013-03-18",0.138
"23","2013-03-19",0.123
"24","2013-03-20",0.123
"25","2013-03-21",0.123
"26","2013-03-22",0.123
"27","2013-03-25",0.129
"28","2013-03-26",0.132
"29","2013-03-27",0.144
"30","2013-03-28",0.144
"31","2013-04-01",0.144
"32","2013-04-02",0.148
"33","2013-04-03",0.149
"34","2013-04-04",0.148
"35","2013-04-05",0.14
"36","2013-04-08",0.139
"37","2013-04-09",0.145
"38","2013-04-10",0.145
"39","2013-04-11",0.145
"40","2013-04-12",0.145
"41","2013-04-15",0.145
"42","2013-04-16",0.144
"43","2013-04-17",0.143
"44","2013-04-18",0.136
"45","2013-04-19",0.136
"46","2013-04-22",0.136
"47","2013-04-23",0.136
"48","2013-04-24",0.137
"49","2013-04-25",0.137
"50","2013-04-26",0.138
"51","2013-04-29",0.145
"52","2013-04-30",0.153
"53","2013-05-01",0.153
"54","2013-05-02",0.168
"55","2013-05-03",0.165
"56","2013-05-06",0.146
"57","2013-05-07",0.146
"58","2013-05-08",0.139
"59","2013-05-09",0.139
"60","2013-05-10",0.139
"61","2013-05-13",0.139
"62","2013-05-14",0.139
"63","2013-05-15",0.139
"64","2013-05-16",0.14
"65","2013-05-17",0.139
"66","2013-05-20",0.123
"67","2013-05-21",0.123
"68","2013-05-22",0.138
"69","2013-05-23",0.114
"70","2013-05-24",0.114
"71","2013-05-28",0.121
"72","2013-05-29",0.121
"73","2013-05-30",0.125
"74","2013-05-31",0.128
"75","2013-06-03",0.12
"76","2013-06-04",0.124
"77","2013-06-05",0.145
"78","2013-06-06",0.112
"79","2013-06-07",0.112
"80","2013-06-10",0.098
"81","2013-06-11",0.102
"82","2013-06-12",0.097
"83","2013-06-13",0.097
"84","2013-06-14",0.101
"85","2013-06-17",0.097
"86","2013-06-18",0.097
"87","2013-06-19",0.097
"88","2013-06-20",0.097
"89","2013-06-21",0.097
"90","2013-06-24",0.082
"91","2013-06-25",0.081
"92","2013-06-26",0.074
"93","2013-06-27",0.075
"94","2013-06-28",0.075
"95","2013-07-01",0.067
"96","2013-07-02",0.067
"97","2013-07-03",0.06
"98","2013-07-05",0.061
"99","2013-07-08",0.061
"100","2013-07-09",0.061
"101","2013-07-10",0.065
"102","2013-07-11",0.061
"103","2013-07-12",0.061
"104","2013-07-15",0.064
"105","2013-07-16",0.064
"106","2013-07-17",0.064
"107","2013-07-18",0.057
"108","2013-07-19",0.053
"109","2013-07-22",0.053
"110","2013-07-23",0.06
"111","2013-07-24",0.06
"112","2013-07-25",0.053
"113","2013-07-26",0.053
"114","2013-07-29",0.049
"115","2013-07-30",0.046
"116","2013-07-31",0.046
"117","2013-08-01",0.046
"118","2013-08-02",0.042
"119","2013-08-05",0.045
"120","2013-08-06",0.045
"121","2013-08-07",0.027
"122","2013-08-08",0.041
"123","2013-08-09",0.041
"124","2013-08-12",0.042
"125","2013-08-13",0.042
"126","2013-08-14",0.042
"127","2013-08-15",0.042
"128","2013-08-16",0.042
"129","2013-08-19",0.041
"130","2013-08-20",0.045
"131","2013-08-21",0.051
"132","2013-08-22",0.051
"133","2013-08-23",0.047
"134","2013-08-26",0.033
"135","2013-08-27",0.037
"136","2013-08-28",0.037
"137","2013-08-29",0.037
"138","2013-08-30",0.037
"139","2013-09-03",0.037
"140","2013-09-04",0.037
"141","2013-09-05",0.023
"142","2013-09-06",0.027
"143","2013-09-09",0.023
"144","2013-09-10",0.023
"145","2013-09-11",0.023
"146","2013-09-12",0.02
"147","2013-09-13",0.02
"148","2013-09-16",0.016
