"","date","PRPO"
"1","2017-06-30",135
"2","2017-07-03",181.5
"3","2017-07-05",301.5
"4","2017-07-06",237
"5","2017-07-07",166.455002
"6","2017-07-10",168.600006
"7","2017-07-11",179.699997
"8","2017-07-12",184.199997
"9","2017-07-13",171
"10","2017-07-14",173.550003
"11","2017-07-17",169.395004
"12","2017-07-18",177.509995
"13","2017-07-19",176.25
"14","2017-07-20",173.25
"15","2017-07-21",170.25
"16","2017-07-24",166.649994
"17","2017-07-25",168.600006
"18","2017-07-26",162.134995
"19","2017-07-27",149.850006
"20","2017-07-28",147.449997
"21","2017-07-31",123
"22","2017-08-01",88.650002
"23","2017-08-02",84
"24","2017-08-03",71.400002
"25","2017-08-04",71.07
"26","2017-08-07",72.900002
"27","2017-08-08",65.699997
"28","2017-08-09",77.550003
"29","2017-08-10",70.5
"30","2017-08-11",65.400002
"31","2017-08-14",63.299999
"32","2017-08-15",56.400002
"33","2017-08-16",59.849998
"34","2017-08-17",75.300003
"35","2017-08-18",72.449997
"36","2017-08-21",79.349998
"37","2017-08-22",67.050003
"38","2017-08-23",35.700001
"39","2017-08-24",35.549999
"40","2017-08-25",35.549999
"41","2017-08-28",34.5
"42","2017-08-29",34.799999
"43","2017-08-30",34.799999
"44","2017-08-31",34.200001
"45","2017-09-01",33.150002
"46","2017-09-05",33.599998
"47","2017-09-06",33.450001
"48","2017-09-07",34.049999
"49","2017-09-08",33.900002
"50","2017-09-11",33.450001
"51","2017-09-12",35.400002
"52","2017-09-13",34.799999
"53","2017-09-14",33
"54","2017-09-15",30.450001
"55","2017-09-18",31.200001
"56","2017-09-19",28.65
"57","2017-09-20",27.9
"58","2017-09-21",27.6
"59","2017-09-22",28.65
"60","2017-09-25",28.35
"61","2017-09-26",28.049999
"62","2017-09-27",27
"63","2017-09-28",34.514999
"64","2017-09-29",32.400002
"65","2017-10-02",30.299999
"66","2017-10-03",26.549999
"67","2017-10-04",26.700001
"68","2017-10-05",27
"69","2017-10-06",29.1
"70","2017-10-09",29.4
"71","2017-10-10",28.200001
"72","2017-10-11",33.450001
"73","2017-10-12",31.5
"74","2017-10-13",30.450001
"75","2017-10-16",29.1
"76","2017-10-17",28.5
"77","2017-10-18",28.35
"78","2017-10-19",27.299999
"79","2017-10-20",27.6
"80","2017-10-23",28.799999
"81","2017-10-24",31.049999
"82","2017-10-25",30.75
"83","2017-10-26",31.785
"84","2017-10-27",29.85
"85","2017-10-30",28.5
"86","2017-10-31",29.25
"87","2017-11-01",25.35
"88","2017-11-02",24.450001
"89","2017-11-03",20.91
"90","2017-11-06",20.549999
"91","2017-11-07",20.25
"92","2017-11-08",20.4
"93","2017-11-09",20.4
"94","2017-11-10",19.799999
"95","2017-11-13",20.25
"96","2017-11-14",20.549999
"97","2017-11-15",18.9
"98","2017-11-16",20.4
"99","2017-11-17",20.549999
"100","2017-11-20",19.485001
"101","2017-11-21",18.6
"102","2017-11-22",18.975
"103","2017-11-24",19.35
"104","2017-11-27",18.315001
"105","2017-11-28",18.15
"106","2017-11-29",20.4
"107","2017-11-30",19.5
"108","2017-12-01",19.35
"109","2017-12-04",18.299999
"110","2017-12-05",18.299999
"111","2017-12-06",17.700001
"112","2017-12-07",17.549999
"113","2017-12-08",17.459999
"114","2017-12-11",17.1
"115","2017-12-12",16.799999
"116","2017-12-13",16.5
"117","2017-12-14",18
"118","2017-12-15",16.35
"119","2017-12-18",16.950001
"120","2017-12-19",16.200001
